"Name","OnTree","SexSyst","SexSyst4"
"Allocasuarina_acuaria",,"dioecy","Dio"
"Allocasuarina_acutivalvis","yes","dioecy","Dio"
"Allocasuarina_brachystachya","yes","monoecy","xMono"
"Allocasuarina_campestris","yes","dioecy|monoecy","Dio|xMono"
"Allocasuarina_corniculata","yes","dioecy","Dio"
"Allocasuarina_crassa",,"dioecy|monoecy","Dio|xMono"
"Allocasuarina_decaisneana","yes","dioecy","Dio"
"Allocasuarina_decussata",,"monoecy","xMono"
"Allocasuarina_defungens",,"dioecy|monoecy","Dio|xMono"
"Allocasuarina_dielsiana","yes","dioecy","Dio"
"Allocasuarina_diminuta",,"dioecy|monoecy","Dio|xMono"
"Allocasuarina_distyla","yes","dioecy","Dio"
"Allocasuarina_drummondiana",,"dioecy","Dio"
"Allocasuarina_duncanii","yes","dioecy","Dio"
"Allocasuarina_emuina","yes","dioecy","Dio"
"Allocasuarina_eriochlamys","yes","dioecy|monoecy","Dio|xMono"
"Allocasuarina_fibrosa","yes","dioecy","Dio"
"Allocasuarina_filidens",,"dioecy","Dio"
"Allocasuarina_fraseriana",,"dioecy","Dio"
"Allocasuarina_glareicola","yes","dioecy|monoecy","Dio|xMono"
"Allocasuarina_globosa","yes","dioecy","Dio"
"Allocasuarina_grampiana","yes","dioecy","Dio"
"Allocasuarina_grevilleoides","yes","dioecy","Dio"
"Allocasuarina_gymnanthera","yes","dioecy","Dio"
"Allocasuarina_helmsii",,"dioecy","Dio"
"Allocasuarina_huegeliana","yes","dioecy","Dio"
"Allocasuarina_humilis","yes","dioecy|monoecy","Dio|xMono"
"Allocasuarina_hystricosa",,"dioecy","Dio"
"Allocasuarina_inophloia","yes","dioecy","Dio"
"Allocasuarina_lehmanniana","yes","dioecy","Dio"
"Allocasuarina_littoralis","yes","dioecy","Dio"
"Allocasuarina_luehmannii",,"dioecy","Dio"
"Allocasuarina_mackliniana","yes","dioecy","Dio"
"Allocasuarina_media","yes","dioecy","Dio"
"Allocasuarina_microstachya","yes","dioecy","Dio"
"Allocasuarina_misera","yes","dioecy|monoecy","Dio|xMono"
"Allocasuarina_monilifera","yes","monoecy","xMono"
"Allocasuarina_muelleriana",,"dioecy","Dio"
"Allocasuarina_nana","yes","dioecy","Dio"
"Allocasuarina_ophiolitica","yes","dioecy","Dio"
"Allocasuarina_paludosa","yes","dioecy|monoecy","Dio|xMono"
"Allocasuarina_paradoxa","yes","dioecy","Dio"
"Allocasuarina_pinaster","yes","dioecy","Dio"
"Allocasuarina_portuensis",,"dioecy","Dio"
"Allocasuarina_pusilla","yes","dioecy","Dio"
"Allocasuarina_ramosissima",,"dioecy","Dio"
"Allocasuarina_rigida","yes","dioecy","Dio"
"Allocasuarina_robusta",,"monoecy","xMono"
"Allocasuarina_rupicola","yes","dioecy","Dio"
"Allocasuarina_scleroclada","yes","dioecy","Dio"
"Allocasuarina_simulans","yes","dioecy","Dio"
"Allocasuarina_spinosissima","yes","monoecy","xMono"
"Allocasuarina_striata",,"dioecy|monoecy","Dio|xMono"
"Allocasuarina_tessellata","yes","dioecy","Dio"
"Allocasuarina_thalassoscopica","yes",,
"Allocasuarina_thuyoides","yes",,
"Allocasuarina_tortiramula","yes","dioecy","Dio"
"Allocasuarina_torulosa","yes","dioecy","Dio"
"Allocasuarina_trichodon","yes","dioecy","Dio"
"Allocasuarina_verticillata","yes","dioecy","Dio"
"Allocasuarina_zephyrea","yes",,
