"Name","OnTree","SexSyst","SexSyst4"
"Aralia_apioides","yes",,
"Aralia_armata","yes","andromonoecy","xMono"
"Aralia_atropurpurea",,"andromonoecy","xMono"
"Aralia_bicrenata",,"andromonoecy","xMono"
"Aralia_bipinnata",,"andromonoecy","xMono"
"Aralia_cachemirica",,,
"Aralia_caesia",,,
"Aralia_californica",,"andromonoecy","xMono"
"Aralia_castanopsiscola",,,
"Aralia_chinensis","yes","andromonoecy","xMono"
"Aralia_continentalis","yes",,
"Aralia_dasyphylla","yes","andromonoecy","xMono"
"Aralia_dasyphylloides","yes",,
"Aralia_decaisneana",,"andromonoecy","xMono"
"Aralia_delavayi",,,
"Aralia_echinocaulis","yes","andromonoecy","xMono"
"Aralia_elata","yes","andromonoecy","xMono"
"Aralia_elegans",,"andromonoecy","xMono"
"Aralia_excelsa","yes","hermaphrodite","Herm"
"Aralia_fargesii",,,
"Aralia_ferox",,,
"Aralia_finlaysoniana","yes","andromonoecy","xMono"
"Aralia_foliolosa",,"andromonoecy","xMono"
"Aralia_frodiniana",,,
"Aralia_gigantea","yes",,
"Aralia_gintungensis","yes","andromonoecy","xMono"
"Aralia_glabra",,,
"Aralia_glabrifoliolata",,,
"Aralia_henryi",,,
"Aralia_hiepiana","yes",,
"Aralia_hispida",,"andromonoecy","xMono"
"Aralia_houheensis",,,
"Aralia_humilis","yes",,
"Aralia_hypoglauca",,,
"Aralia_kansuensis",,,
"Aralia_kingdon-wardii","yes",,
"Aralia_laevis",,,
"Aralia_leschenaultii","yes",,
"Aralia_lihengiana","yes",,
"Aralia_malabarica",,,
"Aralia_melanocarpa",,,
"Aralia_merrillii","yes",,
"Aralia_mexicana",,,
"Aralia_montana",,,
"Aralia_nudicaulis",,"dioecy","Dio"
"Aralia_officinalis",,"andromonoecy","xMono"
"Aralia_parasitica","yes",,
"Aralia_plumosa","yes",,
"Aralia_racemosa","yes","dioecy","Dio"
"Aralia_regeliana",,,
"Aralia_rex",,"hermaphrodite","Herm"
"Aralia_scaberula",,"andromonoecy","xMono"
"Aralia_scopulorum","yes",,
"Aralia_searelliana","yes","andromonoecy","xMono"
"Aralia_shangiana",,,
"Aralia_soratensis","yes",,
"Aralia_spinifolia",,"andromonoecy","xMono"
"Aralia_spinosa","yes","polygamomonoecy","xMono"
"Aralia_stellata",,,
"Aralia_stipulata","yes","andromonoecy","xMono"
"Aralia_subcordata","yes",,
"Aralia_thomsonii","yes","andromonoecy","xMono"
"Aralia_tibetana",,,
"Aralia_tomentella","yes",,
"Aralia_undulata","yes","andromonoecy|hermaphrodite","Herm|xMono"
"Aralia_urticifolia",,,
"Aralia_verticillata",,,
"Aralia_vietnamensis","yes","andromonoecy","xMono"
"Aralia_warmingiana",,"hermaphrodite","Herm"
"Aralia_wilsonii",,,
