"Name","OnTree","SexSyst","SexSyst4"
"Asparagus_acicularis",,"dioecy","Dio"
"Asparagus_acocksii",,"hermaphrodite","Herm"
"Asparagus_acutifolius","yes","dioecy","Dio"
"Asparagus_adscendens","yes","hermaphrodite","Herm"
"Asparagus_aethiopicus","yes","hermaphrodite","Herm"
"Asparagus_africanus","yes","hermaphrodite","Herm"
"Asparagus_aggregatus",,"hermaphrodite","Herm"
"Asparagus_albus","yes","hermaphrodite","Herm"
"Asparagus_alopecurus",,"hermaphrodite","Herm"
"Asparagus_altiscandens",,,
"Asparagus_altissimus","yes","hermaphrodite","Herm"
"Asparagus_angulofractus",,"dioecy","Dio"
"Asparagus_angusticladus",,"hermaphrodite","Herm"
"Asparagus_aphyllus","yes","dioecy","Dio"
"Asparagus_arborescens",,"hermaphrodite","Herm"
"Asparagus_aridicola",,"hermaphrodite","Herm"
"Asparagus_asiaticus",,"hermaphrodite","Herm"
"Asparagus_asparagoides","yes","hermaphrodite","Herm"
"Asparagus_aspergillus",,"hermaphrodite","Herm"
"Asparagus_baumii",,,
"Asparagus_bayeri",,"hermaphrodite","Herm"
"Asparagus_benguellensis",,"dioecy","Dio"
"Asparagus_bequaertii",,,
"Asparagus_biflorus",,"hermaphrodite","Herm"
"Asparagus_botschantzevii",,,
"Asparagus_botswanicus",,"dioecy","Dio"
"Asparagus_brachiatus",,,
"Asparagus_brachyphyllus",,"dioecy","Dio"
"Asparagus_breslerianus",,"dioecy","Dio"
"Asparagus_buchananii",,"hermaphrodite","Herm"
"Asparagus_bucharicus",,,
"Asparagus_burchellii",,"hermaphrodite","Herm"
"Asparagus_burjaticus",,,
"Asparagus_calcicola",,,
"Asparagus_capensis",,"hermaphrodite","Herm"
"Asparagus_capitatus",,"hermaphrodite","Herm"
"Asparagus_chimanimanensis",,,
"Asparagus_clareae",,"hermaphrodite","Herm"
"Asparagus_cochinchinensis","yes","dioecy","Dio"
"Asparagus_coddii",,"hermaphrodite","Herm"
"Asparagus_concinnus",,"hermaphrodite","Herm"
"Asparagus_confertus",,"hermaphrodite","Herm"
"Asparagus_coodei",,,
"Asparagus_crassicladus",,"hermaphrodite","Herm"
"Asparagus_curillus",,"hermaphrodite","Herm"
"Asparagus_dauricus","yes","dioecy","Dio"
"Asparagus_declinatus","yes","hermaphrodite","Herm"
"Asparagus_deflexus",,,
"Asparagus_densiflorus","yes","hermaphrodite","Herm"
"Asparagus_denudatus",,"hermaphrodite","Herm"
"Asparagus_devenishii",,"hermaphrodite","Herm"
"Asparagus_divaricatus",,"hermaphrodite","Herm"
"Asparagus_drepanophyllus",,"hermaphrodite","Herm"
"Asparagus_duchesnei",,,
"Asparagus_dumosus",,"hermaphrodite","Herm"
"Asparagus_edulis",,"hermaphrodite","Herm"
"Asparagus_elephantinus",,,
"Asparagus_equisetoides",,"hermaphrodite","Herm"
"Asparagus_exsertus",,"hermaphrodite","Herm"
"Asparagus_exuvialis",,"hermaphrodite","Herm"
"Asparagus_falcatus","yes","hermaphrodite","Herm"
"Asparagus_fallax",,,
"Asparagus_fasciculatus",,"hermaphrodite","Herm"
"Asparagus_faulkneri",,,
"Asparagus_ferganensis",,,
"Asparagus_filicinus","yes","dioecy","Dio"
"Asparagus_filicladus",,"hermaphrodite","Herm"
"Asparagus_filifolius",,"dioecy","Dio"
"Asparagus_flagellaris",,"hermaphrodite","Herm"
"Asparagus_flavicaulis",,"hermaphrodite","Herm"
"Asparagus_fouriei",,"hermaphrodite","Herm"
"Asparagus_fractiflexus",,"hermaphrodite","Herm"
"Asparagus_fysonii",,"hermaphrodite","Herm"
"Asparagus_gharoensis",,"hermaphrodite","Herm"
"Asparagus_glaucus",,"hermaphrodite","Herm"
"Asparagus_gobicus",,"dioecy","Dio"
"Asparagus_gonoclados",,"hermaphrodite","Herm"
"Asparagus_graniticus",,"hermaphrodite","Herm"
