"Name","OnTree","SexSyst","SexSyst4"
"Atriplex_abata",,,
"Atriplex_acanthocarpa",,"dioecy","Dio"
"Atriplex_acutibractea",,"monoecy","xMono"
"Atriplex_acutiloba",,,
"Atriplex_alaschanica",,,
"Atriplex_altaica","yes",,
"Atriplex_amboensis",,,
"Atriplex_ameghinoi",,,
"Atriplex_amnicola","yes","dioecy","Dio"
"Atriplex_angulata","yes","monoecy","xMono"
"Atriplex_aptera",,,
"Atriplex_argentea",,,
"Atriplex_argentina",,,
"Atriplex_asphaltitis",,,
"Atriplex_asplundii",,,
"Atriplex_atacamensis",,,
"Atriplex_aucheri","yes",,
"Atriplex_australasica","yes","monoecy","xMono"
"Atriplex_barclayana",,,
"Atriplex_billardieri","yes",,
"Atriplex_boecheri",,,
"Atriplex_bonnevillensis",,,
"Atriplex_braunii",,,
"Atriplex_buchananii","yes",,
"Atriplex_bunburyana",,,
"Atriplex_californica",,,
"Atriplex_cana","yes",,
"Atriplex_canescens","yes","dioecy","Dio"
"Atriplex_centralasiatica","yes",,
"Atriplex_chamaeclada",,,
"Atriplex_chapinii",,,
"Atriplex_chenopodioides",,,
"Atriplex_chilensis",,,
"Atriplex_chizae",,,
"Atriplex_cinerea","yes","dioecy","Dio"
"Atriplex_clivicola",,,
"Atriplex_codonocarpa",,"monoecy","xMono"
"Atriplex_colerei",,,
"Atriplex_confertifolia","yes","dioecy","Dio"
"Atriplex_coquimbana",,,
"Atriplex_cordifolia",,,
"Atriplex_cordobensis","yes",,
"Atriplex_cordulata",,,
"Atriplex_coriacea",,,
"Atriplex_cornigera",,,
"Atriplex_coronata",,,
"Atriplex_corrugata",,,
"Atriplex_costellata",,,
"Atriplex_coulteri",,,
"Atriplex_crassifolia",,,
"Atriplex_crassipes",,,
"Atriplex_crenatifolia",,,
"Atriplex_crispa",,,
"Atriplex_cristata",,,
"Atriplex_cryptocarpa",,,
"Atriplex_cuneata",,,
"Atriplex_cyclostegia",,,
"Atriplex_davisii","yes",,
"Atriplex_deserticola",,"dioecy","Dio"
"Atriplex_dimorphostegia","yes",,
"Atriplex_domingensis",,,
"Atriplex_drymarioides",,,
"Atriplex_eardleyae","yes","monoecy","xMono"
"Atriplex_eichleri",,,
"Atriplex_elachophylla","yes","monoecy","xMono"
"Atriplex_elegans",,,
"Atriplex_eremitis",,,
"Atriplex_erigavoensis",,,
"Atriplex_erosa",,,
