"Name","OnTree","SexSyst","SexSyst4"
"Bauhinia_accrescens",,,
"Bauhinia_acreana","yes",,
"Bauhinia_aculeata","yes","andromonoecy","xMono"
"Bauhinia_acuminata","yes",,
"Bauhinia_acuruana",,,
"Bauhinia_aherniana",,,
"Bauhinia_alata",,"hermaphrodite","Herm"
"Bauhinia_altiscandens",,"hermaphrodite","Herm"
"Bauhinia_amambayensis",,,
"Bauhinia_ampla",,,
"Bauhinia_anamesa",,,
"Bauhinia_anatomica",,,
"Bauhinia_andersonii",,,
"Bauhinia_andrieuxii",,,
"Bauhinia_angulicaulis",,,
"Bauhinia_angulosa",,"hermaphrodite","Herm"
"Bauhinia_ankarafantsikae",,,
"Bauhinia_anomala",,,
"Bauhinia_apertilobata",,,
"Bauhinia_argentinensis",,,
"Bauhinia_armata",,,
"Bauhinia_aromatica",,,
"Bauhinia_augustii",,,
"Bauhinia_aurantiaca",,,
"Bauhinia_aurea",,,
"Bauhinia_aureifolia","yes",,
"Bauhinia_aureopunctata",,,
"Bauhinia_baina",,,
"Bauhinia_bartlettii",,,
"Bauhinia_bassacensis",,,
"Bauhinia_bauhinioides","yes",,
"Bauhinia_beguinotii",,,
"Bauhinia_bicolor",,,
"Bauhinia_bidentata","yes",,
"Bauhinia_binata","yes",,
"Bauhinia_blakeana","yes","hermaphrodite","Herm"
"Bauhinia_bohniana","yes",,
"Bauhinia_bombaciflora",,,
"Bauhinia_bowkeri",,,
"Bauhinia_brachycalyx",,,
"Bauhinia_brachycarpa","yes","androdioecy|dioecy","Dio|xDio"
"Bauhinia_bracteata","yes",,
"Bauhinia_brasiliensis",,,
"Bauhinia_brevicalyx","yes",,
"Bauhinia_brevipedicellata",,,
"Bauhinia_brevipes",,,
"Bauhinia_burbidgei",,,
"Bauhinia_burchellii",,,
"Bauhinia_buscalionii",,,
"Bauhinia_calciphila",,,
"Bauhinia_calliandroides",,,
"Bauhinia_caloneura",,,
"Bauhinia_calycina",,,
"Bauhinia_campanulata",,,
"Bauhinia_campestris",,,
"Bauhinia_candelabriformis",,,
"Bauhinia_capuronii",,,
"Bauhinia_carcinophylla","yes",,
"Bauhinia_cardinalis",,,
"Bauhinia_carronii",,,
"Bauhinia_carvalhoi",,,
"Bauhinia_cataholo",,,
"Bauhinia_catingae",,,
"Bauhinia_cercidifolia",,,
"Bauhinia_chalcophylla",,,
"Bauhinia_chalkos",,,
"Bauhinia_championii",,"hermaphrodite","Herm"
"Bauhinia_chapadensis",,,
"Bauhinia_chapulhuacania",,,
"Bauhinia_cheilantha","yes","hermaphrodite","Herm"
"Bauhinia_cinnamomea",,,
"Bauhinia_claviflora",,,
"Bauhinia_clemensiorum",,,
"Bauhinia_coccinea",,,
"Bauhinia_coclensis",,"hermaphrodite","Herm"
"Bauhinia_comosa",,,
"Bauhinia_concreta",,,
"Bauhinia_confertiflora",,"hermaphrodite","Herm"
"Bauhinia_conwayi",,,
"Bauhinia_cookii","yes","hermaphrodite","Herm"
"Bauhinia_corniculata","yes",,
"Bauhinia_coronata",,"hermaphrodite","Herm"
"Bauhinia_corymbosa","yes","hermaphrodite","Herm"
"Bauhinia_coulteri",,,
"Bauhinia_crudiantha",,,
"Bauhinia_cunninghamii",,,
"Bauhinia_cuprea",,,
"Bauhinia_cupreonitens",,"hermaphrodite","Herm"
"Bauhinia_cupulata",,,
"Bauhinia_curtisii",,,
"Bauhinia_curvula",,"hermaphrodite","Herm"
"Bauhinia_cuyabensis",,,
"Bauhinia_damiaoshanensis",,,
"Bauhinia_decandra",,,
"Bauhinia_decumbens",,,
"Bauhinia_delavayi",,,
"Bauhinia_deserti",,,
"Bauhinia_dewitii",,,
"Bauhinia_didyma",,,
"Bauhinia_dimorphophylla",,"hermaphrodite","Herm"
"Bauhinia_dioscoreifolia",,,
"Bauhinia_dipetala","yes","andromonoecy","xMono"
"Bauhinia_diphylla",,,
"Bauhinia_divaricata",,"andromonoecy","xMono"
"Bauhinia_divergens",,,
"Bauhinia_dolichocalyx",,,
"Bauhinia_dubia",,"hermaphrodite","Herm"
"Bauhinia_dumosa",,,
"Bauhinia_eilertsii",,,
"Bauhinia_ellenbeckii",,,
"Bauhinia_elmeri",,,
"Bauhinia_endertii",,,
"Bauhinia_erythrantha","yes","hermaphrodite","Herm"
"Bauhinia_erythrocalyx",,"andromonoecy","xMono"
"Bauhinia_erythropoda",,,
"Bauhinia_esquirolii",,,
"Bauhinia_estrellensis",,,
"Bauhinia_excelsa",,,
"Bauhinia_excurrens",,,
"Bauhinia_exellii",,,
"Bauhinia_fabrilis",,,
"Bauhinia_farek",,,
"Bauhinia_ferruginea",,,
"Bauhinia_finlaysoniana",,,
"Bauhinia_flagelliflora",,"hermaphrodite","Herm"
"Bauhinia_flava",,,
"Bauhinia_flexuosa",,,
"Bauhinia_floribunda",,,
"Bauhinia_foraminifer",,,
"Bauhinia_forficata","yes",,
"Bauhinia_foveolata",,,
"Bauhinia_franckii",,,
"Bauhinia_fryxellii",,,
"Bauhinia_fulva",,,
"Bauhinia_fusconervis",,,
"Bauhinia_galpinii","yes",,
"Bauhinia_gardneri",,,
"Bauhinia_geminata",,,
"Bauhinia_gilesii",,,
"Bauhinia_gilva","yes",,
"Bauhinia_glabra","yes","hermaphrodite","Herm"
"Bauhinia_glabrifolia",,,
"Bauhinia_glabristipes",,,
"Bauhinia_glauca","yes","hermaphrodite","Herm"
"Bauhinia_glaziovii",,"hermaphrodite","Herm"
"Bauhinia_godefroyi",,,
"Bauhinia_goyazensis",,,
"Bauhinia_gracillima",,,
"Bauhinia_grandidieri","yes",,
"Bauhinia_grandifolia",,,
"Bauhinia_grazielae",,,
"Bauhinia_grevei","yes",,
"Bauhinia_guentheri",,,
"Bauhinia_guianensis","yes","hermaphrodite","Herm"
"Bauhinia_gypsicola",,,
"Bauhinia_hagenbeckii",,,
"Bauhinia_hainanensis","yes",,
"Bauhinia_harmsiana",,,
"Bauhinia_haughtii",,"hermaphrodite","Herm"
"Bauhinia_havilandii",,,
"Bauhinia_hendersonii",,,
"Bauhinia_herrerae",,"hermaphrodite","Herm"
"Bauhinia_hiemalis",,,
"Bauhinia_hildebrandtii","yes",,
"Bauhinia_hirsuta",,,
"Bauhinia_hirsutiflora",,,
"Bauhinia_hirsutissima",,,
"Bauhinia_hirta",,,
"Bauhinia_hookeri",,,
"Bauhinia_huberi",,"hermaphrodite","Herm"
"Bauhinia_humilis",,,
"Bauhinia_hymenaeifolia","yes","hermaphrodite","Herm"
"Bauhinia_hypochrysa",,,
"Bauhinia_hypoglauca",,,
"Bauhinia_integerrima",,,
"Bauhinia_integrifolia","yes",,
"Bauhinia_involucellata",,,
"Bauhinia_involucrans",,,
"Bauhinia_japonica","yes",,
"Bauhinia_jenningsii",,"andromonoecy","xMono"
