"Name","OnTree","SexSyst","SexSyst4"
"Begonia_abbottii",,"monoecy","xMono"
"Begonia_abdullahpieei",,,
"Begonia_aberrans",,"monoecy","xMono"
"Begonia_aborensis",,,
"Begonia_acaulis",,"monoecy","xMono"
"Begonia_acerifolia",,"monoecy","xMono"
"Begonia_aceroides","yes","monoecy","xMono"
"Begonia_acetosa",,"monoecy","xMono"
"Begonia_acetosella","yes","dioecy","Dio"
"Begonia_acida",,"monoecy","xMono"
"Begonia_aconitifolia",,"monoecy","xMono"
"Begonia_acuminatissima","yes","monoecy","xMono"
"Begonia_acutifolia",,"monoecy","xMono"
"Begonia_acutiloba",,,
"Begonia_acutitepala",,"monoecy","xMono"
"Begonia_adenodes",,,
"Begonia_adenopoda",,"monoecy","xMono"
"Begonia_adenostegia",,"monoecy","xMono"
"Begonia_admirabilis",,"monoecy","xMono"
"Begonia_adpressa",,"monoecy","xMono"
"Begonia_adscendens",,"monoecy","xMono"
"Begonia_aenea",,"monoecy","xMono"
"Begonia_aequata",,,
"Begonia_aequatorialis",,"monoecy","xMono"
"Begonia_aequilateralis",,"monoecy","xMono"
"Begonia_aeranthos",,"monoecy","xMono"
"Begonia_affinis",,,
"Begonia_aggeloptera",,"monoecy","xMono"
"Begonia_agusanensis",,,
"Begonia_alba",,"monoecy","xMono"
"Begonia_albidula",,"monoecy","xMono"
"Begonia_albobracteata",,,
"Begonia_albococcinea",,"monoecy","xMono"
"Begonia_albomaculata",,,
"Begonia_alcarrasica",,"monoecy","xMono"
"Begonia_alchemilloides",,"monoecy","xMono"
"Begonia_algaia",,"monoecy","xMono"
"Begonia_alice-clarkae",,"monoecy","xMono"
"Begonia_aliciae",,"monoecy","xMono"
"Begonia_alicida","yes","monoecy","xMono"
"Begonia_almedana",,,
"Begonia_alnifolia",,"monoecy","xMono"
"Begonia_alpina",,"monoecy","xMono"
"Begonia_altamiroi",,"monoecy","xMono"
"Begonia_altissima",,,
"Begonia_altoperuviana",,"monoecy","xMono"
"Begonia_alvarezii",,"monoecy","xMono"
"Begonia_alveolata","yes","monoecy","xMono"
"Begonia_amphioxus","yes","monoecy","xMono"
"Begonia_ampla","yes","monoecy","xMono"
"Begonia_anaimalaiensis",,,
"Begonia_andamensis",,"monoecy","xMono"
"Begonia_andersonii",,,
"Begonia_andina",,"monoecy","xMono"
"Begonia_androrangensis",,"monoecy","xMono"
"Begonia_anemoniflora",,"monoecy","xMono"
"Begonia_angilogensis",,"monoecy","xMono"
"Begonia_angolensis",,"monoecy","xMono"
"Begonia_angraensis",,"monoecy","xMono"
"Begonia_angularis","yes","monoecy","xMono"
"Begonia_angulata",,"monoecy","xMono"
"Begonia_angustilimba",,,
"Begonia_angustiloba",,"monoecy","xMono"
"Begonia_anisoptera","yes","monoecy","xMono"
"Begonia_anisosepala",,"monoecy","xMono"
"Begonia_anjuanensis",,"monoecy","xMono"
"Begonia_ankaranensis","yes","monoecy","xMono"
"Begonia_annobonensis","yes","monoecy","xMono"
"Begonia_annulata","yes","monoecy","xMono"
"Begonia_anodifolia",,"monoecy","xMono"
"Begonia_antaisaka",,,
"Begonia_anthonyi",,,
"Begonia_antongilensis",,"monoecy","xMono"
"Begonia_antsingyensis",,"monoecy","xMono"
"Begonia_antsiranensis",,"monoecy","xMono"
"Begonia_apayaoensis",,,
"Begonia_apparicioi",,"monoecy","xMono"
"Begonia_aptera","yes","monoecy","xMono"
"Begonia_arachnoidea",,"monoecy","xMono"
"Begonia_arborescens",,"monoecy","xMono"
"Begonia_arboreta",,,
"Begonia_archboldiana",,,
"Begonia_areolata",,"monoecy","xMono"
"Begonia_arfakensis",,,
"Begonia_argentea",,"monoecy","xMono"
"Begonia_argenteomarginata",,"monoecy","xMono"
"Begonia_aridicaulis",,"monoecy","xMono"
"Begonia_arnottiana",,"monoecy","xMono"
