"Name","OnTree","SexSyst","SexSyst4"
"Boehmeria_allophylla",,"monoecy","xMono"
"Boehmeria_amarantus",,,
"Boehmeria_arenicola",,,
"Boehmeria_aspera",,,
"Boehmeria_australis",,,
"Boehmeria_balslevii",,,
"Boehmeria_beyeri",,,
"Boehmeria_biloba","yes",,
"Boehmeria_blumei",,,
"Boehmeria_brevirostris",,,
"Boehmeria_bullata",,,
"Boehmeria_burgeriana",,,
"Boehmeria_calophleba","yes","monoecy","xMono"
"Boehmeria_capensis",,,
"Boehmeria_caudata",,,
"Boehmeria_cavaleriei",,,
"Boehmeria_celebica",,,
"Boehmeria_celtidifolia",,,
"Boehmeria_chingshuishaniana",,,
"Boehmeria_clidemioides","yes","dioecy","Dio"
"Boehmeria_compacta",,,
"Boehmeria_conica",,"dioecy","Dio"
"Boehmeria_coriacea",,,
"Boehmeria_cylindrica",,,
"Boehmeria_cypholophoides",,,
"Boehmeria_densiflora","yes","dioecy|monoecy","Dio|xMono"
"Boehmeria_densiglomerata","yes",,
"Boehmeria_didymogyne",,,
"Boehmeria_dolichostachya","yes",,
"Boehmeria_excelsa",,,
"Boehmeria_formosana","yes","dioecy","Dio"
"Boehmeria_glomerulifera","yes","dioecy|monoecy","Dio|xMono"
"Boehmeria_gracilis",,,
"Boehmeria_grandis",,"monoecy","xMono"
"Boehmeria_grandissima",,,
"Boehmeria_hamiltoniana",,,
"Boehmeria_helferi",,,
"Boehmeria_holosericea",,,
"Boehmeria_ingjiangensis",,,
"Boehmeria_japonica","yes","dioecy","Dio"
"Boehmeria_kamley",,,
"Boehmeria_klossii",,,
"Boehmeria_kurzii",,,
"Boehmeria_lanceolata",,"monoecy","xMono"
"Boehmeria_lohuiensis",,"dioecy","Dio"
"Boehmeria_macrophylla","yes","dioecy|monoecy","Dio|xMono"
"Boehmeria_marti",,,
"Boehmeria_maugeretii",,,
"Boehmeria_mollicoma",,,
"Boehmeria_monticola",,,
"Boehmeria_multiflora",,,
"Boehmeria_nakashimae",,,
"Boehmeria_neglecta",,,
"Boehmeria_pannosa","yes",,
"Boehmeria_pavonii",,,
"Boehmeria_penduliflora","yes","dioecy|monoecy","Dio|xMono"
"Boehmeria_pilosiuscula",,"monoecy","xMono"
"Boehmeria_platanifolia","yes","monoecy","xMono"
"Boehmeria_polystachya","yes","monoecy","xMono"
"Boehmeria_pseudotomentosa",,,
"Boehmeria_quelpaertensis",,,
"Boehmeria_radiata",,,
"Boehmeria_ramiflora",,,
"Boehmeria_rugosissima",,,
"Boehmeria_rugulosa","yes",,
"Boehmeria_rupestris",,,
"Boehmeria_siamensis",,"dioecy|monoecy","Dio|xMono"
"Boehmeria_sieboldiana",,,
"Boehmeria_silvestrii","yes","dioecy|monoecy","Dio|xMono"
"Boehmeria_spicata","yes","dioecy|monoecy","Dio|xMono"
"Boehmeria_spicigera",,,
"Boehmeria_taquetii",,,
"Boehmeria_thorelii",,,
"Boehmeria_tirapensis",,,
"Boehmeria_tomentosa","yes",,
"Boehmeria_tosaensis",,,
"Boehmeria_tricuspis","yes","dioecy|monoecy","Dio|xMono"
"Boehmeria_tsaratananensis",,,
"Boehmeria_ulmifolia",,,
"Boehmeria_umbrosa","yes","dioecy|monoecy","Dio|xMono"
"Boehmeria_villosa",,,
"Boehmeria_virgata",,,
"Boehmeria_weddelliana",,,
"Boehmeria_yaeyamensis",,,
"Boehmeria_zollingeriana","yes",,
