"Name","OnTree","SexSyst","SexSyst4"
"Bursera_altijuga","yes","dioecy","Dio"
"Bursera_amplifolia",,,
"Bursera_angustata","yes",,
"Bursera_aptera","yes","dioecy","Dio"
"Bursera_arida","yes","dioecy","Dio"
"Bursera_ariensis","yes","dioecy","Dio"
"Bursera_aromatica",,,
"Bursera_aspleniifolia","yes","dioecy","Dio"
"Bursera_attenuata","yes","dioecy","Dio"
"Bursera_bicolor","yes","dioecy","Dio"
"Bursera_biflora","yes","dioecy","Dio"
"Bursera_bipinnata","yes","dioecy","Dio"
"Bursera_bolivarii","yes","dioecy","Dio"
"Bursera_bonetii",,"dioecy","Dio"
"Bursera_brunea","yes",,
"Bursera_cerasiifolia","yes",,
"Bursera_chemapodicta","yes","dioecy","Dio"
"Bursera_cinerea",,"dioecy","Dio"
"Bursera_citronella","yes","dioecy","Dio"
"Bursera_collina",,,
"Bursera_confusa","yes","dioecy","Dio"
"Bursera_copallifera","yes","dioecy","Dio"
"Bursera_coyucensis","yes","dioecy","Dio"
"Bursera_crenata",,"dioecy","Dio"
"Bursera_cuneata",,"dioecy","Dio"
"Bursera_denticulata",,"dioecy","Dio"
"Bursera_discolor","yes","dioecy","Dio"
"Bursera_diversifolia",,,
"Bursera_dubia",,,
"Bursera_epinnata","yes","polygamodioecy","xDio"
"Bursera_esparzae","yes","dioecy","Dio"
"Bursera_excelsa","yes","dioecy","Dio"
"Bursera_fagaroides","yes","dioecy|polygamodioecy","Dio|xDio"
"Bursera_filicifolia","yes","dioecy|polygamodioecy","Dio|xDio"
"Bursera_fragilis","yes","dioecy","Dio"
"Bursera_fragrantissima","yes","dioecy","Dio"
"Bursera_frenningiae","yes",,
"Bursera_galeottiana","yes","dioecy","Dio"
"Bursera_glabra","yes",,
"Bursera_glabrifolia","yes","dioecy","Dio"
"Bursera_glauca","yes",,
"Bursera_gracilipes","yes",,
"Bursera_grandifolia","yes","dioecy","Dio"
"Bursera_graveolens","yes","dioecy","Dio"
"Bursera_heliae",,,
"Bursera_heptaphylla",,,
"Bursera_heteresthes","yes","dioecy","Dio"
"Bursera_heterophylla",,,
"Bursera_hindsiana",,"dioecy","Dio"
"Bursera_hintonii","yes","dioecy","Dio"
"Bursera_hollickii",,,
"Bursera_howellii",,,
"Bursera_icicariba",,,
"Bursera_infernidialis","yes","dioecy","Dio"
"Bursera_instabilis","yes","dioecy","Dio"
"Bursera_inversa",,,
"Bursera_isthmica",,"dioecy","Dio"
"Bursera_itzae","yes",,
"Bursera_karsteniana",,,
"Bursera_karwinskii",,,
"Bursera_kerberi","yes","dioecy","Dio"
"Bursera_klugii",,,
"Bursera_krusei","yes","dioecy","Dio"
"Bursera_lancifolia","yes","dioecy","Dio"
"Bursera_laurihuertae","yes","dioecy","Dio"
"Bursera_laxiflora","yes","dioecy","Dio"
"Bursera_linanoe","yes","dioecy","Dio"
"Bursera_longipes","yes","dioecy","Dio"
"Bursera_lunanii",,,
"Bursera_macvaughiana",,"dioecy","Dio"
"Bursera_madrigalii","yes","dioecy","Dio"
"Bursera_martae",,,
"Bursera_medranoana","yes","dioecy","Dio"
"Bursera_microphylla","yes","polygamodioecy","xDio"
"Bursera_mirandae",,"dioecy","Dio"
"Bursera_morelensis","yes","dioecy","Dio"
"Bursera_multifolia","yes","dioecy","Dio"
"Bursera_multijuga","yes","dioecy","Dio"
"Bursera_nashii","yes",,
"Bursera_occulta","yes",,
"Bursera_oerstedii",,,
"Bursera_ovalifolia","yes","dioecy","Dio"
"Bursera_ovata","yes",,
"Bursera_palaciosii","yes","dioecy","Dio"
"Bursera_palmeri","yes","dioecy","Dio"
"Bursera_panamensis",,,
"Bursera_paradoxa","yes","dioecy","Dio"
"Bursera_penicillata","yes","dioecy","Dio"
"Bursera_permollis","yes",,
"Bursera_pontiveteris","yes","dioecy","Dio"
"Bursera_ribana","yes","dioecy","Dio"
"Bursera_roseana","yes","dioecy","Dio"
"Bursera_rupicola","yes","dioecy|polygamodioecy","Dio|xDio"
"Bursera_rzedowskii","yes","dioecy","Dio"
"Bursera_sarcopoda",,"dioecy","Dio"
"Bursera_sarukhanii","yes","dioecy","Dio"
"Bursera_schlechtendalii","yes","dioecy","Dio"
"Bursera_sellowii",,,
"Bursera_shaferi","yes",,
"Bursera_silviae","yes",,
"Bursera_simaruba","yes","dioecy","Dio"
"Bursera_simplex","yes","dioecy","Dio"
"Bursera_spinescens","yes",,
"Bursera_standleyana","yes",,
"Bursera_staphyleoides","yes","dioecy","Dio"
"Bursera_stenophylla","yes",,
"Bursera_submoniliformis","yes","dioecy","Dio"
"Bursera_subtrifoliata",,,
"Bursera_suntui","yes","dioecy","Dio"
"Bursera_tecomaca","yes","dioecy","Dio"
"Bursera_toledoana",,,
"Bursera_tomentosa",,"dioecy","Dio"
"Bursera_tonkinensis","yes",,
"Bursera_trifoliolata","yes","dioecy","Dio"
"Bursera_trimera","yes","dioecy","Dio"
"Bursera_vazquezyanesii","yes","dioecy","Dio"
"Bursera_vejar-vazquezii","yes","dioecy","Dio"
"Bursera_velutina","yes","dioecy","Dio"
"Bursera_xochipalensis","yes","dioecy","Dio"
