"Name","OnTree","SexSyst","SexSyst4"
"Cordia_aberrans","yes",,
"Cordia_acunae",,,
"Cordia_acuta",,,
"Cordia_acutifolia","yes",,
"Cordia_affinis",,,
"Cordia_africana","yes","hermaphrodite","Herm"
"Cordia_alba","yes","hermaphrodite","Herm"
"Cordia_allartii",,,
"Cordia_alliodora","yes","hermaphrodite","Herm"
"Cordia_ambigua","yes","hermaphrodite","Herm"
"Cordia_americana","yes",,
"Cordia_anabaptista","yes",,
"Cordia_andersonii","yes",,
"Cordia_andreana",,,
"Cordia_anisodonta",,,
"Cordia_anisophylla",,,
"Cordia_appendiculata",,,
"Cordia_araripensis",,,
"Cordia_areolata",,,
"Cordia_aristeguietae",,,
"Cordia_aspera","yes",,
"Cordia_aurantiaca",,,
"Cordia_axillaris",,,
"Cordia_badeava",,,
"Cordia_bahamensis",,,
"Cordia_balanocarpa",,,
"Cordia_bantamensis",,,
"Cordia_baracoensis",,,
"Cordia_barahonensis",,,
"Cordia_barbata",,,
"Cordia_bellonis",,,
"Cordia_bequaertii",,,
"Cordia_bicolor","yes","hermaphrodite","Herm"
"Cordia_bifurcata","yes","hermaphrodite","Herm"
"Cordia_blancoi",,,
"Cordia_bogotensis",,,
"Cordia_boissieri","yes",,
"Cordia_bombardensis",,,
"Cordia_bonplandii",,,
"Cordia_bordasii","yes",,
"Cordia_borinquensis","yes","dioecy","Dio"
"Cordia_braceliniae",,,
"Cordia_brachytricha",,,
"Cordia_brasiliensis",,,
"Cordia_bridgesii",,,
"Cordia_brittonii",,,
"Cordia_brownei",,,
"Cordia_brunnea",,,
"Cordia_buddleoides",,,
"Cordia_bullata","yes",,
"Cordia_bullulata",,,
"Cordia_buxifolia",,,
"Cordia_cabanayensis",,,
"Cordia_caffra",,,
"Cordia_calcicola",,,
"Cordia_calocephala",,,
"Cordia_calocoma",,,
"Cordia_campestris",,,
"Cordia_candidula",,,
"Cordia_caput-medusae",,,
"Cordia_cardenasiana",,,
"Cordia_chabrensis",,,
"Cordia_chaetodonta",,,
"Cordia_chamissoniana",,,
"Cordia_cicatricosa",,,
"Cordia_cinerascens",,,
"Cordia_clarendonensis",,,
"Cordia_clarkei",,,
"Cordia_claviceps",,,
"Cordia_cochinchinensis","yes","hermaphrodite","Herm"
"Cordia_colimensis",,,
"Cordia_collococca",,"polygamodioecy","xDio"
"Cordia_colombiana",,,
"Cordia_coloradiphila",,,
"Cordia_copulata",,,
"Cordia_corallicola",,,
"Cordia_corchorifolia",,,
"Cordia_cordiformis",,,
"Cordia_coriacea",,,
"Cordia_correae","yes",,
"Cordia_crassifolia",,,
"Cordia_cremersii",,,
"Cordia_crenata",,,
"Cordia_crenatifolia",,,
"Cordia_crispiflora",,,
"Cordia_croatii",,"hermaphrodite","Herm"
"Cordia_curassavica","yes","hermaphrodite","Herm"
"Cordia_curbeloi",,,
"Cordia_cylindrostachya",,,
"Cordia_cymosa","yes","dioecy","Dio"
"Cordia_dardanoi",,,
"Cordia_decandra","yes","hermaphrodite","Herm"
"Cordia_decipiens","yes",,
"Cordia_dependens",,,
"Cordia_dewevrei",,,
"Cordia_dichotoma",,"polygamodioecy","xDio"
"Cordia_diffusa",,,
"Cordia_dillenii",,,
"Cordia_discolor","yes",,
"Cordia_diversifolia","yes",,
"Cordia_dodecandra",,,
"Cordia_dodecandria",,,
"Cordia_domestica",,,
"Cordia_domingensis",,,
"Cordia_duartei",,,
"Cordia_dubiosa",,,
"Cordia_dumosa",,,
"Cordia_dusenii",,,
"Cordia_dwyeri",,"hermaphrodite","Herm"
"Cordia_ecalyculata",,,
"Cordia_eggersii",,,
"Cordia_elaeagnoides","yes","hermaphrodite","Herm"
"Cordia_ellenbeckii",,,
"Cordia_elliptica","yes",,
"Cordia_ensifolia",,,
"Cordia_eriostigma",,,
"Cordia_erythrococca",,,
"Cordia_exaltata",,,
"Cordia_exarata",,,
"Cordia_expansa",,,
"Cordia_fallax",,,
"Cordia_fanchoniae",,,
"Cordia_fasciata",,,
"Cordia_fasciculata",,,
"Cordia_faulknerae","yes",,
"Cordia_fischeri",,,
"Cordia_fissistyla",,,
"Cordia_fitchii",,,
"Cordia_flava",,,
"Cordia_foliosa",,,
"Cordia_fragrantissima",,,
"Cordia_fuertesii",,,
"Cordia_fulva",,,
"Cordia_furcans",,,
"Cordia_galapagensis",,,
"Cordia_galeottiana","yes",,
"Cordia_gardneri",,,
"Cordia_gentryi",,,
"Cordia_gerascanthus","yes","hermaphrodite","Herm"
"Cordia_gibberosa",,,
"Cordia_gilletii",,,
"Cordia_glabrata","yes",,
"Cordia_glandulosa","yes",,
"Cordia_glazioviana","yes",,
"Cordia_globifera",,,
"Cordia_globulifera","yes","hermaphrodite","Herm"
"Cordia_goeldiana","yes",,
"Cordia_goetzei",,,
"Cordia_gracilipes",,,
"Cordia_grandicalyx",,,
"Cordia_grandiflora",,,
"Cordia_grandis",,,
"Cordia_greggii",,,
"Cordia_grisebachii",,,
"Cordia_guacharaca",,,
"Cordia_guanacastensis","yes","hermaphrodite","Herm"
"Cordia_guaranitica",,,
"Cordia_guerkeana","yes","hermaphrodite","Herm"
"Cordia_guineensis","yes",,
"Cordia_haitiensis",,,
"Cordia_harara",,,
"Cordia_harleyi","yes",,
"Cordia_harrisii",,,
"Cordia_hartwissiana",,,
"Cordia_hatschbachii",,,
"Cordia_heccaidecandra",,,
"Cordia_holguinensis",,,
"Cordia_hookeriana",,,
"Cordia_iberica",,,
"Cordia_ignea",,,
"Cordia_iguaguana","yes",,
"Cordia_igualensis","yes","hermaphrodite","Herm"
"Cordia_incognita","yes",,
"Cordia_inermis",,"dioecy|polygamodioecy","Dio|xDio"
"Cordia_insignis","yes",,
"Cordia_integrifolia",,,
"Cordia_intermedia",,,
"Cordia_intonsa",,,
"Cordia_intricata",,,
"Cordia_jamaicensis",,,
"Cordia_jeremiensis",,,
"Cordia_kingstoniana",,,
"Cordia_koemariae",,,
"Cordia_krauseana",,,
"Cordia_laevifrons",,,
"Cordia_laevigata",,,
"Cordia_laevior",,,
"Cordia_lamprophylla",,,
"Cordia_lanceolata",,,
"Cordia_lantanoides",,,
"Cordia_lasiocalyx","yes","hermaphrodite","Herm"
"Cordia_lasseri",,,
"Cordia_latiloba",,,
"Cordia_lauta","yes",,
"Cordia_lenis","yes",,
"Cordia_leonis",,,
"Cordia_leptoclada",,,
"Cordia_leslieae","yes",,
"Cordia_leucocalyx",,,
"Cordia_leucocephala","yes",,
"Cordia_leucocoma",,,
"Cordia_leucomalla",,,
"Cordia_leucomalloides","yes",,
"Cordia_leucophlyctis","yes",,
"Cordia_leucosebestera",,,
"Cordia_liesneri","yes",,
"Cordia_lima",,,
"Cordia_limicola",,"hermaphrodite","Herm"
"Cordia_linearicalycina",,,
"Cordia_lippioides",,,
"Cordia_llanense",,,
"Cordia_lomatoloba",,,
"Cordia_longiflora",,,
"Cordia_longifolia",,,
"Cordia_longipedunculata",,,
"Cordia_longipetiolata",,,
"Cordia_longituba",,,
"Cordia_lowryana",,,
"Cordia_lucayana",,,
"Cordia_lucidula","yes","hermaphrodite","Herm"
"Cordia_lutea","yes",,
"Cordia_macleodii",,"polygamomonoecy","xMono"
"Cordia_macrantha",,,
"Cordia_macrocephala","yes","hermaphrodite","Herm"
"Cordia_macrodonta",,,
"Cordia_macrophylla",,,
"Cordia_macuirensis",,,
"Cordia_macvaughii",,,
"Cordia_magnoliifolia",,,
"Cordia_mairei","yes",,
"Cordia_mandimbana",,,
"Cordia_marioniae",,,
"Cordia_martinicensis","yes",,
"Cordia_mayoi",,,
"Cordia_megalantha","yes","hermaphrodite","Herm"
"Cordia_membranacea",,,
"Cordia_meridensis",,,
"Cordia_mexiana",,,
"Cordia_mhaya",,,
"Cordia_micayensis",,,
"Cordia_micronesica",,,
"Cordia_microsebestena",,,
"Cordia_millenii",,,
"Cordia_mirabiliflora",,,
"Cordia_mirabiloides",,,
"Cordia_moaensis",,,
"Cordia_mollissima",,,
"Cordia_moluccana",,,
"Cordia_molundensis",,,
"Cordia_monoica","yes",,
"Cordia_morelosana",,"hermaphrodite","Herm"
"Cordia_mukuensis",,,
"Cordia_multicapitata",,,
"Cordia_multispicata",,,
"Cordia_munda",,,
"Cordia_myxa","yes",,
"Cordia_naidophila","yes",,
"Cordia_nashii",,,
"Cordia_nelsonii",,,
"Cordia_neowediana",,,
"Cordia_nervosa",,,
"Cordia_nesophila",,,
"Cordia_nettoana",,,
"Cordia_nevillii",,,
"Cordia_nipensis",,,
"Cordia_nivea",,,
"Cordia_nodosa","yes",,
"Cordia_oaxacana","yes","hermaphrodite","Herm"
"Cordia_oblongifolia",,,
"Cordia_obovata",,,
"Cordia_obtusa",,,
"Cordia_ochnacea",,,
"Cordia_octandra",,,
"Cordia_oligodonta",,,
"Cordia_olitoria",,,
"Cordia_oliverii",,,
"Cordia_oncocalyx","yes",,
"Cordia_ovalis",,,
"Cordia_panamensis","yes","dioecy","Dio"
"Cordia_panicularis","yes",,
"Cordia_parvifolia",,"hermaphrodite","Herm"
"Cordia_paucidentata",,,
"Cordia_pedunculosa",,,
"Cordia_perbella",,,
"Cordia_perrottetii",,,
"Cordia_perroyana",,,
"Cordia_peruviana",,,
"Cordia_peteri",,,
"Cordia_picardae",,,
"Cordia_pilosa","yes","hermaphrodite","Herm"
"Cordia_pilosissima",,,
"Cordia_platyphylla",,,
"Cordia_platystachya",,,
"Cordia_platythyrsa",,,
"Cordia_podocephala",,"hermaphrodite","Herm"
"Cordia_poliophylla",,,
"Cordia_polycephala","yes",,
"Cordia_polystachya",,,
"Cordia_porcata","yes","hermaphrodite","Herm"
"Cordia_propinqua",,,
"Cordia_protracta",,,
"Cordia_prunifolia",,,
"Cordia_pulchra",,,
"Cordia_pulverulenta",,,
"Cordia_ramirezii",,,
"Cordia_resinosa",,,
"Cordia_revoluta","yes",,
"Cordia_rhombifolia",,,
"Cordia_rickseckeri",,,
"Cordia_ripicola",,,
"Cordia_rogersii",,,
"Cordia_roraimae",,,
"Cordia_rosei",,,
"Cordia_rotata",,,
"Cordia_rubescens",,,
"Cordia_rufescens","yes",,
"Cordia_rupicola",,,
"Cordia_rusbyi",,,
"Cordia_saccellia","yes",,
"Cordia_sagotii","yes",,
"Cordia_salvadorensis",,"dioecy","Dio"
"Cordia_salviifolia",,,
"Cordia_sangrinaria",,,
"Cordia_sauvallei",,,
"Cordia_scaberrima",,,
"Cordia_scabra",,,
"Cordia_scabrifolia","yes",,
"Cordia_schatziana",,,
"Cordia_schomburgkii",,,
"Cordia_schottiana",,,
"Cordia_scouleri",,,
"Cordia_sebestena","yes",,
"Cordia_seleriana","yes","hermaphrodite","Herm"
"Cordia_selleana",,,
"Cordia_sellowiana","yes",,
"Cordia_senegalensis",,,
"Cordia_sericicalyx",,,
"Cordia_serratifolia",,,
"Cordia_sessilifolia","yes",,
"Cordia_setigera",,,
"Cordia_setulosa",,,
"Cordia_shaferi",,,
"Cordia_silvestris",,,
"Cordia_sinensis",,,
"Cordia_sipapoi",,,
"Cordia_skutchii",,,
"Cordia_somaliensis",,,
"Cordia_sonorae","yes","hermaphrodite","Herm"
"Cordia_spinescens","yes","hermaphrodite","Herm"
"Cordia_splendida",,,
"Cordia_sprucei",,,
"Cordia_stellata",,,
"Cordia_stellifera",,,
"Cordia_stenoclada",,,
"Cordia_stenoloba",,,
"Cordia_stenophylla",,,
"Cordia_stenostachya",,,
"Cordia_steyermarkii",,,
"Cordia_striata","yes",,
"Cordia_strigosa",,,
"Cordia_stuhlmannii",,,
"Cordia_subcordata","yes",,
"Cordia_subdentata",,,
"Cordia_subtruncata",,,
"Cordia_suckertii",,,
"Cordia_suffruticosa",,,
"Cordia_sulcata",,,
"Cordia_superba","yes",,
"Cordia_tacarcunensis",,,
"Cordia_taguahyensis","yes",,
"Cordia_tetrandra","yes",,
"Cordia_thaisiana","yes",,
"Cordia_tinifolia","yes","hermaphrodite","Herm"
"Cordia_toaensis",,,
"Cordia_tomentosa",,,
"Cordia_toqueve","yes",,
"Cordia_torrei",,,
"Cordia_tortuensis",,,
"Cordia_trachyphylla","yes",,
"Cordia_triangularis",,,
"Cordia_trichoclada","yes",,
"Cordia_trichocladophylla",,,
"Cordia_trichostemon",,,
"Cordia_trichotoma","yes",,
"Cordia_troyana",,,
"Cordia_truncata",,,
"Cordia_truncatifolia",,,
"Cordia_ucayaliensis","yes",,
"Cordia_ulei",,,
"Cordia_umbellifera","yes",,
"Cordia_uncinulata",,,
"Cordia_utermarkiana",,,
"Cordia_valenzuelana",,,
"Cordia_vanhermannii",,,
"Cordia_vargasii",,,
"Cordia_varronifolia","yes",,
"Cordia_venosa",,,
"Cordia_vestita",,"polygamomonoecy","xMono"
"Cordia_vignei",,,
"Cordia_wagnerorum",,,
"Cordia_watsonii",,,
"Cordia_weddellii",,,
"Cordia_williamsii",,,
"Cordia_wurdackiana",,,
"Cordia_yombomba",,,
