"Name","OnTree","SexSyst","SexSyst4"
"Croton_abaitensis",,,
"Croton_abeggii",,,
"Croton_abruptus",,"dioecy","Dio"
"Croton_abutilifolius",,,
"Croton_abutiloides","yes","monoecy","xMono"
"Croton_abutilopsis",,"monoecy","xMono"
"Croton_acapulcensis","yes","monoecy","xMono"
"Croton_aceroides",,,
"Croton_ackermannianus",,"monoecy","xMono"
"Croton_acradenius",,"monoecy","xMono"
"Croton_acronychioides",,,
"Croton_acuminatissimus",,"monoecy","xMono"
"Croton_acunae",,,
"Croton_acutifolius","yes",,
"Croton_adabolavensis",,,
"Croton_adamantinus",,,
"Croton_adenocalyx",,,
"Croton_adenodontus",,,
"Croton_adenophorus",,,
"Croton_adenophyllus","yes","monoecy","xMono"
"Croton_adipatus",,,
"Croton_adspersus","yes","monoecy","xMono"
"Croton_aequatoris","yes","monoecy","xMono"
"Croton_agoensis",,,
"Croton_agrarius",,,
"Croton_agrestis",,"monoecy","xMono"
"Croton_agrophilus",,,
"Croton_alabamensis",,"monoecy","xMono"
"Croton_alagoensis",,"monoecy","xMono"
"Croton_alainii","yes","monoecy","xMono"
"Croton_alamosanus","yes","dioecy|monoecy","Dio|xMono"
"Croton_albellus",,,
"Croton_alchorneicarpus","yes","monoecy","xMono"
"Croton_alienus",,,
"Croton_allemii",,"monoecy","xMono"
"Croton_alloeophyllus",,,
"Croton_alnifolius",,,
"Croton_alnoideus",,,
"Croton_alpinus",,,
"Croton_alvaradonis",,,
"Croton_amazonicus",,,
"Croton_ambanivoulensis",,,
"Croton_ambovombensis",,,
"Croton_ameliae","yes","monoecy","xMono"
"Croton_amphileucus",,,
"Croton_amplifolius",,,
"Croton_andinus",,"monoecy","xMono"
"Croton_androiensis",,,
"Croton_angolensis",,,
"Croton_angustifrons",,"monoecy","xMono"
"Croton_anisatus",,,
"Croton_anisodontus",,"monoecy","xMono"
"Croton_ankarensis",,,
"Croton_anomalus",,,
"Croton_anosiravensis",,,
"Croton_antae",,,
"Croton_antanosiensis",,,
"Croton_antisyphiliticus",,"monoecy","xMono"
"Croton_apicifolius",,,
"Croton_apostolon",,"monoecy","xMono"
"Croton_appertii",,,
"Croton_araracuarae",,,
"Croton_araripensis",,,
"Croton_arboreus","yes","monoecy","xMono"
"Croton_arechavaletae",,,
"Croton_argentealbidus",,"monoecy","xMono"
"Croton_argenteus","yes","monoecy","xMono"
"Croton_argentinus",,"monoecy","xMono"
"Croton_argyranthemus","yes","monoecy","xMono"
"Croton_argyratus","yes",,
"Croton_argyrodaphne",,,
"Croton_argyroglossus",,,
"Croton_argyrophyllus","yes","monoecy","xMono"
"Croton_aridus",,,
"Croton_aripoensis",,"monoecy","xMono"
"Croton_arirambae",,,
"Croton_aristophlebius",,"monoecy","xMono"
"Croton_arlineae",,,
"Croton_armstrongii",,,
"Croton_arnhemicus",,,
"Croton_aromaticus",,,
"Croton_artibonitensis",,,
"Croton_ascendens",,"monoecy","xMono"
"Croton_asperrimus",,,
"Croton_astianus",,,
"Croton_astroites","yes","monoecy","xMono"
"Croton_astrophorus",,"monoecy","xMono"
"Croton_ater","yes","monoecy","xMono"
"Croton_atrorufus",,,
"Croton_atrostellatus",,"monoecy","xMono"
"Croton_aubrevilecta",,,
"Croton_aubrevillei",,,
"Croton_avulsus",,,
"Croton_axillaris","yes","monoecy","xMono"
"Croton_aymoniniorum",,,
"Croton_azuensis",,,
"Croton_babuyanensis",,,
"Croton_badiocalyx",,,
"Croton_baillonianus",,,
"Croton_baldauffii",,,
"Croton_balsameus",,,
"Croton_balsensis",,,
"Croton_bangii",,,
"Croton_barahonensis",,,
"Croton_barbatus",,,
"Croton_barorum",,,
"Croton_bastardii",,,
"Croton_batangasensis",,,
"Croton_bathianus",,,
"Croton_beetlei","yes","monoecy","xMono"
"Croton_belintae",,,
"Croton_bemaranus",,,
"Croton_bemarivensis",,,
"Croton_berberifolius",,,
"Croton_bergassae",,,
"Croton_bernieri",,,
"Croton_bernierus",,,
"Croton_betaceus",,,
"Croton_betiokensis",,,
"Croton_betulaster",,,
"Croton_betulinus","yes","monoecy","xMono"
"Croton_bevilaniensis",,,
"Croton_biaroensis",,,
"Croton_bidentatus",,,
"Croton_bifurcatus",,,
"Croton_bigbendensis","yes","dioecy","Dio"
"Croton_billbergianus","yes","monoecy","xMono"
"Croton_bispinosus","yes","monoecy","xMono"
"Croton_bisserratus",,,
"Croton_blanchetianus",,"monoecy","xMono"
"Croton_boavitanus",,"monoecy","xMono"
"Croton_bogotanus",,,
"Croton_boinensis",,,
"Croton_boissieri",,,
"Croton_boiteaui","yes",,
"Croton_boivinianus",,,
"Croton_bojerianus","yes","monoecy","xMono"
"Croton_bolivarensis",,"monoecy","xMono"
"Croton_boliviensis",,,
"Croton_bondaensis",,,
"Croton_bonplandianus","yes","monoecy","xMono"
"Croton_borhidii",,,
"Croton_borneensis",,,
"Croton_boutonianus",,,
"Croton_brachypus",,,
"Croton_brachytrichus",,,
"Croton_bracteatus","yes","monoecy","xMono"
"Croton_brassii",,,
"Croton_bredemeyeri","yes","monoecy","xMono"
"Croton_breedlovei","yes",,
"Croton_bresolinii",,,
"Croton_brevipes","yes","monoecy","xMono"
"Croton_brevispicatus",,,
"Croton_brieyi",,,
"Croton_brittonianus","yes","monoecy","xMono"
"Croton_bryophorus",,,
"Croton_buchii",,"monoecy","xMono"
"Croton_burchellii","yes","monoecy","xMono"
"Croton_buxifolius",,,
"Croton_byrnesii",,,
"Croton_caboensis","yes","monoecy","xMono"
"Croton_cajucara","yes","monoecy","xMono"
"Croton_caldensis",,"monoecy","xMono"
"Croton_calderi",,,
"Croton_californicus","yes","dioecy","Dio"
"Croton_callicarpifolius",,,
"Croton_calocephalus",,"monoecy","xMono"
"Croton_calonervosus",,"monoecy","xMono"
"Croton_calyciglandulosus",,,
"Croton_calycinus",,,
"Croton_calycireduplicatus",,,
"Croton_calycularis",,,
"Croton_campanulatus","yes","monoecy","xMono"
"Croton_campenonii",,,
"Croton_campestris",,,
"Croton_capitatus","yes","monoecy","xMono"
"Croton_capitis-york",,,
"Croton_capuronii",,,
"Croton_caracasanus","yes","monoecy","xMono"
"Croton_carandaitensis",,,
"Croton_cardenasii",,,
"Croton_carinatus",,,
"Croton_carpostellatus",,"monoecy","xMono"
"Croton_carrii",,,
"Croton_caryocarpus",,,
"Croton_cascarilloides","yes",,
"Croton_cassinioides",,,
"Croton_catamarcensis",,"monoecy","xMono"
"Croton_catariae",,,
"Croton_catati",,,
"Croton_catharinensis",,,
"Croton_catinganus",,"monoecy","xMono"
"Croton_caudatus","yes",,
"Croton_ceanothifolius","yes","monoecy","xMono"
"Croton_cearensis",,"monoecy","xMono"
"Croton_celtidifolius","yes","monoecy","xMono"
"Croton_cerinodentatus",,"monoecy","xMono"
"Croton_cerinus","yes","monoecy","xMono"
"Croton_chaetocalyx",,,
"Croton_chaetophorus",,,
"Croton_chamanus",,,
"Croton_chamelensis","yes","monoecy","xMono"
"Croton_chapelieri",,,
"Croton_charaguensis",,"monoecy","xMono"
"Croton_chauvetiae",,,
"Croton_chiapensis",,"monoecy","xMono"
"Croton_chichenensis","yes","dioecy","Dio"
"Croton_chilensis","yes","monoecy","xMono"
"Croton_chimboracensis","yes","monoecy","xMono"
"Croton_chiribiquetensis",,,
"Croton_chittagongensis",,,
"Croton_chlaenacicomes",,,
"Croton_chlorocalyx",,,
"Croton_chloroleucus",,"monoecy","xMono"
"Croton_chocoanus","yes","monoecy","xMono"
"Croton_chodatii",,"monoecy","xMono"
"Croton_choristadenius",,,
"Croton_chrysocladus",,,
"Croton_chrysodaphne","yes","monoecy","xMono"
"Croton_chunianus",,,
"Croton_churumayensis",,,
"Croton_churutensis",,"monoecy","xMono"
"Croton_chypreae",,,
"Croton_cienagensis",,,
"Croton_ciliatoglandulifer","yes","monoecy","xMono"
"Croton_cinerascens",,,
"Croton_cinerellus",,,
"Croton_claessensii",,,
"Croton_claussenianus",,"monoecy","xMono"
"Croton_clavuliger",,,
"Croton_cliffordii",,,
"Croton_cnidophyllus",,,
"Croton_coccineus",,,
"Croton_coccymelophyllus",,,
"Croton_colliguay",,,
"Croton_colombianus",,,
"Croton_colubrinoides",,,
"Croton_columnaris",,"monoecy","xMono"
"Croton_comanthus",,,
"Croton_comatus",,,
"Croton_comayaguanus",,,
"Croton_comes",,,
"Croton_compressus",,"monoecy","xMono"
"Croton_conduplicatus",,"monoecy","xMono"
"Croton_confertus",,,
"Croton_confinis",,,
"Croton_congensis",,,
"Croton_congestus",,,
"Croton_consanguineus",,,
"Croton_conspurcatus","yes","monoecy","xMono"
"Croton_constrictus",,,
"Croton_cooperianus",,"monoecy","xMono"
"Croton_corallicola",,,
"Croton_cordatulus",,,
"Croton_cordiifolius",,"dioecy","Dio"
"Croton_cordobensis",,,
"Croton_coriaceus","yes","monoecy","xMono"
"Croton_coriifolius","yes",,
"Croton_corinthius","yes","monoecy","xMono"
"Croton_coronatus",,"monoecy","xMono"
"Croton_cortesianus",,"dioecy","Dio"
"Croton_corumbensis",,,
"Croton_coryi","yes","monoecy","xMono"
"Croton_corylifolius","yes","monoecy","xMono"
"Croton_costatus",,"monoecy","xMono"
