"Name","OnTree","SexSyst","SexSyst4"
"Dodonaea_adenophora","yes","dioecy","Dio"
"Dodonaea_amblyophylla","yes","dioecy","Dio"
"Dodonaea_amplisemina",,,
"Dodonaea_aptera","yes","dioecy","Dio"
"Dodonaea_baueri","yes","dioecy","Dio"
"Dodonaea_biloba","yes",,
"Dodonaea_boroniifolia","yes","dioecy","Dio"
"Dodonaea_bursariifolia","yes","dioecy","Dio"
"Dodonaea_caespitosa",,"dioecy","Dio"
"Dodonaea_camfieldii","yes","dioecy","Dio"
"Dodonaea_ceratocarpa","yes","dioecy","Dio"
"Dodonaea_concinna","yes","dioecy","Dio"
"Dodonaea_coriacea","yes","andromonoecy|gynomonoecy","xMono"
"Dodonaea_divaricata","yes","dioecy","Dio"
"Dodonaea_ericoides","yes","dioecy","Dio"
"Dodonaea_falcata","yes","dioecy","Dio"
"Dodonaea_filifolia","yes","dioecy","Dio"
"Dodonaea_filiformis",,"dioecy","Dio"
"Dodonaea_glandulosa","yes","dioecy","Dio"
"Dodonaea_hackettiana","yes","dioecy","Dio"
"Dodonaea_heteromorpha","yes","dioecy","Dio"
"Dodonaea_hexandra","yes","dioecy","Dio"
"Dodonaea_hirsuta","yes","dioecy","Dio"
"Dodonaea_humifusa","yes","dioecy","Dio"
"Dodonaea_humilis",,"dioecy","Dio"
"Dodonaea_inaequifolia","yes","dioecy","Dio"
"Dodonaea_intricata","yes","dioecy","Dio"
"Dodonaea_lagunensis",,,
"Dodonaea_lanceolata",,"polygamodioecy","xDio"
"Dodonaea_larraeoides","yes",,
"Dodonaea_lobulata","yes","dioecy","Dio"
"Dodonaea_macrossanii","yes","dioecy","Dio"
"Dodonaea_madagascariensis",,,
"Dodonaea_megazyga","yes","dioecy","Dio"
"Dodonaea_microzyga",,"dioecy","Dio"
"Dodonaea_multijuga","yes","dioecy","Dio"
"Dodonaea_oxyptera","yes","dioecy","Dio"
"Dodonaea_pachyneura","yes","dioecy","Dio"
"Dodonaea_peduncularis","yes","dioecy","Dio"
"Dodonaea_petiolaris","yes","dioecy","Dio"
"Dodonaea_physocarpa","yes","dioecy","Dio"
"Dodonaea_pinifolia","yes","dioecy","Dio"
"Dodonaea_pinnata","yes","dioecy","Dio"
"Dodonaea_platyptera","yes","dioecy","Dio"
"Dodonaea_polyandra",,"dioecy","Dio"
"Dodonaea_polyzyga","yes","andromonoecy|gynomonoecy","xMono"
"Dodonaea_procumbens","yes","dioecy","Dio"
"Dodonaea_ptarmicifolia","yes","dioecy","Dio"
"Dodonaea_rhombifolia","yes","dioecy","Dio"
"Dodonaea_rigida",,"dioecy","Dio"
"Dodonaea_rupicola","yes","dioecy","Dio"
"Dodonaea_scurra",,,
"Dodonaea_serratifolia","yes","polygamodioecy","xDio"
"Dodonaea_sinuolata","yes","dioecy","Dio"
"Dodonaea_stenophylla","yes","dioecy","Dio"
"Dodonaea_stenozyga","yes","dioecy","Dio"
"Dodonaea_subglandulifera",,"dioecy","Dio"
"Dodonaea_tenuifolia","yes","dioecy","Dio"
"Dodonaea_triangularis","yes","dioecy","Dio"
"Dodonaea_trifida","yes","dioecy","Dio"
"Dodonaea_triquetra","yes","dioecy","Dio"
"Dodonaea_truncatiales","yes","dioecy","Dio"
"Dodonaea_uncinata","yes","dioecy","Dio"
"Dodonaea_vestita","yes","dioecy","Dio"
"Dodonaea_viscosa",,"dioecy|polygamodioecy","Dio|xDio"
