"Name","OnTree","SexSyst","SexSyst4"
"Elatostema_abangense",,,
"Elatostema_acrophilum",,,
"Elatostema_acuminatissimum",,,
"Elatostema_acuminatum","yes","dioecy|monoecy","Dio|xMono"
"Elatostema_acutiserratum",,"dioecy|monoecy","Dio|xMono"
"Elatostema_acutitepalum",,"dioecy","Dio"
"Elatostema_agusanense",,,
"Elatostema_albopilosum","yes","monoecy","xMono"
"Elatostema_aliferum",,"monoecy","xMono"
"Elatostema_alnifolium",,"dioecy","Dio"
"Elatostema_ambiguum",,,
"Elatostema_angulare",,,
"Elatostema_angulosum",,"dioecy","Dio"
"Elatostema_angustatum",,,
"Elatostema_angustifolium",,,
"Elatostema_angustitepalum",,"monoecy","xMono"
"Elatostema_annulatum",,,
"Elatostema_antonii",,,
"Elatostema_apoense",,,
"Elatostema_appendiculatum",,,
"Elatostema_arcuans",,,
"Elatostema_articulatum",,,
"Elatostema_asterocephalum",,"dioecy|monoecy","Dio|xMono"
"Elatostema_atropurpureum","yes","dioecy","Dio"
"Elatostema_atroviride",,"dioecy|monoecy","Dio|xMono"
"Elatostema_attenuatoides",,,
"Elatostema_attenuatum",,"monoecy","xMono"
"Elatostema_auriculatifolium",,,
"Elatostema_auriculatum",,"dioecy","Dio"
"Elatostema_australe",,,
"Elatostema_baiseense",,"dioecy","Dio"
"Elatostema_balansae",,"dioecy","Dio"
"Elatostema_banahaense",,,
"Elatostema_barbarufa",,,
"Elatostema_barbatum",,,
"Elatostema_baruringense",,,
"Elatostema_basiandrum",,,
"Elatostema_baviense",,,
"Elatostema_beccarii",,,
"Elatostema_beibengense",,"dioecy","Dio"
"Elatostema_belense",,,
"Elatostema_benguetense",,,
"Elatostema_bidiense",,,
"Elatostema_biglomeratum",,"dioecy","Dio"
"Elatostema_binatum",,,
"Elatostema_binerve",,,
"Elatostema_blechnoides",,,
"Elatostema_boehmerioides",,"dioecy","Dio"
"Elatostema_boholense",,,
"Elatostema_bojongense",,,
"Elatostema_bontocense",,,
"Elatostema_borneense",,,
"Elatostema_brachyodontum",,"dioecy|monoecy","Dio|xMono"
"Elatostema_brachyurum",,,
"Elatostema_bracteosum",,"dioecy","Dio"
"Elatostema_breviacuminatum",,"dioecy","Dio"
"Elatostema_brevipedunculatum",,"dioecy","Dio"
"Elatostema_brongniartianum",,,
"Elatostema_brunneinerve",,"dioecy","Dio"
"Elatostema_brunneolum",,,
"Elatostema_brunonianum",,,
"Elatostema_buderi",,,
"Elatostema_bulbiferum",,,
"Elatostema_bulbothrix",,,
"Elatostema_bullatum",,,
"Elatostema_bulusanense",,,
"Elatostema_burmanicum",,,
"Elatostema_calcareum",,,
"Elatostema_calciferum",,"dioecy","Dio"
"Elatostema_calophyllum",,,
"Elatostema_capizense",,,
"Elatostema_catalonanum",,,
"Elatostema_catanduanense",,,
"Elatostema_caudatum",,,
"Elatostema_cauliflorum",,,
"Elatostema_celaticaule",,,
"Elatostema_cheirophyllum",,,
"Elatostema_ciliatum",,,
"Elatostema_clarkei",,,
"Elatostema_clemensii",,,
"Elatostema_colaniae",,,
"Elatostema_comptonioides",,,
"Elatostema_contiguum",,,
"Elatostema_coriaceifolium",,"dioecy","Dio"
"Elatostema_cornutum",,,
"Elatostema_crassiusculum",,"dioecy","Dio"
"Elatostema_crenatum",,"dioecy","Dio"
"Elatostema_crispulum",,"monoecy","xMono"
"Elatostema_cuneatum",,"dioecy","Dio"
"Elatostema_cuneiforme",,"monoecy","xMono"
"Elatostema_cupreoviride",,,
"Elatostema_cupulare",,,
"Elatostema_curtisii","yes",,
