"Name","OnTree","SexSyst","SexSyst4"
"Fragaria_bucharica","yes","hermaphrodite","Herm"
"Fragaria_chiloensis","yes","dioecy|hermaphrodite","Dio|Herm"
"Fragaria_daltoniana","yes","hermaphrodite","Herm"
"Fragaria_gracilis","yes","dioecy","Dio"
"Fragaria_iinumae","yes","hermaphrodite","Herm"
"Fragaria_iturupensis","yes","hermaphrodite","Herm"
"Fragaria_moschata","yes","dioecy","Dio"
"Fragaria_moupinensis","yes","dioecy","Dio"
"Fragaria_nilgerrensis","yes","hermaphrodite","Herm"
"Fragaria_nipponica","yes","hermaphrodite","Herm"
"Fragaria_nubicola","yes","hermaphrodite","Herm"
"Fragaria_orientalis","yes","dioecy","Dio"
"Fragaria_pentaphylla","yes","hermaphrodite","Herm"
"Fragaria_vesca","yes","gynodioecy|hermaphrodite","Herm|xDio"
"Fragaria_virginiana","yes","polygamodioecy","xDio"
"Fragaria_viridis","yes","hermaphrodite","Herm"
