"Name","OnTree","SexSyst","SexSyst4"
"Fraxinus_americana","yes","dioecy","Dio"
"Fraxinus_angustifolia","yes","andromonoecy","xMono"
"Fraxinus_anomala","yes","hermaphrodite","Herm"
"Fraxinus_apertisquamifera","yes","androdioecy","xDio"
"Fraxinus_baroniana",,"dioecy","Dio"
"Fraxinus_berlandieriana","yes","dioecy","Dio"
"Fraxinus_bornmuelleri",,,
"Fraxinus_bungeana","yes","androdioecy","xDio"
"Fraxinus_caroliniana","yes","dioecy","Dio"
"Fraxinus_chiisanensis","yes","androdioecy","xDio"
"Fraxinus_chinensis","yes","dioecy","Dio"
"Fraxinus_cuspidata","yes","hermaphrodite","Herm"
"Fraxinus_depauperata",,,
"Fraxinus_dimorpha",,,
"Fraxinus_dipetala","yes","hermaphrodite","Herm"
"Fraxinus_dubia","yes","polygamodioecy","xDio"
"Fraxinus_excelsior","yes","polygamodioecy","xDio"
"Fraxinus_ferruginea",,,
"Fraxinus_floribunda","yes","androdioecy","xDio"
"Fraxinus_gooddingii","yes","polygamodioecy","xDio"
"Fraxinus_greggii","yes","polygamodioecy","xDio"
"Fraxinus_griffithii","yes","hermaphrodite","Herm"
"Fraxinus_hookeri",,,
"Fraxinus_hubeiensis","yes","polygamodioecy","xDio"
"Fraxinus_insularis",,,
"Fraxinus_lanuginosa","yes","androdioecy","xDio"
"Fraxinus_latifolia","yes","dioecy","Dio"
"Fraxinus_longicuspis","yes","androdioecy","xDio"
"Fraxinus_malacophylla","yes","hermaphrodite","Herm"
"Fraxinus_mandshurica","yes","dioecy","Dio"
"Fraxinus_micrantha","yes","androdioecy","xDio"
"Fraxinus_nigra","yes","polygamodioecy","xDio"
"Fraxinus_odontocalyx",,,
"Fraxinus_ornus","yes","androdioecy","xDio"
"Fraxinus_papillosa","yes","dioecy","Dio"
"Fraxinus_parryi",,,
"Fraxinus_paxiana","yes","androdioecy","xDio"
"Fraxinus_pennsylvanica","yes","dioecy","Dio"
"Fraxinus_platypoda","yes","polygamodioecy","xDio"
"Fraxinus_potosina",,,
"Fraxinus_pringlei",,,
"Fraxinus_profunda","yes","dioecy","Dio"
"Fraxinus_punctata",,,
"Fraxinus_purpusii","yes","polygamodioecy","xDio"
"Fraxinus_quadrangulata","yes","hermaphrodite","Herm"
"Fraxinus_raibocarpa","yes","hermaphrodite","Herm"
"Fraxinus_reflexiflora",,,
"Fraxinus_retusa","yes",,
"Fraxinus_rufescens","yes","polygamodioecy","xDio"
"Fraxinus_sieboldiana","yes","androdioecy","xDio"
"Fraxinus_stylosa",,,
"Fraxinus_suaveolens","yes",,
"Fraxinus_texensis","yes","dioecy","Dio"
"Fraxinus_trifoliolata","yes","androdioecy","xDio"
"Fraxinus_uhdei","yes","dioecy","Dio"
"Fraxinus_velutina","yes","dioecy","Dio"
"Fraxinus_xanthoxyloides","yes","polygamodioecy","xDio"
