"Name","OnTree","SexSyst","SexSyst4"
"Gaertnera_alata",,"hermaphrodite","Herm"
"Gaertnera_aphanodioica","yes","dioecy","Dio"
"Gaertnera_arenaria","yes","hermaphrodite","Herm"
"Gaertnera_bambusifolia",,"hermaphrodite","Herm"
"Gaertnera_belumutensis","yes",,
"Gaertnera_bieleri",,"hermaphrodite","Herm"
"Gaertnera_brevipedicellata","yes","hermaphrodite","Herm"
"Gaertnera_calycina",,"hermaphrodite","Herm"
"Gaertnera_capitulata","yes","dioecy","Dio"
"Gaertnera_cardiocarpa",,"hermaphrodite","Herm"
"Gaertnera_cooperi","yes","hermaphrodite","Herm"
"Gaertnera_crassiflora",,"hermaphrodite","Herm"
"Gaertnera_cuneifolia","yes","hermaphrodite","Herm"
"Gaertnera_darcyana",,"hermaphrodite","Herm"
"Gaertnera_divaricata",,"dioecy","Dio"
"Gaertnera_diversifolia",,"dioecy","Dio"
"Gaertnera_drakeana",,"hermaphrodite","Herm"
"Gaertnera_edentata","yes","hermaphrodite","Herm"
"Gaertnera_eketensis",,"hermaphrodite","Herm"
"Gaertnera_fractiflexa","yes","dioecy","Dio"
"Gaertnera_furcellata",,"hermaphrodite","Herm"
"Gaertnera_globigera",,"dioecy","Dio"
"Gaertnera_grisea",,"dioecy","Dio"
"Gaertnera_guillotii",,"hermaphrodite","Herm"
"Gaertnera_hirtiflora",,"hermaphrodite","Herm"
"Gaertnera_hispida","yes","hermaphrodite","Herm"
"Gaertnera_humblotii","yes","hermaphrodite","Herm"
"Gaertnera_inflexa",,"hermaphrodite","Herm"
"Gaertnera_junghuhniana","yes","dioecy","Dio"
"Gaertnera_leucothyrsa",,"hermaphrodite","Herm"
"Gaertnera_liberiensis",,"hermaphrodite","Herm"
"Gaertnera_longifolia","yes","hermaphrodite","Herm"
"Gaertnera_longivaginalis","yes","hermaphrodite","Herm"
"Gaertnera_lowryi","yes","hermaphrodite","Herm"
"Gaertnera_macrobotrys",,"hermaphrodite","Herm"
"Gaertnera_macrostipula","yes","hermaphrodite","Herm"
"Gaertnera_madagascariensis","yes","hermaphrodite","Herm"
"Gaertnera_microphylla","yes","hermaphrodite","Herm"
"Gaertnera_obesa",,"dioecy","Dio"
"Gaertnera_oblanceolata",,"dioecy","Dio"
"Gaertnera_obovata","yes","hermaphrodite","Herm"
"Gaertnera_paniculata","yes","hermaphrodite","Herm"
"Gaertnera_pauciflora",,"hermaphrodite","Herm"
"Gaertnera_pendula",,"hermaphrodite","Herm"
"Gaertnera_phanerophlebia",,"hermaphrodite","Herm"
"Gaertnera_phyllosepala","yes","hermaphrodite","Herm"
"Gaertnera_phyllostachya","yes","hermaphrodite","Herm"
"Gaertnera_psychotrioides","yes","hermaphrodite","Herm"
"Gaertnera_ramosa",,"dioecy","Dio"
"Gaertnera_rosea","yes","hermaphrodite","Herm"
"Gaertnera_rotundifolia",,"hermaphrodite","Herm"
"Gaertnera_schatzii",,"hermaphrodite","Herm"
"Gaertnera_schizocalyx","yes","dioecy","Dio"
"Gaertnera_spicata",,"hermaphrodite","Herm"
"Gaertnera_sralensis",,"dioecy","Dio"
"Gaertnera_stictophylla",,"hermaphrodite","Herm"
"Gaertnera_ternifolia",,"hermaphrodite","Herm"
"Gaertnera_trachystyla",,"hermaphrodite","Herm"
"Gaertnera_vaginans",,"hermaphrodite","Herm"
"Gaertnera_vaginata","yes","hermaphrodite","Herm"
"Gaertnera_viminea","yes","dioecy","Dio"
"Gaertnera_walkeri","yes","hermaphrodite","Herm"
