"Name","OnTree","SexSyst","SexSyst4"
"Galium_abaujense",,,
"Galium_abruptorum",,,
"Galium_absurdum",,,
"Galium_achurense",,,
"Galium_acrophyum",,,
"Galium_acuminatum",,,
"Galium_acutum",,"hermaphrodite","Herm"
"Galium_adhaerens",,,
"Galium_advenum",,,
"Galium_aegeum",,,
"Galium_aetnicum","yes","hermaphrodite","Herm"
"Galium_afropusillum",,,
"Galium_agrophilum",,,
"Galium_aladaghense",,,
"Galium_albescens",,,
"Galium_album","yes","hermaphrodite","Herm"
"Galium_amatymbicum",,,
"Galium_ambiguum","yes","dioecy","Dio"
"Galium_amblyophyllum",,,
"Galium_amorginum",,,
"Galium_andrewsii","yes","dioecy","Dio"
"Galium_andringitrense",,,
"Galium_anfractum",,,
"Galium_anguineum",,,
"Galium_angulosum",,,
"Galium_angustifolium","yes","dioecy","Dio"
"Galium_angustissimum",,,
"Galium_anisophyllon",,,
"Galium_ankaratrense",,,
"Galium_antarcticum",,,
"Galium_antitauricum",,,
"Galium_antuneziae",,,
"Galium_aparine","yes","hermaphrodite","Herm"
"Galium_aparinoides",,,
"Galium_aragonesii",,,
"Galium_araucanum",,,
"Galium_arenarium",,,
"Galium_arequipicum",,,
"Galium_aretioides",,,
"Galium_argense","yes","dioecy","Dio"
"Galium_aristatum",,,
"Galium_arkansanum","yes","hermaphrodite","Herm"
"Galium_armenum",,,
"Galium_ascendens",,,
"Galium_aschenbornii","yes","polygamodioecy","xDio"
"Galium_asparagifolium",,,
"Galium_asperifolium",,"hermaphrodite","Herm"
"Galium_asperuloides",,,
"Galium_asprellum",,,
"Galium_atherodes",,,
"Galium_atlanticum",,,
"Galium_aucheri",,,
"Galium_auratum",,,
"Galium_australe",,,
"Galium_austriacum",,,
"Galium_avascense",,,
"Galium_azerbayjanicum",,,
"Galium_azuayicum",,,
"Galium_baeticum",,,
"Galium_baghlanense",,,
"Galium_baillonii","yes","hermaphrodite","Herm"
"Galium_baldense",,,
"Galium_baldensiforme",,,
"Galium_balearicum",,,
"Galium_basalticum",,,
"Galium_baytopianum",,,
"Galium_belizianum",,,
"Galium_bellatulum",,,
"Galium_bermudense","yes","hermaphrodite","Herm"
"Galium_bifolium","yes",,
"Galium_bigeminum","yes","hermaphrodite","Herm"
"Galium_binifolium",,,
"Galium_blinii",,,
"Galium_boissierianum",,,
"Galium_bolanderi","yes",,
"Galium_boreale","yes","hermaphrodite","Herm"
"Galium_boreoaethiopicum",,,
"Galium_bornmuelleri",,,
"Galium_bourgaeanum",,,
"Galium_boyacanum",,,
"Galium_brachyphyllum",,,
"Galium_bracteatum",,,
"Galium_bredasdorpense",,,
"Galium_brenanii",,,
"Galium_brevifolium",,,
"Galium_breviramosum",,,
"Galium_brockmannii",,,
"Galium_broterianum",,,
"Galium_brunneum",,,
"Galium_bryoides",,,
"Galium_buchtienii",,,
"Galium_bullatum",,,
"Galium_bulliforme",,,
"Galium_bungei","yes",,
"Galium_bungoniense",,,
"Galium_buschiorum",,,
"Galium_bussei",,,
"Galium_buxifolium",,,
"Galium_cajamarcense",,,
"Galium_californicum","yes","dioecy","Dio"
"Galium_caminianum",,,
"Galium_campanelliferum",,,
"Galium_campylotrichum",,"hermaphrodite","Herm"
"Galium_canescens",,,
"Galium_canum",,,
"Galium_capense",,,
"Galium_capitatum",,,
"Galium_cappadocicum",,,
"Galium_caprarium",,,
"Galium_capreum",,,
"Galium_carmenicola","yes","polygamodioecy","xDio"
"Galium_carterae","yes","polygamodioecy","xDio"
"Galium_caspicum",,,
"Galium_cassium",,,
"Galium_catalinense",,"polygamodioecy","xDio"
"Galium_ceratoamanianum",,,
"Galium_ceratocarpon",,,
"Galium_ceratophylloides",,,
"Galium_ceratopodum",,,
"Galium_cespitosum","yes","hermaphrodite","Herm"
"Galium_chaetopodum",,,
"Galium_chloroionanthum",,,
"Galium_chloroleucum",,,
"Galium_ciliare",,,
"Galium_cilicicum",,,
"Galium_cinereum",,,
"Galium_circae",,,
"Galium_circaezans","yes","hermaphrodite","Herm"
"Galium_clausonis",,,
"Galium_clementis",,,
"Galium_cliftonsmithii","yes","dioecy","Dio"
"Galium_collomiae","yes","polygamodioecy","xDio"
"Galium_coloradoense","yes","dioecy","Dio"
"Galium_comberi",,,
"Galium_cometerhizon","yes","hermaphrodite","Herm"
"Galium_compactum",,,
"Galium_concatenatum",,,
"Galium_concinnum",,,
"Galium_confertum",,,
"Galium_conforme",,,
"Galium_consanguineum",,,
"Galium_coriaceum",,,
"Galium_cornigerum",,,
"Galium_coronadoense",,,
"Galium_correllii","yes","hermaphrodite","Herm"
"Galium_corsicum","yes","hermaphrodite","Herm"
"Galium_corymbosum","yes","hermaphrodite","Herm"
"Galium_cossonianum",,,
"Galium_cotinoides",,,
"Galium_cracoviense",,,
"Galium_crassifolium",,,
"Galium_craticulatum",,,
"Galium_crespianum",,,
"Galium_cryptanthum",,,
"Galium_curvihirtum",,,
"Galium_cuspidulatum",,,
"Galium_cyllenium",,,
"Galium_czerepanovii",,,
"Galium_dahuricum","yes",,
"Galium_davisii",,,
"Galium_debile",,,
"Galium_decorum",,,
"Galium_decumbens",,,
"Galium_degenii",,,
"Galium_deistelii",,,
"Galium_delicatulum",,,
"Galium_demissum",,,
"Galium_dempsterae","yes","polygamodioecy","xDio"
"Galium_densum",,,
"Galium_denticulatum",,,
"Galium_desereticum",,,
"Galium_diabolense",,,
"Galium_dieckii",,,
"Galium_diffusoramosum",,,
"Galium_diphyllum",,,
"Galium_diploprion",,,
"Galium_divaricatum","yes","hermaphrodite","Herm"
"Galium_domingense",,,
"Galium_dumosum",,,
"Galium_duthiei",,,
"Galium_echinocarpum",,,
"Galium_ecuadoricum",,,
