"Name","OnTree","SexSyst","SexSyst4"
"Garcinia_acutifolia",,,
"Garcinia_adinantha",,,
"Garcinia_afzelii","yes",,
"Garcinia_amabilis",,,
"Garcinia_amboinensis",,,
"Garcinia_ambrensis",,,
"Garcinia_amplexicaulis","yes",,
"Garcinia_andamanica",,,
"Garcinia_angustifolia",,,
"Garcinia_anjouanensis",,,
"Garcinia_anomala",,,
"Garcinia_apetala",,,
"Garcinia_aphanophlebia",,,
"Garcinia_archboldiana",,,
"Garcinia_arenicola",,,
"Garcinia_aristata",,,
"Garcinia_assugu",,,
"Garcinia_asterandra","yes",,
"Garcinia_atroviridis","yes","gynodioecy","xDio"
"Garcinia_australis",,,
"Garcinia_baillonii",,,
"Garcinia_bakeriana",,,
"Garcinia_balansae",,,
"Garcinia_balica",,,
"Garcinia_balimensis",,,
"Garcinia_bancana","yes","dioecy","Dio"
"Garcinia_barkeriana",,,
"Garcinia_beccarii",,,
"Garcinia_benthamiana",,,
"Garcinia_bicolorata",,,
"Garcinia_bifasciculata",,,
"Garcinia_binnendijkii",,,
"Garcinia_binucao",,,
"Garcinia_blumei",,,
"Garcinia_boerlagii",,,
"Garcinia_bonii",,,
"Garcinia_borneensis",,,
"Garcinia_bracteata",,"dioecy","Dio"
"Garcinia_branderhorstii",,,
"Garcinia_brassii",,"dioecy","Dio"
"Garcinia_brevipedicellata",,,
"Garcinia_brevipes",,,
"Garcinia_brevirostris","yes","dioecy","Dio"
"Garcinia_buchananii",,,
"Garcinia_buchneri",,,
"Garcinia_burkillii",,,
"Garcinia_busuangaensis",,,
"Garcinia_cadelliana",,,
"Garcinia_calcicola",,,
"Garcinia_caloneura",,,
"Garcinia_calophylla",,,
"Garcinia_calophyllifolia",,,
"Garcinia_calycina",,,
"Garcinia_cambodgiensis",,,
"Garcinia_cantleyana",,,
"Garcinia_capuronii",,,
"Garcinia_carolinensis",,,
"Garcinia_cataractalis","yes",,
"Garcinia_caudiculata",,,
"Garcinia_cauliflora",,,
"Garcinia_celebica","yes","dioecy","Dio"
"Garcinia_ceramica",,,
"Garcinia_cerasifer",,,
"Garcinia_chapelieri",,,
"Garcinia_choisyiana",,,
"Garcinia_chromocarpa",,,
"Garcinia_cincta",,,
"Garcinia_clarensis",,,
"Garcinia_clusiifolia",,,
"Garcinia_cochinchinensis",,,
"Garcinia_comptonii",,,
"Garcinia_conrauana",,,
"Garcinia_corallina",,,
"Garcinia_cordata",,,
"Garcinia_corymbosa",,,
"Garcinia_costata","yes",,
"Garcinia_cowa","yes","dioecy","Dio"
"Garcinia_crassiflora",,,
"Garcinia_crassifolia",,,
"Garcinia_crassinervis",,,
"Garcinia_cubensis",,,
"Garcinia_cumingiana",,,
"Garcinia_cuneifolia",,,
"Garcinia_cuspidata",,,
"Garcinia_cymosa",,,
"Garcinia_daedalanthera",,,
"Garcinia_dalleizettei",,,
"Garcinia_dallmannensis",,,
"Garcinia_dauphinensis","yes",,
"Garcinia_decipiens",,,
"Garcinia_decussata",,,
"Garcinia_delpyana",,,
"Garcinia_densiflora",,,
"Garcinia_densivenia",,,
"Garcinia_desrousseauxii",,,
"Garcinia_dhanikhariensis",,,
"Garcinia_dioica",,,
"Garcinia_diospyrifolia",,,
"Garcinia_diversifolia",,,
"Garcinia_dives",,,
"Garcinia_dryobalanoides",,,
"Garcinia_dulcis","yes","andromonoecy|dioecy","Dio|xMono"
"Garcinia_dumosa","yes",,
"Garcinia_echinocarpa",,,
"Garcinia_elliotii",,,
"Garcinia_elliptica","yes",,
"Garcinia_emarginata",,,
"Garcinia_engleriana",,,
"Garcinia_enthaematoeides",,,
"Garcinia_epunctata",,,
"Garcinia_erythrosepala",,"dioecy","Dio"
"Garcinia_erythrosperma",,,
"Garcinia_esculenta",,"dioecy","Dio"
"Garcinia_evonymoides",,,
