"Name","OnTree","SexSyst","SexSyst4"
"Gunnera_aequatoriensis",,,
"Gunnera_albocarpa",,,
"Gunnera_annae",,,
"Gunnera_antioquensis",,,
"Gunnera_apiculata",,,
"Gunnera_arenaria",,"monoecy","xMono"
"Gunnera_atropurpurea",,,
"Gunnera_berteroi",,,
"Gunnera_bogotana",,,
"Gunnera_bolivari",,,
"Gunnera_boliviana","yes","monoecy","xMono"
"Gunnera_bracteata","yes","monoecy","xMono"
"Gunnera_brephogea",,"monoecy","xMono"
"Gunnera_caucana",,,
"Gunnera_colombiana",,,
"Gunnera_commutata",,,
"Gunnera_cordifolia","yes","monoecy","xMono"
"Gunnera_cuatrecasasii",,,
"Gunnera_densiflora","yes","monoecy","xMono"
"Gunnera_dentata","yes","dioecy|monoecy","Dio|xMono"
"Gunnera_diazii",,,
"Gunnera_ecuadoriana",,,
"Gunnera_flavida",,,
"Gunnera_garciae-barrigae",,,
"Gunnera_hamiltonii","yes","dioecy","Dio"
"Gunnera_hernandezii",,,
"Gunnera_herteri","yes","monoecy","xMono"
"Gunnera_insignis",,"monoecy","xMono"
"Gunnera_kauaiensis","yes","monoecy","xMono"
"Gunnera_lobata","yes","dioecy","Dio"
"Gunnera_lozanoi",,,
"Gunnera_macrophylla","yes","monoecy","xMono"
"Gunnera_magellanica","yes","dioecy","Dio"
"Gunnera_magnifica",,,
"Gunnera_manicata","yes","monoecy","xMono"
"Gunnera_margaretae",,,
"Gunnera_masafuerae","yes","monoecy","xMono"
"Gunnera_mexicana",,"monoecy","xMono"
"Gunnera_mixta",,,
"Gunnera_monoica","yes","monoecy","xMono"
"Gunnera_morae",,,
"Gunnera_peltata","yes","monoecy","xMono"
"Gunnera_perpensa","yes","monoecy","xMono"
"Gunnera_peruviana",,,
"Gunnera_petaloidea","yes","monoecy","xMono"
"Gunnera_pilosa",,"monoecy","xMono"
"Gunnera_pittieriana",,,
"Gunnera_prorepens","yes","dioecy","Dio"
"Gunnera_quitoensis",,,
"Gunnera_reichei",,,
"Gunnera_reniformis",,,
"Gunnera_rheifolia",,,
"Gunnera_saint-johnii",,,
"Gunnera_sanctae-marthae",,,
"Gunnera_schindleri",,,
"Gunnera_schultesii",,,
"Gunnera_silvioana",,,
"Gunnera_steyermarkii",,,
"Gunnera_strigosa",,,
"Gunnera_tacueyana",,,
"Gunnera_tajumbina",,,
"Gunnera_talamancana","yes","monoecy","xMono"
"Gunnera_tamanensis",,,
"Gunnera_tayrona",,,
"Gunnera_tinctoria","yes","monoecy","xMono"
"Gunnera_venezolana",,,
"Gunnera_vestita",,,
