"Name","OnTree","SexSyst","SexSyst4"
"Lepechinia_anomala",,,
"Lepechinia_bella","yes","hermaphrodite","Herm"
"Lepechinia_betonicifolia","yes","dioecy","Dio"
"Lepechinia_bullata","yes","gynodioecy","xDio"
"Lepechinia_calycina","yes",,
"Lepechinia_cardiophylla",,,
"Lepechinia_caulescens","yes","hermaphrodite","Herm"
"Lepechinia_chamaedryoides","yes","hermaphrodite","Herm"
"Lepechinia_cocuyensis",,,
"Lepechinia_codon","yes","hermaphrodite","Herm"
"Lepechinia_conferta","yes",,
"Lepechinia_dioica","yes","dioecy","Dio"
"Lepechinia_floribunda","yes","hermaphrodite","Herm"
"Lepechinia_ganderi","yes",,
"Lepechinia_glomerata","yes","hermaphrodite","Herm"
"Lepechinia_hastata","yes","hermaphrodite","Herm"
"Lepechinia_heteromorpha","yes","gynodioecy","xDio"
"Lepechinia_lamiifolia","yes","hermaphrodite","Herm"
"Lepechinia_lancifolia","yes",,
"Lepechinia_marica",,,
"Lepechinia_mexicana","yes","dioecy","Dio"
"Lepechinia_meyenii","yes","hermaphrodite","Herm"
"Lepechinia_mollis","yes","dioecy","Dio"
"Lepechinia_mutica","yes","dioecy","Dio"
"Lepechinia_nelsonii",,,
"Lepechinia_paniculata","yes","dioecy","Dio"
"Lepechinia_radula","yes","gynodioecy","xDio"
"Lepechinia_rossii",,,
"Lepechinia_rufocampi","yes","gynodioecy|hermaphrodite","Herm|xDio"
"Lepechinia_salviae","yes","hermaphrodite","Herm"
"Lepechinia_salviifolia","yes","gynodioecy","xDio"
"Lepechinia_schiedeana","yes","hermaphrodite","Herm"
"Lepechinia_scobina","yes","dioecy","Dio"
"Lepechinia_speciosa","yes","hermaphrodite","Herm"
"Lepechinia_tomentosa",,,
"Lepechinia_urbanii","yes","gynodioecy","xDio"
"Lepechinia_velutina",,,
"Lepechinia_vesiculosa","yes","gynodioecy","xDio"
"Lepechinia_vulcanicola",,,
"Lepechinia_yecorana","yes",,
