"Name","OnTree","SexSyst","SexSyst4"
"Leptinella_albida","yes","monoecy","xMono"
"Leptinella_altilitoralis","yes","monoecy","xMono"
"Leptinella_atrata","yes","monoecy","xMono"
"Leptinella_calcarea","yes","dioecy","Dio"
"Leptinella_dendyi","yes","polygamodioecy","xDio"
"Leptinella_dioica","yes","monoecy","xMono"
"Leptinella_dispersa","yes","dioecy|monoecy","Dio|xMono"
"Leptinella_drummondii","yes","monoecy","xMono"
"Leptinella_featherstonii","yes","monoecy","xMono"
"Leptinella_filicula","yes",,
"Leptinella_filiformis","yes","monoecy","xMono"
"Leptinella_goyenii","yes","polygamodioecy","xDio"
"Leptinella_intermedia","yes","monoecy","xMono"
"Leptinella_lanata","yes","monoecy","xMono"
"Leptinella_longipes","yes","monoecy","xMono"
"Leptinella_maniototo","yes","monoecy","xMono"
"Leptinella_minor","yes","monoecy","xMono"
"Leptinella_nana","yes","monoecy","xMono"
"Leptinella_pectinata","yes","monoecy","xMono"
"Leptinella_peduncularis",,,
"Leptinella_plumosa","yes","monoecy","xMono"
"Leptinella_potentillina","yes","monoecy","xMono"
"Leptinella_pusilla","yes","dioecy","Dio"
"Leptinella_pyrethrifolia","yes","monoecy|polygamodioecy","xDio|xMono"
"Leptinella_reptans","yes","monoecy","xMono"
"Leptinella_rotunda",,,
"Leptinella_rotundata","yes","monoecy","xMono"
"Leptinella_sarawaketensis",,,
"Leptinella_scariosa",,"dioecy","Dio"
"Leptinella_serrulata","yes","dioecy","Dio"
"Leptinella_squalida","yes","dioecy","Dio"
"Leptinella_tenella",,"monoecy","xMono"
"Leptinella_traillii",,"dioecy","Dio"
"Leptinella_wilhelminensis","yes","monoecy","xMono"
