"Name","OnTree","SexSyst","SexSyst4"
"Lycium_acutifolium","yes","hermaphrodite","Herm"
"Lycium_afrum","yes","hermaphrodite","Herm"
"Lycium_ameghinoi","yes","hermaphrodite","Herm"
"Lycium_americanum","yes","hermaphrodite","Herm"
"Lycium_amoenum","yes","hermaphrodite","Herm"
"Lycium_andersonii","yes","hermaphrodite","Herm"
"Lycium_arenicola",,"dioecy","Dio"
"Lycium_arochae",,"hermaphrodite","Herm"
"Lycium_athium","yes","hermaphrodite","Herm"
"Lycium_australe","yes","hermaphrodite","Herm"
"Lycium_berlandieri","yes","hermaphrodite","Herm"
"Lycium_boerhaviifolium",,"hermaphrodite","Herm"
"Lycium_bosciifolium","yes","hermaphrodite","Herm"
"Lycium_brevipes","yes","hermaphrodite","Herm"
"Lycium_californicum","yes","gynodioecy|hermaphrodite","Herm|xDio"
"Lycium_carolinianum","yes","hermaphrodite","Herm"
"Lycium_cestroides","yes","hermaphrodite","Herm"
"Lycium_chanar","yes","hermaphrodite","Herm"
"Lycium_chilense","yes","hermaphrodite","Herm"
"Lycium_ciliatum","yes","hermaphrodite","Herm"
"Lycium_cinereum","yes","hermaphrodite","Herm"
"Lycium_cooperi","yes","hermaphrodite","Herm"
"Lycium_cuneatum","yes","hermaphrodite","Herm"
"Lycium_cyathiformum",,"hermaphrodite","Herm"
"Lycium_cylindricum","yes","hermaphrodite","Herm"
"Lycium_decumbens","yes","hermaphrodite","Herm"
"Lycium_densifolium",,"hermaphrodite","Herm"
"Lycium_depressum","yes","hermaphrodite","Herm"
"Lycium_deserti","yes","hermaphrodite","Herm"
"Lycium_distichum",,"hermaphrodite","Herm"
"Lycium_eenii","yes","hermaphrodite","Herm"
"Lycium_europaeum","yes","hermaphrodite","Herm"
"Lycium_exsertum","yes","gynodioecy","xDio"
"Lycium_ferocissimum","yes","hermaphrodite","Herm"
"Lycium_fremontii","yes","gynodioecy","xDio"
"Lycium_fuscum","yes","hermaphrodite","Herm"
"Lycium_gariepense","yes","dioecy","Dio"
"Lycium_gilliesianum","yes","hermaphrodite","Herm"
"Lycium_glomeratum",,"hermaphrodite","Herm"
"Lycium_grandicalyx",,"hermaphrodite","Herm"
"Lycium_hantamense",,"dioecy","Dio"
"Lycium_hirsutum","yes","hermaphrodite","Herm"
"Lycium_horridum","yes","dioecy","Dio"
"Lycium_humile",,"hermaphrodite","Herm"
"Lycium_infaustum","yes","hermaphrodite","Herm"
"Lycium_isthmense","yes","hermaphrodite","Herm"
"Lycium_leiospermum","yes","hermaphrodite","Herm"
"Lycium_leiostemum",,"hermaphrodite","Herm"
"Lycium_macrodon","yes","hermaphrodite","Herm"
"Lycium_mascarenense",,"hermaphrodite","Herm"
"Lycium_megacarpum",,"hermaphrodite","Herm"
"Lycium_minimum","yes","hermaphrodite","Herm"
"Lycium_minutifolium","yes","hermaphrodite","Herm"
"Lycium_morongii","yes","hermaphrodite","Herm"
"Lycium_oxycarpum","yes","hermaphrodite","Herm"
"Lycium_pallidum","yes","hermaphrodite","Herm"
"Lycium_parishii","yes","hermaphrodite","Herm"
"Lycium_pilifolium","yes","hermaphrodite","Herm"
"Lycium_puberulum","yes","hermaphrodite","Herm"
"Lycium_pumilum","yes","hermaphrodite","Herm"
"Lycium_rachidocladum","yes","hermaphrodite","Herm"
"Lycium_repens",,"hermaphrodite","Herm"
"Lycium_ruthenicum","yes","hermaphrodite","Herm"
"Lycium_schaffneri",,"hermaphrodite","Herm"
"Lycium_schizocalyx","yes","hermaphrodite","Herm"
"Lycium_schreiteri",,"hermaphrodite","Herm"
"Lycium_schweinfurthii","yes","hermaphrodite","Herm"
"Lycium_shawii","yes","hermaphrodite","Herm"
"Lycium_shockleyi","yes","hermaphrodite","Herm"
"Lycium_stenophyllum","yes","hermaphrodite","Herm"
"Lycium_strandveldense","yes","dioecy","Dio"
"Lycium_tenue",,"hermaphrodite","Herm"
"Lycium_tenuispinosum","yes","hermaphrodite","Herm"
"Lycium_tetrandrum","yes","dioecy","Dio"
"Lycium_texanum","yes","hermaphrodite","Herm"
"Lycium_torreyi","yes","hermaphrodite","Herm"
"Lycium_truncatum","yes","hermaphrodite","Herm"
"Lycium_villosum","yes","dioecy","Dio"
"Lycium_vimineum","yes","hermaphrodite","Herm"
"Lycium_yunnanense","yes","hermaphrodite","Herm"
