"Name","OnTree","SexSyst","SexSyst4"
"Momordica_angolensis","yes","monoecy","xMono"
"Momordica_angustisepala","yes","dioecy","Dio"
"Momordica_anigosantha","yes","dioecy","Dio"
"Momordica_boivinii","yes","monoecy","xMono"
"Momordica_cabraei","yes",,
"Momordica_calantha","yes","monoecy","xMono"
"Momordica_camerounensis","yes","monoecy","xMono"
"Momordica_cardiospermoides","yes","monoecy","xMono"
"Momordica_cissoides","yes","dioecy","Dio"
"Momordica_clarkeana","yes","dioecy","Dio"
"Momordica_cochinchinensis","yes","dioecy","Dio"
"Momordica_corymbifera","yes","monoecy","xMono"
"Momordica_cymbalaria","yes","monoecy","xMono"
"Momordica_denticulata","yes","dioecy","Dio"
"Momordica_denudata","yes","dioecy","Dio"
"Momordica_dioica","yes","dioecy","Dio"
"Momordica_dissecta","yes","dioecy","Dio"
"Momordica_enneaphylla","yes","dioecy","Dio"
"Momordica_foetida","yes","monoecy","xMono"
"Momordica_friesiorum","yes","dioecy","Dio"
"Momordica_gilgiana","yes","dioecy","Dio"
"Momordica_glabra","yes","monoecy","xMono"
"Momordica_henriquesii","yes","dioecy","Dio"
"Momordica_humilis","yes","monoecy","xMono"
"Momordica_jeffreyana","yes","monoecy","xMono"
"Momordica_kirkii","yes","monoecy","xMono"
"Momordica_leiocarpa","yes","monoecy","xMono"
"Momordica_littorea","yes","monoecy","xMono"
"Momordica_mossambica","yes","dioecy","Dio"
"Momordica_multiflora","yes","monoecy","xMono"
"Momordica_obtusisepala","yes","dioecy","Dio"
"Momordica_parvifolia","yes","monoecy","xMono"
"Momordica_peteri","yes","dioecy","Dio"
"Momordica_pterocarpa","yes","dioecy","Dio"
"Momordica_repens","yes","monoecy","xMono"
"Momordica_rostrata","yes","dioecy","Dio"
"Momordica_runssorica","yes","dioecy","Dio"
"Momordica_sessilifolia","yes","monoecy","xMono"
"Momordica_silvatica","yes","dioecy","Dio"
"Momordica_sphaeroidea","yes","dioecy","Dio"
"Momordica_spinosa","yes","dioecy","Dio"
"Momordica_subangulata","yes","dioecy","Dio"
"Momordica_suringarii","yes","dioecy","Dio"
"Momordica_trifoliolata","yes","dioecy","Dio"
"Momordica_welwitschii","yes","monoecy","xMono"
