"Name","OnTree","SexSyst","SexSyst4"
"Ocotea_aciphylla",,"hermaphrodite","Herm"
"Ocotea_acuminatissima",,,
"Ocotea_acutangula",,,
"Ocotea_acutifolia",,,
"Ocotea_adenotrachelium",,,
"Ocotea_alata",,,
"Ocotea_albigemma",,,
"Ocotea_alnifolia",,,
"Ocotea_amazonica","yes","dioecy","Dio"
"Ocotea_amplifolia",,,
"Ocotea_amplissima",,,
"Ocotea_architectorum",,,
"Ocotea_argyrophylla",,,
"Ocotea_arnottiana",,,
"Ocotea_atacta",,,
"Ocotea_atirrensis","yes","hermaphrodite","Herm"
"Ocotea_atrata",,,
"Ocotea_aurantiodora",,,
"Ocotea_auriculata",,,
"Ocotea_austinii",,,
"Ocotea_balanocarpa",,,
"Ocotea_basicordatifolia",,,
"Ocotea_basirecurva",,,
"Ocotea_benthamiana",,,
"Ocotea_bernoulliana",,,
"Ocotea_betazensis",,,
"Ocotea_beyrichii",,,
"Ocotea_bijuga",,,
"Ocotea_blanchetii",,,
"Ocotea_bofo",,,
"Ocotea_boissieriana",,,
"Ocotea_botrantha","yes","hermaphrodite","Herm"
"Ocotea_bourgeauviana",,,
"Ocotea_brachybotra","yes",,
"Ocotea_bracteolata",,,
"Ocotea_bracteosa",,,
"Ocotea_bragae",,,
"Ocotea_brenesii",,,
"Ocotea_brevipes",,,
"Ocotea_bullata","yes","hermaphrodite","Herm"
"Ocotea_camphoromoea",,,
"Ocotea_canaliculata",,,
"Ocotea_candidovillosa",,,
"Ocotea_caniflora",,,
"Ocotea_carabobensis",,,
"Ocotea_caracasana",,,
"Ocotea_cardinalis",,,
"Ocotea_catharinensis",,"hermaphrodite","Herm"
"Ocotea_ceanothifolia","yes","dioecy","Dio"
"Ocotea_cernua",,"dioecy|hermaphrodite","Dio|Herm"
"Ocotea_chiapensis",,,
"Ocotea_chrysobalanoides",,,
"Ocotea_cinerea",,,
"Ocotea_citrosmoides",,,
"Ocotea_clavigera",,,
"Ocotea_confertiflora",,,
"Ocotea_congestifolia",,,
"Ocotea_congregata",,,
"Ocotea_corrugata",,,
"Ocotea_corymbosa","yes","dioecy","Dio"
"Ocotea_cowaniana",,,
"Ocotea_crassifolia",,,
"Ocotea_crassiramula",,,
"Ocotea_cryptocarpa",,,
"Ocotea_cujumary",,,
"Ocotea_cuneata",,,
"Ocotea_cuneifolia",,,
"Ocotea_cupularis",,,
"Ocotea_curucutuensis",,,
"Ocotea_cymbarum",,,
"Ocotea_cymosa",,,
"Ocotea_daphnifolia","yes","dioecy","Dio"
"Ocotea_debilis",,,
"Ocotea_deflexa",,,
"Ocotea_dendrodaphne","yes","hermaphrodite","Herm"
"Ocotea_densiflora",,"dioecy","Dio"
"Ocotea_depauperata",,,
"Ocotea_dielsiana",,,
"Ocotea_diospyrifolia","yes","dioecy","Dio"
"Ocotea_discrepens",,,
"Ocotea_disjuncta",,,
"Ocotea_dispersa",,,
"Ocotea_divaricata",,,
"Ocotea_dominicana",,,
"Ocotea_duidensis",,,
"Ocotea_effusa",,,
"Ocotea_endresiana",,,
"Ocotea_erectifolia",,,
"Ocotea_esmeraldana",,"hermaphrodite","Herm"
"Ocotea_euvenosa",,,
"Ocotea_fasciculata",,,
"Ocotea_faucherei",,,
"Ocotea_felix",,,
"Ocotea_fendleri",,,
"Ocotea_flavantha",,,
"Ocotea_floribunda",,"dioecy","Dio"
"Ocotea_foetens","yes","hermaphrodite","Herm"
"Ocotea_fragrantissima",,,
"Ocotea_froesii",,,
"Ocotea_frondosa",,,
"Ocotea_fulvescens",,"dioecy","Dio"
"Ocotea_gardneri",,,
"Ocotea_glabra",,,
"Ocotea_glauca",,,
"Ocotea_glaucina",,,
"Ocotea_glaucophylla",,,
"Ocotea_glaucosericea",,,
"Ocotea_glaziovii",,,
"Ocotea_glomerata","yes","dioecy","Dio"
"Ocotea_gracilis",,,
"Ocotea_grayi","yes","hermaphrodite","Herm"
"Ocotea_guatemalensis",,,
"Ocotea_guianensis",,"dioecy","Dio"
"Ocotea_hartshorniana",,,
"Ocotea_helicterifolia","yes","hermaphrodite","Herm"
"Ocotea_heribertoi",,,
"Ocotea_heterochroma",,,
"Ocotea_heydeana","yes","hermaphrodite","Herm"
"Ocotea_huberi",,,
"Ocotea_hueckii",,,
"Ocotea_humblotii",,,
"Ocotea_hypoglauca",,,
"Ocotea_ikonyokpe",,"hermaphrodite","Herm"
"Ocotea_indecora","yes","hermaphrodite","Herm"
"Ocotea_indirectinervia","yes",,
"Ocotea_infrafoveolata",,,
"Ocotea_inhauba",,,
"Ocotea_insularis","yes","hermaphrodite","Herm"
"Ocotea_iridescens",,,
"Ocotea_itatiaiae",,,
"Ocotea_jacobinae",,,
"Ocotea_javitensis",,,
"Ocotea_jelskii",,,
"Ocotea_julianii",,,
"Ocotea_jumbillensis",,,
"Ocotea_karsteniana",,,
"Ocotea_kenyensis",,,
"Ocotea_keriana",,,
"Ocotea_killipii",,,
"Ocotea_klotzschiana",,,
"Ocotea_laetevirens",,,
"Ocotea_laevigata",,,
"Ocotea_lanata",,,
"Ocotea_lancifolia","yes","dioecy","Dio"
"Ocotea_langsdorffii",,,
"Ocotea_laticostata",,,
"Ocotea_laxa","yes","dioecy","Dio"
"Ocotea_laxiflora",,,
"Ocotea_leptobotra",,,
"Ocotea_leucoxylon",,"dioecy","Dio"
"Ocotea_licanioides",,,
"Ocotea_liesneri",,,
"Ocotea_ligulata",,,
"Ocotea_litsaeifolia",,,
"Ocotea_lobbii",,,
"Ocotea_loefgrenii",,,
"Ocotea_longifolia","yes","dioecy","Dio"
"Ocotea_macrophylla",,,
"Ocotea_macropoda",,,
"Ocotea_madagascariensis",,,
"Ocotea_magnifica",,,
"Ocotea_magnifolia",,,
"Ocotea_malcomberi","yes","hermaphrodite","Herm"
