"Name","OnTree","SexSyst","SexSyst4"
"Phoradendron_acinacifolium",,,
"Phoradendron_acuminatum",,"dioecy","Dio"
"Phoradendron_acutifolium",,"dioecy","Dio"
"Phoradendron_aequatoris",,"monoecy","xMono"
"Phoradendron_affine",,"monoecy","xMono"
"Phoradendron_agostinorum",,,
"Phoradendron_aguilarii",,"dioecy","Dio"
"Phoradendron_albert-smithii",,"dioecy","Dio"
"Phoradendron_anamariae",,,
"Phoradendron_anceps",,"dioecy|monoecy","Dio|xMono"
"Phoradendron_andersonii",,,
"Phoradendron_angustifolium",,"monoecy","xMono"
"Phoradendron_annulatum",,"dioecy","Dio"
"Phoradendron_antioquianum",,,
"Phoradendron_apertiflorum",,"dioecy","Dio"
"Phoradendron_aphyllum",,"monoecy","xMono"
"Phoradendron_apiciflorum",,"monoecy","xMono"
"Phoradendron_applanatum",,"dioecy","Dio"
"Phoradendron_apurense",,"monoecy","xMono"
"Phoradendron_argentinum",,"monoecy","xMono"
"Phoradendron_aulestianum",,,
"Phoradendron_aurantiacum",,"dioecy","Dio"
"Phoradendron_bahiense",,"dioecy","Dio"
"Phoradendron_balslevii",,"dioecy","Dio"
"Phoradendron_bathyoryctum",,"monoecy","xMono"
"Phoradendron_berryi",,"monoecy","xMono"
"Phoradendron_berteroanum",,"monoecy","xMono"
"Phoradendron_betancurii",,"dioecy","Dio"
"Phoradendron_bicarinatum",,,
"Phoradendron_bilineatum",,"monoecy","xMono"
"Phoradendron_boacoi",,,
"Phoradendron_bolleanum",,"dioecy","Dio"
"Phoradendron_botryoides",,,
"Phoradendron_brachystachyum","yes","dioecy","Dio"
"Phoradendron_breedlovei",,"dioecy","Dio"
"Phoradendron_brevifolium","yes","dioecy","Dio"
"Phoradendron_brittonianum",,,
"Phoradendron_buchtienii",,,
"Phoradendron_burgeri",,"dioecy","Dio"
"Phoradendron_buritacanum",,"dioecy","Dio"
"Phoradendron_caesalpiniae",,,
"Phoradendron_californicum","yes","dioecy","Dio"
"Phoradendron_campbellii",,,
"Phoradendron_canzacotoi",,"dioecy","Dio"
"Phoradendron_capitellatum","yes","dioecy","Dio"
"Phoradendron_caracheanum",,"dioecy","Dio"
"Phoradendron_caripense",,"dioecy","Dio"
"Phoradendron_carneum","yes","monoecy","xMono"
"Phoradendron_carnosum",,"dioecy","Dio"
"Phoradendron_cerinocarpum",,,
"Phoradendron_chrysocladon",,"monoecy","xMono"
"Phoradendron_colombianum",,"monoecy","xMono"
"Phoradendron_congestum",,,
"Phoradendron_coriaceum",,,
"Phoradendron_craspedophyllum",,"monoecy","xMono"
"Phoradendron_crassicarpum",,"dioecy","Dio"
"Phoradendron_crassifolium","yes","monoecy","xMono"
"Phoradendron_cuneifolium",,"monoecy","xMono"
"Phoradendron_cymosum",,,
"Phoradendron_decipiens",,,
"Phoradendron_decrescens",,"dioecy","Dio"
"Phoradendron_dimerostachys",,"monoecy","xMono"
"Phoradendron_diminutivum",,"monoecy","xMono"
"Phoradendron_dipterum",,"monoecy","xMono"
"Phoradendron_dolichocarpum",,"monoecy","xMono"
"Phoradendron_duidanum",,,
"Phoradendron_dwyeri",,"dioecy","Dio"
"Phoradendron_eggersii",,"dioecy","Dio"
"Phoradendron_enckeifohum",,,
"Phoradendron_englerianum",,"dioecy","Dio"
"Phoradendron_ensifolium",,,
"Phoradendron_ernstianum",,"monoecy","xMono"
"Phoradendron_exiguum",,,
"Phoradendron_falcatum",,"dioecy","Dio"
"Phoradendron_falciferum",,"dioecy","Dio"
"Phoradendron_falcifrons",,"monoecy","xMono"
"Phoradendron_falconense",,,
"Phoradendron_fallax",,"monoecy","xMono"
"Phoradendron_fasciculatum",,"monoecy","xMono"
"Phoradendron_filispicum",,,
"Phoradendron_fonsecanum",,"dioecy","Dio"
"Phoradendron_forestierae","yes","dioecy","Dio"
"Phoradendron_fosteri",,,
"Phoradendron_fragile",,,
"Phoradendron_galeanum",,"dioecy","Dio"
"Phoradendron_galeottii","yes","dioecy","Dio"
"Phoradendron_gracilicarpum",,,
"Phoradendron_grahamii",,,
"Phoradendron_granvillei",,"dioecy","Dio"
"Phoradendron_grisebachianum",,"dioecy","Dio"
"Phoradendron_gundlachii",,,
"Phoradendron_habrostachyum",,"dioecy","Dio"
"Phoradendron_haitense",,,
"Phoradendron_harleyi",,"monoecy","xMono"
"Phoradendron_hartii",,"monoecy","xMono"
"Phoradendron_haughtii",,"dioecy","Dio"
"Phoradendron_henrici",,"dioecy","Dio"
"Phoradendron_herbert-smithii",,"dioecy","Dio"
"Phoradendron_heredianum",,"monoecy","xMono"
"Phoradendron_heterostachyum",,"monoecy","xMono"
"Phoradendron_hexastichum",,"monoecy","xMono"
"Phoradendron_heydeanum","yes","dioecy","Dio"
"Phoradendron_holoxanthum",,"monoecy","xMono"
"Phoradendron_iltisiorum",,"monoecy","xMono"
"Phoradendron_inaequidentatum",,"monoecy","xMono"
"Phoradendron_interruptum",,"dioecy","Dio"
"Phoradendron_jaliscense",,"dioecy","Dio"
"Phoradendron_juniperinum","yes","dioecy","Dio"
"Phoradendron_juruanum",,,
"Phoradendron_karuaianum",,,
"Phoradendron_kelloggiae",,"monoecy","xMono"
"Phoradendron_killipii",,,
"Phoradendron_kingii",,,
"Phoradendron_krameri",,"monoecy","xMono"
"Phoradendron_krukovii",,"dioecy","Dio"
"Phoradendron_kuntzei",,"dioecy","Dio"
"Phoradendron_lanatum",,"dioecy","Dio"
"Phoradendron_lanceolatum",,"dioecy","Dio"
"Phoradendron_larense",,"dioecy","Dio"
"Phoradendron_laxiflorum",,"dioecy","Dio"
"Phoradendron_lentii",,"dioecy","Dio"
"Phoradendron_leucarpum","yes","dioecy","Dio"
"Phoradendron_leucocarpum",,"dioecy","Dio"
"Phoradendron_liga",,"monoecy","xMono"
"Phoradendron_lindemanii",,,
"Phoradendron_linearifolium",,"dioecy","Dio"
"Phoradendron_lingulatum",,"dioecy","Dio"
"Phoradendron_linifolium",,,
"Phoradendron_longiarticulatum",,,
"Phoradendron_longifolium","yes","dioecy","Dio"
"Phoradendron_longipetiolatum",,"monoecy","xMono"
"Phoradendron_longissimum",,,
"Phoradendron_loretoi",,,
"Phoradendron_lorifolium",,"monoecy","xMono"
"Phoradendron_luisense",,"dioecy","Dio"
"Phoradendron_lundellii",,"dioecy","Dio"
"Phoradendron_macrarthrum",,,
"Phoradendron_macrocarpum",,"monoecy","xMono"
"Phoradendron_madisonii",,"monoecy","xMono"
"Phoradendron_mairaryense",,"monoecy","xMono"
"Phoradendron_mathewsii",,,
"Phoradendron_megaphyllum",,"dioecy","Dio"
"Phoradendron_membranifolium",,,
"Phoradendron_merae",,,
"Phoradendron_metense",,,
"Phoradendron_microcephalum",,"monoecy","xMono"
"Phoradendron_microphyllum",,"monoecy","xMono"
"Phoradendron_microps",,"monoecy","xMono"
"Phoradendron_microstachyum",,"monoecy","xMono"
"Phoradendron_minutifolium","yes","dioecy","Dio"
"Phoradendron_molinae",,"dioecy","Dio"
"Phoradendron_morsicatum",,"monoecy","xMono"
"Phoradendron_mucronatum",,"monoecy","xMono"
"Phoradendron_napoense",,,
"Phoradendron_naviculare",,"monoecy","xMono"
"Phoradendron_nervosum",,"monoecy","xMono"
"Phoradendron_neurophyllum",,"dioecy","Dio"
"Phoradendron_nigricans",,,
"Phoradendron_nitens",,"monoecy","xMono"
"Phoradendron_nitidum",,,
"Phoradendron_northropiae",,"monoecy","xMono"
"Phoradendron_nudum",,"dioecy","Dio"
"Phoradendron_obtusissimum",,"monoecy","xMono"
"Phoradendron_olae",,"dioecy","Dio"
"Phoradendron_oliveirae",,,
"Phoradendron_ovalifolium",,"dioecy","Dio"
"Phoradendron_pachyneuron",,,
"Phoradendron_pachyphyllum",,,
"Phoradendron_pachystachyum",,,
"Phoradendron_palaephyllum",,,
"Phoradendron_palmeri",,"dioecy","Dio"
"Phoradendron_paradoxum",,,
"Phoradendron_paraguari",,,
"Phoradendron_parietarioides",,"monoecy","xMono"
"Phoradendron_pedicellatum",,"dioecy","Dio"
"Phoradendron_pellucidulum",,"monoecy","xMono"
"Phoradendron_pergranulatum",,"dioecy","Dio"
"Phoradendron_perrottetii",,"dioecy|monoecy","Dio|xMono"
"Phoradendron_peruvianum",,"dioecy","Dio"
"Phoradendron_piperoides","yes","monoecy","xMono"
"Phoradendron_planiphyllum",,"monoecy","xMono"
"Phoradendron_platycaulon",,"monoecy","xMono"
"Phoradendron_poeppigii",,"monoecy","xMono"
"Phoradendron_polygynum",,"monoecy","xMono"
"Phoradendron_pomasquianum",,"monoecy","xMono"
"Phoradendron_proctorii",,"dioecy","Dio"
"Phoradendron_ptarianum",,,
"Phoradendron_pteroneuron",,,
"Phoradendron_pulleanum",,,
"Phoradendron_purpusii",,"dioecy","Dio"
"Phoradendron_quadrangulare","yes","monoecy","xMono"
"Phoradendron_quascanum",,,
"Phoradendron_racemosum",,"monoecy","xMono"
"Phoradendron_ramiae",,,
"Phoradendron_ramosissimum",,,
"Phoradendron_ravenii",,,
"Phoradendron_reductum",,"monoecy","xMono"
"Phoradendron_reichenbachianum","yes","dioecy","Dio"
"Phoradendron_restrepoae",,,
"Phoradendron_retrophyllum",,"dioecy","Dio"
"Phoradendron_rhipsalinum","yes","dioecy","Dio"
"Phoradendron_rigidifolium",,"monoecy","xMono"
"Phoradendron_rigidum",,"monoecy","xMono"
"Phoradendron_robaloense",,"dioecy","Dio"
"Phoradendron_robinsonii","yes","dioecy","Dio"
"Phoradendron_robustissimum","yes","dioecy","Dio"
"Phoradendron_roldanii",,"dioecy","Dio"
"Phoradendron_rondeletiae",,,
"Phoradendron_rubrum",,"monoecy","xMono"
"Phoradendron_rugosum",,,
"Phoradendron_rusbyi",,,
"Phoradendron_schultesii",,"dioecy","Dio"
"Phoradendron_seibertii",,"dioecy","Dio"
"Phoradendron_semivenosum",,,
"Phoradendron_singulare",,"monoecy","xMono"
"Phoradendron_solandrae",,"monoecy","xMono"
"Phoradendron_spathulatum",,"dioecy","Dio"
"Phoradendron_squamiferum",,,
"Phoradendron_staphylinum",,"dioecy","Dio"
"Phoradendron_steinbachii",,"monoecy","xMono"
"Phoradendron_storkii",,"monoecy","xMono"
"Phoradendron_strongyloclados",,"monoecy","xMono"
"Phoradendron_sulfuratum","yes","dioecy","Dio"
"Phoradendron_tachiranum",,,
"Phoradendron_tardispicum",,,
"Phoradendron_tenuicaule",,,
"Phoradendron_tenuifolium",,,
"Phoradendron_teretifolium",,"dioecy","Dio"
"Phoradendron_tetracarpum",,"dioecy","Dio"
"Phoradendron_tikalense",,"monoecy","xMono"
"Phoradendron_tillettii",,,
"Phoradendron_tonduzii",,"dioecy","Dio"
"Phoradendron_treleaseanum",,"dioecy","Dio"
"Phoradendron_triflorum",,"monoecy","xMono"
"Phoradendron_trinervium","yes","monoecy","xMono"
"Phoradendron_truncatum",,,
"Phoradendron_tucumanense",,"dioecy","Dio"
"Phoradendron_tunaeforme",,"monoecy","xMono"
"Phoradendron_undulatum",,"monoecy","xMono"
"Phoradendron_uniseriale",,"monoecy","xMono"
"Phoradendron_validum",,,
"Phoradendron_vargasii",,"monoecy","xMono"
"Phoradendron_velutinum","yes","dioecy","Dio"
"Phoradendron_venezuelense",,,
"Phoradendron_villosum","yes","dioecy","Dio"
"Phoradendron_virens",,,
"Phoradendron_wattii","yes","dioecy","Dio"
"Phoradendron_websteri",,"dioecy","Dio"
"Phoradendron_wiensii",,,
"Phoradendron_woodsonii",,"dioecy","Dio"
"Phoradendron_wurdackii",,"dioecy","Dio"
"Phoradendron_xanthophyllum",,,
"Phoradendron_zelayanum",,"monoecy","xMono"
