"Name","OnTree","SexSyst","SexSyst4"
"Pilea_acuminata",,,
"Pilea_adamsiana",,,
"Pilea_alpestris","yes","dioecy","Dio"
"Pilea_alpina","yes",,
"Pilea_alsinifolia","yes",,
"Pilea_amplistipulata",,"dioecy","Dio"
"Pilea_angolensis",,,
"Pilea_angulata","yes","dioecy|monoecy","Dio|xMono"
"Pilea_angustata",,,
"Pilea_angustifolia","yes",,
"Pilea_anisophylla","yes","dioecy|monoecy","Dio|xMono"
"Pilea_antioquensis",,,
"Pilea_approximata",,"dioecy","Dio"
"Pilea_aquarum",,"dioecy","Dio"
"Pilea_arguta",,,
"Pilea_attenuata",,,
"Pilea_auricularis",,"dioecy|monoecy","Dio|xMono"
"Pilea_auriculata",,,
"Pilea_bambusifolia",,"dioecy","Dio"
"Pilea_basicordata","yes","monoecy","xMono"
"Pilea_bassleriana","yes",,
"Pilea_baurii","yes",,
"Pilea_benguetensis","yes",,
"Pilea_boniana",,"dioecy|monoecy","Dio|xMono"
"Pilea_bracteosa",,"dioecy","Dio"
"Pilea_cadierei","yes","dioecy","Dio"
"Pilea_callitrichioides",,,
"Pilea_cangyuanensis",,,
"Pilea_caribaea",,,
"Pilea_carnosula",,,
"Pilea_cavaleriei","yes","dioecy","Dio"
"Pilea_centradenioides","yes",,
"Pilea_ceratocalyx",,,
"Pilea_chartacea",,"dioecy","Dio"
"Pilea_chiapensis",,,
"Pilea_ciliata","yes","monoecy","xMono"
"Pilea_citriodora",,,
"Pilea_clementis","yes",,
"Pilea_conjugalis",,,
"Pilea_consanguinea","yes",,
"Pilea_cordifolia",,"monoecy","xMono"
"Pilea_cordistipulata",,"dioecy|monoecy","Dio|xMono"
"Pilea_cornuto-cucullata",,,
"Pilea_corona",,,
"Pilea_costaricensis","yes",,
"Pilea_costata","yes",,
"Pilea_craspedodroma","yes",,
"Pilea_cruegeriana",,,
"Pilea_cushiensis",,,
"Pilea_cymbifolia",,,
"Pilea_daguensis","yes",,
"Pilea_dauciodora","yes","monoecy","xMono"
"Pilea_delicatula",,,
"Pilea_depressa","yes","dioecy","Dio"
"Pilea_digitata","yes",,
"Pilea_diversifolia",,,
"Pilea_dolichocarpa","yes","dioecy","Dio"
"Pilea_dombeyana",,,
"Pilea_ecboliophylla","yes",,
"Pilea_elegans",,,
"Pilea_elegantissima","yes","dioecy|monoecy","Dio|xMono"
"Pilea_elliptica",,,
"Pilea_elliptilimba",,"dioecy","Dio"
"Pilea_falcata",,,
"Pilea_fallax",,,
"Pilea_fasciata",,,
"Pilea_fendleri",,,
"Pilea_flexuosa",,,
"Pilea_foliosa","yes",,
"Pilea_fontana",,,
"Pilea_forgetii",,,
"Pilea_forsythiana","yes",,
"Pilea_fruticosa","yes",,
"Pilea_funkikensis",,"dioecy|monoecy","Dio|xMono"
"Pilea_gallowayana",,,
"Pilea_gansuensis",,"dioecy","Dio"
"Pilea_glaberrima","yes","dioecy","Dio"
"Pilea_glabra","yes",,
"Pilea_gomeziana",,,
"Pilea_goudotiana",,,
"Pilea_grandifolia","yes","dioecy","Dio"
"Pilea_haenkei",,,
"Pilea_harrisii","yes","monoecy","xMono"
"Pilea_herniarioides",,"monoecy","xMono"
"Pilea_hexagona",,"dioecy","Dio"
"Pilea_hilliana",,"dioecy|monoecy","Dio|xMono"
"Pilea_hirsuta",,,
"Pilea_hitchcockii",,,
"Pilea_holstii","yes",,
"Pilea_hookeriana",,"dioecy","Dio"
"Pilea_howelliana",,"dioecy|monoecy","Dio|xMono"
"Pilea_hyalina","yes",,
"Pilea_hydrocotyliflora",,,
"Pilea_imparifolia","yes",,
"Pilea_inaequalis","yes",,
