"Name","OnTree","SexSyst","SexSyst4"
"Piper_abalienatum","yes",,
"Piper_abbadianum",,,
"Piper_abbreviatum","yes",,
"Piper_abditum",,,
"Piper_abutilifolium",,,
"Piper_achoteanum",,,
"Piper_achromatolepis",,,
"Piper_achupallasense",,,
"Piper_acutifolium",,,
"Piper_acutiusculum",,,
"Piper_acutulum",,,
"Piper_adenandrum",,,
"Piper_admirabile",,,
"Piper_adreptum",,,
"Piper_aduncum","yes","hermaphrodite","Herm"
"Piper_aequale","yes","hermaphrodite","Herm"
"Piper_aereum","yes",,
"Piper_affictum",,,
"Piper_afflictum",,,
"Piper_agostiniorum",,,
"Piper_aguadulcense",,,
"Piper_alatabaccum",,,
"Piper_albiciliatum",,,
"Piper_albidum",,,
"Piper_albogranulatum",,,
"Piper_albopapillatum",,,
"Piper_albozonatum","yes",,
"Piper_aleyreanum",,,
"Piper_allardii",,,
"Piper_alnoides",,,
"Piper_alveolatum",,,
"Piper_amalago","yes","hermaphrodite","Herm"
"Piper_amboinense",,,
"Piper_amoenum","yes",,
"Piper_amparoense",,,
"Piper_amphitrichum",,,
"Piper_amplectenticaule",,,
"Piper_anastylum",,,
"Piper_andreanum",,,
"Piper_androgynum",,,
"Piper_angamarcanum",,,
"Piper_anisum","yes",,
"Piper_anonifolium",,,
"Piper_anonymum",,,
"Piper_apodum",,,
"Piper_appendiculatum","yes",,
"Piper_apurimacanum",,,
"Piper_apus",,,
"Piper_araneatum",,,
"Piper_arbelaezii",,,
"Piper_arborescens","yes","dioecy","Dio"
"Piper_arboreum","yes","hermaphrodite","Herm"
"Piper_arduum",,,
"Piper_areolatum",,,
"Piper_argyrophyllum","yes",,
"Piper_armatum",,,
"Piper_arnottianum",,,
"Piper_arrectispicum",,,
"Piper_arreptum",,,
"Piper_artanthe",,,
"Piper_arunachalensis",,"dioecy","Dio"
"Piper_ascendentispicum",,,
"Piper_asclepiadifolium",,,
"Piper_asperilimbum",,,
"Piper_asperiusculum",,,
"Piper_asplundii",,,
"Piper_asterocarpum",,,
"Piper_asterotrichum",,,
"Piper_atroglandulosum",,,
"Piper_atrospicum","yes",,
"Piper_attenuatamentum",,,
"Piper_attenuatum",,"monoecy","xMono"
"Piper_augustum","yes","hermaphrodite","Herm"
"Piper_austrosinense","yes","dioecy","Dio"
"Piper_avellanum",,,
"Piper_azuaiense",,,
"Piper_azupizuanum",,,
"Piper_baccans",,,
"Piper_baezanum",,,
"Piper_baezense",,,
"Piper_bahiense",,,
"Piper_balsapuertanum",,,
"Piper_bambusifolium",,"dioecy","Dio"
"Piper_barbatum",,,
"Piper_barbicuspe",,,
"Piper_barbulantherum",,,
