"Name","OnTree","SexSyst","SexSyst4"
"Arctopoa_eminens","yes","hermaphrodite","Herm"
"Nicoraepoa_andina",,"gynodioecy","xDio"
"Nicoraepoa_chonotica",,"gynodioecy","xDio"
"Nicoraepoa_erinacea",,"gynodioecy","xDio"
"Nicoraepoa_pungionifolia",,"gynodioecy","xDio"
"Nicoraepoa_robusta",,"gynodioecy","xDio"
"Nicoraepoa_stepparia",,"gynodioecy","xDio"
"Nicoraepoa_subenervis",,"hermaphrodite","Herm"
"Poa_abbreviata","yes","hermaphrodite","Herm"
"Poa_acicularifolia","yes","hermaphrodite","Herm"
"Poa_acinaciphylla","yes","hermaphrodite","Herm"
"Poa_acroleuca","yes",,
"Poa_aequatoriensis",,,
"Poa_aequigluma","yes","apomictic",
"Poa_affinis","yes","hermaphrodite","Herm"
"Poa_afghanica",,,
"Poa_aitchisonii",,,
"Poa_akmanii",,,
"Poa_albescens",,,
"Poa_almasovii",,,
"Poa_alopecurus",,"dioecy","Dio"
"Poa_alpigena","yes",,
"Poa_alpina","yes","hermaphrodite","Herm"
"Poa_alsodes","yes","hermaphrodite","Herm"
"Poa_alta",,,
"Poa_altaica",,,
"Poa_amplexicaulis","yes","hermaphrodite","Herm"
"Poa_anae","yes","gynomonoecy","xMono"
"Poa_anceps",,"hermaphrodite","Herm"
"Poa_androgyna",,"gynodioecy","xDio"
"Poa_angustifolia","yes",,
"Poa_ankaratrensis",,,
"Poa_annua","yes","gynomonoecy","xMono"
"Poa_antipoda",,,
"Poa_apiculata",,,
"Poa_araratica",,,
"Poa_arctica","yes","hermaphrodite","Herm"
"Poa_arcuata","yes",,
"Poa_arechavaletae",,,
"Poa_arida","yes","hermaphrodite","Herm"
"Poa_arnoldii",,,
"Poa_arnowiae",,"gynodioecy","xDio"
"Poa_asperifolia",,,
"Poa_astonii","yes","hermaphrodite","Herm"
"Poa_atropidiformis","yes","hermaphrodite","Herm"
"Poa_atropurpurea",,,
"Poa_attenuata",,"apomictic",
"Poa_aucklandica",,,
"Poa_aurigae",,,
"Poa_autumnalis","yes","hermaphrodite","Herm"
"Poa_ayacuchensis",,,
"Poa_ayseniensis",,,
"Poa_bactriana",,,
"Poa_badensis","yes","hermaphrodite","Herm"
"Poa_bajaensis",,,
"Poa_bergii",,"dioecy","Dio"
"Poa_beringiana",,,
"Poa_bigelovii",,,
"Poa_binata",,,
"Poa_binodis",,,
"Poa_bolanderi",,,
"Poa_bomiensis",,,
"Poa_bonariensis",,"dioecy","Dio"
"Poa_borneensis",,,
"Poa_boxiana",,,
"Poa_bradei",,"hermaphrodite","Herm"
"Poa_breviglumis","yes","hermaphrodite","Herm"
"Poa_brevis",,,
"Poa_buchananii",,"hermaphrodite","Herm"
"Poa_bucharica",,,
"Poa_burmanica",,,
"Poa_cabreriana",,"gynodioecy","xDio"
"Poa_calchaquiensis",,"dioecy","Dio"
"Poa_calliopsis",,,
"Poa_callosa",,,
"Poa_candamoana","yes",,
"Poa_carazensis",,,
"Poa_caucasica",,,
"Poa_celebica",,,
"Poa_celsa",,"hermaphrodite","Herm"
"Poa_cenisia","yes","hermaphrodite","Herm"
"Poa_chaixii","yes","hermaphrodite","Herm"
"Poa_chamaeclinos",,"apomictic",
"Poa_chambersii",,"gynodioecy","xDio"
"Poa_chapmaniana","yes",,
"Poa_chathamica",,"hermaphrodite","Herm"
"Poa_cheelii","yes","hermaphrodite","Herm"
"Poa_chirripoensis",,"apomictic",
"Poa_chokensis",,,
"Poa_chumbiensis",,,
"Poa_cita","yes","hermaphrodite","Herm"
"Poa_clavigera",,,
"Poa_clelandii",,"hermaphrodite","Herm"
"Poa_clivicola",,,
"Poa_cockayniana","yes",,
"Poa_colensoi","yes","hermaphrodite","Herm"
"Poa_confinis",,"gynodioecy|polygamodioecy","xDio"
"Poa_congesta","yes",,
"Poa_conglomerata",,"hermaphrodite","Herm"
"Poa_cookii","yes","gynomonoecy","xMono"
"Poa_cooperi",,,
"Poa_costiniana","yes","hermaphrodite","Herm"
