"Name","OnTree","SexSyst","SexSyst4"
"Potentilla_acaulis",,,
"Potentilla_agrimonioides",,,
"Potentilla_alba","yes",,
"Potentilla_albiflora",,,
"Potentilla_alchemilloides","yes",,
"Potentilla_algida",,,
"Potentilla_alpicola","yes","apomictic|hermaphrodite","Herm"
"Potentilla_anachoretica",,,
"Potentilla_ancistrifolia","yes",,
"Potentilla_anglica","yes",,
"Potentilla_angustiloba",,,
"Potentilla_anserina","yes","gynodioecy|gynomonoecy|hermaphrodite","Herm|xDio|xMono"
"Potentilla_apennina",,,
"Potentilla_arctica",,,
"Potentilla_arenosa",,,
"Potentilla_argaea",,,
"Potentilla_argentea","yes","apomictic|dioecy","Dio"
"Potentilla_arguta","yes",,
"Potentilla_argyrophylla",,,
"Potentilla_arizonica",,,
"Potentilla_articulata","yes",,
"Potentilla_asperrima",,,
"Potentilla_astracanica",,,
"Potentilla_atrosanguinea",,,
"Potentilla_aurea","yes",,
"Potentilla_betonicifolia","yes",,
"Potentilla_biennis","yes",,
"Potentilla_biflora","yes",,
"Potentilla_bipinnatifida","yes",,
"Potentilla_brauniana","yes",,
"Potentilla_brevifolia","yes",,
"Potentilla_calabra",,"apomictic|hermaphrodite","Herm"
"Potentilla_cardotiana",,,
"Potentilla_caulescens","yes",,
"Potentilla_centigrana",,,
"Potentilla_chamissonis",,"apomictic|hermaphrodite","Herm"
"Potentilla_chinensis","yes","hermaphrodite","Herm"
"Potentilla_chrysantha",,,
"Potentilla_cinerea",,,
"Potentilla_clusiana",,,
"Potentilla_collina","yes","apomictic|hermaphrodite","Herm"
"Potentilla_concinna","yes",,
"Potentilla_conferta",,,
"Potentilla_coriandrifolia",,,
"Potentilla_crantzii","yes",,
"Potentilla_crassinervia","yes",,
"Potentilla_crenulata",,,
"Potentilla_crinita","yes",,
"Potentilla_cristae",,,
"Potentilla_cryptotaeniae",,"hermaphrodite","Herm"
"Potentilla_delavayi",,,
"Potentilla_desertorum",,,
"Potentilla_discolor","yes","hermaphrodite","Herm"
"Potentilla_diversifolia",,,
"Potentilla_drummondii","yes",,
"Potentilla_effusa","yes",,
"Potentilla_elatior","yes",,
"Potentilla_elegans",,,
"Potentilla_erecta","yes","hermaphrodite","Herm"
"Potentilla_eriocarpa","yes",,
"Potentilla_evestita",,,
"Potentilla_fallens",,,
"Potentilla_flabellifolia","yes",,
"Potentilla_flagellaris",,,
"Potentilla_fragarioides","yes","hermaphrodite","Herm"
"Potentilla_fragiformis","yes",,
"Potentilla_freyniana","yes",,
"Potentilla_frigida","yes",,
"Potentilla_glabra",,,
"Potentilla_gombalana",,,
"Potentilla_gracilis",,,
"Potentilla_grammopetala",,,
"Potentilla_grandiflora","yes",,
"Potentilla_granulosa",,,
"Potentilla_griffithii",,,
"Potentilla_heptaphylla",,,
"Potentilla_hippiana","yes","hermaphrodite","Herm"
"Potentilla_hirta",,,
"Potentilla_hookeriana",,"hermaphrodite","Herm"
"Potentilla_hyparctica",,,
"Potentilla_hypargyrea",,,
"Potentilla_hypoleuca","yes",,
"Potentilla_imbricata",,"dioecy","Dio"
"Potentilla_incana","yes",,
"Potentilla_inclinata",,,
"Potentilla_jenissejensis","yes",,
"Potentilla_jepsonii",,,
"Potentilla_kleiniana",,"hermaphrodite","Herm"
"Potentilla_kurdica","yes",,
"Potentilla_lancinata",,,
"Potentilla_leuconota",,,
"Potentilla_lignosa","yes",,
"Potentilla_limprichtii",,,
"Potentilla_lindackeri","yes",,
"Potentilla_lineata",,,
"Potentilla_longifolia","yes",,
"Potentilla_macrosepala",,,
"Potentilla_matsumurae",,,
"Potentilla_megalantha",,,
"Potentilla_micrantha","yes",,
"Potentilla_microphylla",,,
"Potentilla_millefolia","yes",,
"Potentilla_miyabei","yes",,
"Potentilla_mollissima",,,
"Potentilla_montana","yes",,
"Potentilla_montenegrina","yes",,
"Potentilla_morefieldii","yes",,
"Potentilla_multicaulis","yes",,
"Potentilla_multiceps",,,
"Potentilla_multifida","yes","hermaphrodite","Herm"
"Potentilla_multisecta",,,
"Potentilla_nepalensis","yes","hermaphrodite","Herm"
"Potentilla_nervosa",,,
"Potentilla_neumanniana",,"dioecy","Dio"
"Potentilla_nevadensis","yes","hermaphrodite","Herm"
"Potentilla_newberryi",,,
"Potentilla_niponica","yes",,
"Potentilla_nitida",,,
