"Name","OnTree","SexSyst","SexSyst4"
"Rhus_allophyloides","yes",,
"Rhus_americana",,,
"Rhus_anchietae",,,
"Rhus_andrieuxii","yes",,
"Rhus_angolensis",,,
"Rhus_arenaria",,,
"Rhus_aromatica","yes","dioecy","Dio"
"Rhus_arsenei",,,
"Rhus_ashei",,,
"Rhus_barclayi","yes",,
"Rhus_blanda",,,
"Rhus_carnosula",,,
"Rhus_chinensis","yes","dioecy","Dio"
"Rhus_chirindensis",,,
"Rhus_chondroloma",,,
"Rhus_choriophylla","yes",,
"Rhus_ciliata",,,
"Rhus_coddii",,,
"Rhus_copallinum","yes",,
"Rhus_coriaria","yes","hermaphrodite","Herm"
"Rhus_dentata",,,
"Rhus_discolor",,,
"Rhus_dissecta",,,
"Rhus_divaricata",,,
"Rhus_dumetorum",,,
"Rhus_ernestii",,,
"Rhus_exelliana",,,
"Rhus_galeotti",,,
"Rhus_gerrardii",,,
"Rhus_glabra","yes","dioecy","Dio"
"Rhus_gossweileri",,,
"Rhus_gracilipes",,,
"Rhus_gracillima",,,
"Rhus_gueinzii",,,
"Rhus_humpatensis",,,
"Rhus_hypoleuca",,,
"Rhus_integrifolia","yes","gynodioecy","xDio"
"Rhus_jaliscana",,,
"Rhus_kearneyi",,,
"Rhus_kirkii",,,
"Rhus_kwangoensis",,,
"Rhus_laevigata",,,
"Rhus_lanceolata","yes","monoecy","xMono"
"Rhus_longipes",,,
"Rhus_lucida",,,
"Rhus_magalismontana",,,
"Rhus_michauxii","yes","dioecy","Dio"
"Rhus_microphylla","yes","dioecy","Dio"
"Rhus_montana",,,
"Rhus_muelleri","yes",,
"Rhus_nelsonii",,,
"Rhus_nitida",,,
"Rhus_nortonii",,,
"Rhus_obtusata",,,
"Rhus_occidentalis",,,
"Rhus_orientalis",,,
"Rhus_ovata","yes","gynodioecy","xDio"
"Rhus_oxyacanthoides",,,
"Rhus_pachyrrhachis","yes",,
"Rhus_pallens",,,
"Rhus_palmeri",,,
"Rhus_perrieri","yes",,
"Rhus_potaninii","yes","dioecy","Dio"
"Rhus_punjabensis","yes","dioecy","Dio"
"Rhus_rehmanniana",,,
"Rhus_rigida",,,
"Rhus_rogersii",,,
"Rhus_rosmarinifolia",,,
"Rhus_rubifolia","yes",,
"Rhus_sandwicensis","yes",,
"Rhus_schiedeana","yes",,
"Rhus_squalida",,,
"Rhus_standleyi","yes",,
"Rhus_tamaulipana",,,
"Rhus_taratana","yes",,
"Rhus_teniana",,,
"Rhus_terebinthifolia","yes",,
"Rhus_thouarsii","yes",,
"Rhus_transvaalensis",,,
"Rhus_trilobata","yes","dioecy","Dio"
"Rhus_tumulicola",,,
"Rhus_typhina","yes","dioecy","Dio"
"Rhus_vestita",,,
"Rhus_virens","yes","dioecy","Dio"
"Rhus_wellmannii",,,
"Rhus_wilsonii",,,
"Rhus_zeyheri",,,
