"Name","OnTree","SexSyst","SexSyst4"
"Ribes_acerifolium",,"hermaphrodite","Herm"
"Ribes_aciculare","yes","hermaphrodite","Herm"
"Ribes_affine",,"hermaphrodite","Herm"
"Ribes_albifolium",,"dioecy","Dio"
"Ribes_alpestre","yes","hermaphrodite","Herm"
"Ribes_alpinum","yes","dioecy","Dio"
"Ribes_altissimum",,"hermaphrodite","Herm"
"Ribes_amarum",,"hermaphrodite","Herm"
"Ribes_ambiguum",,"hermaphrodite","Herm"
"Ribes_americanum","yes","hermaphrodite","Herm"
"Ribes_andicola","yes","dioecy","Dio"
"Ribes_aureum","yes","hermaphrodite","Herm"
"Ribes_bicolor",,"dioecy","Dio"
"Ribes_binominatum",,"hermaphrodite","Herm"
"Ribes_bolivianum","yes","dioecy","Dio"
"Ribes_brachybotrys",,"dioecy","Dio"
"Ribes_bracteosum","yes","hermaphrodite","Herm"
"Ribes_burejense","yes","hermaphrodite","Herm"
"Ribes_californicum","yes","hermaphrodite","Herm"
"Ribes_canescens",,,
"Ribes_carpaticum",,,
"Ribes_catamarcanum",,"dioecy","Dio"
"Ribes_cereum","yes","hermaphrodite","Herm"
"Ribes_ceriferum","yes","hermaphrodite","Herm"
"Ribes_chihuahuense",,"hermaphrodite","Herm"
"Ribes_ciliatum","yes","hermaphrodite","Herm"
"Ribes_columbianum","yes","hermaphrodite","Herm"
"Ribes_costaricense",,,
"Ribes_cucullatum",,"dioecy","Dio"
"Ribes_cuneifolium","yes","dioecy","Dio"
"Ribes_curvatum",,"hermaphrodite","Herm"
"Ribes_cynosbati","yes","hermaphrodite","Herm"
"Ribes_davidii",,"dioecy","Dio"
"Ribes_densiflorum","yes","dioecy","Dio"
"Ribes_diacanthum","yes","dioecy","Dio"
"Ribes_divaricatum","yes","hermaphrodite","Herm"
"Ribes_dombeyanum",,"dioecy","Dio"
"Ribes_downingiana",,,
"Ribes_dugesii",,"hermaphrodite","Herm"
"Ribes_echinellum","yes","hermaphrodite","Herm"
"Ribes_ecuadorense","yes","dioecy","Dio"
"Ribes_elegans",,,
"Ribes_erythrocarpum","yes","hermaphrodite","Herm"
"Ribes_fargesii",,"hermaphrodite","Herm"
"Ribes_fasciculatum","yes","dioecy","Dio"
"Ribes_formosanum","yes","hermaphrodite","Herm"
"Ribes_franchetii",,"dioecy","Dio"
"Ribes_fuyunense",,"hermaphrodite","Herm"
"Ribes_giraldii","yes","dioecy","Dio"
"Ribes_glabricalycinum",,"dioecy","Dio"
"Ribes_glabrifolium",,"dioecy","Dio"
"Ribes_glaciale","yes","dioecy","Dio"
"Ribes_glandulosum","yes","hermaphrodite","Herm"
"Ribes_grande",,,
"Ribes_griffithii","yes","hermaphrodite","Herm"
"Ribes_henryi",,"dioecy","Dio"
"Ribes_heterotrichum",,"dioecy","Dio"
"Ribes_himalense","yes","hermaphrodite","Herm"
"Ribes_hirticaule",,,
"Ribes_hirtum","yes","dioecy","Dio"
"Ribes_horridum",,"hermaphrodite","Herm"
"Ribes_hudsonianum","yes","hermaphrodite","Herm"
"Ribes_humile",,"dioecy","Dio"
"Ribes_hunanense",,"dioecy","Dio"
"Ribes_incarnatum","yes","dioecy","Dio"
"Ribes_incertum",,,
"Ribes_indecorum","yes","hermaphrodite","Herm"
"Ribes_inerme","yes","hermaphrodite","Herm"
"Ribes_integrifolium",,"dioecy","Dio"
"Ribes_kialanum",,"dioecy","Dio"
"Ribes_komarovii",,"dioecy","Dio"
"Ribes_kunthii",,"hermaphrodite","Herm"
"Ribes_laciniatum",,"dioecy","Dio"
"Ribes_lacustre","yes","hermaphrodite","Herm"
"Ribes_latifolium",,"hermaphrodite","Herm"
"Ribes_laurifolium",,"dioecy","Dio"
"Ribes_laxiflorum","yes","hermaphrodite","Herm"
"Ribes_lehmannii",,"dioecy","Dio"
"Ribes_lentum",,,
"Ribes_leptanthum",,"hermaphrodite","Herm"
"Ribes_leptosmum",,"hermaphrodite","Herm"
"Ribes_leptostachyum",,"dioecy","Dio"
"Ribes_lobbii","yes","hermaphrodite","Herm"
"Ribes_longiracemosum",,"hermaphrodite","Herm"
"Ribes_luridum",,"dioecy","Dio"
"Ribes_macrobotrys","yes","dioecy","Dio"
"Ribes_macrostachyum","yes","dioecy","Dio"
"Ribes_madrense",,"hermaphrodite","Herm"
"Ribes_magellanicum",,"dioecy","Dio"
"Ribes_malvaceum","yes","hermaphrodite","Herm"
"Ribes_manshuricum","yes","hermaphrodite","Herm"
"Ribes_maximowiczianum","yes","dioecy","Dio"
"Ribes_maximowiczii",,"dioecy","Dio"
"Ribes_menziesii",,"hermaphrodite","Herm"
"Ribes_meyeri","yes","hermaphrodite","Herm"
"Ribes_microphyllum",,"hermaphrodite","Herm"
"Ribes_missouriense","yes","hermaphrodite","Herm"
"Ribes_mogollonicum","yes","hermaphrodite","Herm"
"Ribes_montigenum","yes","hermaphrodite","Herm"
"Ribes_moupinense","yes","hermaphrodite","Herm"
"Ribes_multiflorum",,"hermaphrodite","Herm"
"Ribes_nelsonii",,"hermaphrodite","Herm"
"Ribes_nevadaense","yes","hermaphrodite","Herm"
"Ribes_niveum","yes","hermaphrodite","Herm"
"Ribes_non-scriptum",,"hermaphrodite","Herm"
"Ribes_orientale","yes","dioecy","Dio"
"Ribes_orizabae",,"hermaphrodite","Herm"
"Ribes_ovalifolium","yes","dioecy","Dio"
"Ribes_oxyacanthoides","yes","hermaphrodite","Herm"
"Ribes_parvifolium",,"dioecy","Dio"
"Ribes_pentlandii","yes","dioecy","Dio"
"Ribes_petraeum","yes","hermaphrodite","Herm"
"Ribes_pinetorum",,"hermaphrodite","Herm"
"Ribes_pringlei",,"hermaphrodite","Herm"
"Ribes_procumbens",,"hermaphrodite","Herm"
"Ribes_pseudofasciculatum",,"dioecy","Dio"
"Ribes_pulchellum",,"dioecy","Dio"
"Ribes_punctatum",,"dioecy","Dio"
"Ribes_quercetorum",,"hermaphrodite","Herm"
"Ribes_roezlii","yes","hermaphrodite","Herm"
"Ribes_rotundifolium","yes","hermaphrodite","Herm"
"Ribes_rubrisepalum",,"dioecy","Dio"
"Ribes_rugosum",,"hermaphrodite","Herm"
"Ribes_ruizii",,,
"Ribes_sanguineum","yes","hermaphrodite","Herm"
"Ribes_sardoum",,"dioecy","Dio"
"Ribes_saxatile",,"dioecy","Dio"
"Ribes_setchuense",,"hermaphrodite","Herm"
"Ribes_soulieanum","yes","hermaphrodite","Herm"
"Ribes_speciosum","yes","hermaphrodite","Herm"
"Ribes_spicatum","yes","hermaphrodite","Herm"
"Ribes_stenocarpum","yes","hermaphrodite","Herm"
"Ribes_sucheziense",,"hermaphrodite","Herm"
"Ribes_takare","yes","dioecy","Dio"
"Ribes_tenue","yes","dioecy","Dio"
"Ribes_texense",,"hermaphrodite","Herm"
"Ribes_thacherianum","yes","hermaphrodite","Herm"
"Ribes_tianquanense",,"dioecy","Dio"
"Ribes_tortuosum",,"hermaphrodite","Herm"
"Ribes_trilobum",,,
"Ribes_triste","yes","hermaphrodite","Herm"
"Ribes_tularense",,"hermaphrodite","Herm"
"Ribes_valdivianum",,"dioecy","Dio"
"Ribes_van-fleetianum",,,
"Ribes_velutinum",,"hermaphrodite","Herm"
"Ribes_viburnifolium",,"hermaphrodite","Herm"
"Ribes_victoris",,"hermaphrodite","Herm"
"Ribes_vilmorinii","yes","dioecy","Dio"
"Ribes_viridiflorum",,"dioecy","Dio"
"Ribes_viridifolium",,,
"Ribes_viscosissimum","yes","hermaphrodite","Herm"
"Ribes_viscosum",,,
"Ribes_watsonianum",,"hermaphrodite","Herm"
"Ribes_weberbaueri",,"dioecy","Dio"
"Ribes_wolfii",,"hermaphrodite","Herm"
"Ribes_xizangense",,"dioecy","Dio"
