"Name","OnTree","SexSyst","SexSyst4"
"Rubus_aboriginum",,,
"Rubus_acuminatus",,,
"Rubus_adenophorus",,,
"Rubus_adenotrichus",,,
"Rubus_alceifolius",,"hermaphrodite","Herm"
"Rubus_alexeterius","yes",,
"Rubus_allegheniensis",,,
"Rubus_alnifoliolatus",,,
"Rubus_alpinus","yes",,
"Rubus_amabilis","yes",,
"Rubus_amphidasys","yes",,
"Rubus_anatolicus",,,
"Rubus_angustibracteatus",,,
"Rubus_angustipaniculatus",,,
"Rubus_apetalus",,,
"Rubus_arachnoideus",,,
"Rubus_arcticus","yes","hermaphrodite","Herm"
"Rubus_argutus","yes",,
"Rubus_arizonensis",,,
"Rubus_arrhenii",,,
"Rubus_assamensis","yes",,
"Rubus_aurantiacus",,,
"Rubus_australis","yes","dioecy","Dio"
"Rubus_austrotibetanus",,,
"Rubus_bambusarum",,,
"Rubus_biflorus","yes",,
"Rubus_bifrons","yes",,
"Rubus_bonatianus",,,
"Rubus_brevipetiolatus",,,
"Rubus_buergeri","yes",,
"Rubus_bushii",,,
"Rubus_caesius","yes",,
"Rubus_calophyllus","yes",,
"Rubus_calycacanthus",,,
"Rubus_calycinus","yes",,
"Rubus_canadensis","yes",,
"Rubus_candicans",,"hermaphrodite","Herm"
"Rubus_canescens","yes","dioecy","Dio"
"Rubus_caucasicus","yes",,
"Rubus_caudifolius",,,
"Rubus_chiliadenus",,,
"Rubus_chingii","yes",,
"Rubus_chroosepalus",,,
"Rubus_chrysobotrys",,,
"Rubus_cinclidodictyus",,,
"Rubus_clivicola",,,
"Rubus_cochinchinensis",,,
"Rubus_cockburnianus",,,
"Rubus_columellaris",,,
"Rubus_commutatus",,,
"Rubus_constrictus",,,
"Rubus_corchorifolius","yes",,
"Rubus_coreanus","yes",,
"Rubus_coriifolius",,,
"Rubus_crassifolius",,,
"Rubus_crataegifolius","yes",,
"Rubus_croceacanthus","yes",,
"Rubus_cuneifolius","yes",,
"Rubus_dasyphyllus",,,
"Rubus_delavayi",,,
"Rubus_deliciosus","yes",,
"Rubus_divaricatus","yes",,
"Rubus_dolichophyllus",,,
"Rubus_doyonensis",,,
"Rubus_dunnii",,,
"Rubus_ellipticus","yes",,
"Rubus_erythrocarpus",,,
"Rubus_erythrocladus",,,
"Rubus_eucalyptus",,,
"Rubus_eustephanos","yes",,
"Rubus_faberi","yes",,
"Rubus_fanjingshanensis",,,
"Rubus_feddei",,,
"Rubus_flagellaris","yes",,
"Rubus_flagelliflorus",,,
"Rubus_floribundus",,,
"Rubus_flosculosus",,,
"Rubus_fockeanus","yes",,
"Rubus_foliaceistipulatus",,,
"Rubus_formosensis",,,
"Rubus_forrestianus",,,
"Rubus_fragarioides",,,
"Rubus_fraxinifoliolus",,,
"Rubus_fraxinifolius",,,
"Rubus_fruticosus","yes",,
"Rubus_fujianensis",,,
"Rubus_fuscifolius",,,
"Rubus_fuscorubens",,,
"Rubus_geoides","yes","hermaphrodite","Herm"
"Rubus_glabratus","yes",,
"Rubus_glabricarpus",,,
"Rubus_glandulosocalycinus",,,
"Rubus_glandulosocarpus",,,
"Rubus_glaucus","yes",,
"Rubus_gongshanensis",,,
"Rubus_grandipaniculatus",,,
"Rubus_grayanus",,,
"Rubus_gressittii",,,
"Rubus_gunnianus","yes",,
"Rubus_guyanensis",,,
"Rubus_gyamdaensis",,,
"Rubus_hanceanus",,,
"Rubus_hastifolius",,,
"Rubus_hawaiensis","yes",,
"Rubus_hemithyrsus",,,
"Rubus_henryi",,,
"Rubus_hirsutus","yes",,
"Rubus_hispidus","yes",,
"Rubus_hochstetterorum",,,
"Rubus_hoffmeisterianus","yes",,
"Rubus_hongnoensis","yes",,
"Rubus_howii",,,
"Rubus_huangpingensis",,,
"Rubus_humulifolius",,"hermaphrodite","Herm"
"Rubus_hunanensis",,,
"Rubus_hypopitys",,,
"Rubus_ichangensis","yes",,
"Rubus_idaeopsis",,,
"Rubus_illecebrosus",,"hermaphrodite","Herm"
"Rubus_imperialis",,,
"Rubus_impressinervus",,,
"Rubus_innominatus",,,
"Rubus_inopertus",,,
"Rubus_irasuensis",,,
"Rubus_irenaeus","yes",,
"Rubus_irritans",,,
"Rubus_jambosoides",,,
"Rubus_jianensis",,,
"Rubus_jinfoshanensis",,,
"Rubus_kawakamii",,,
"Rubus_kulinganus",,,
"Rubus_kumaonensis",,,
"Rubus_kwangsiensis",,,
"Rubus_lambertianus","yes",,
"Rubus_lanyuensis",,,
"Rubus_lasiococcus","yes","hermaphrodite","Herm"
"Rubus_lasiostylus","yes",,
"Rubus_latoauriculatus",,,
"Rubus_leucanthus",,,
"Rubus_lichuanensis",,,
"Rubus_lineatus","yes",,
"Rubus_lishuiensis",,,
"Rubus_liui",,,
"Rubus_lobatus",,,
"Rubus_lobophyllus",,,
"Rubus_lohfauensis",,,
"Rubus_longepedicellatus",,,
"Rubus_longisepalus","yes",,
"Rubus_lucens",,,
"Rubus_luchunensis",,,
"Rubus_lutescens",,,
"Rubus_macilentus","yes",,
"Rubus_macraei","yes",,
"Rubus_malifolius",,,
"Rubus_malipoensis",,,
"Rubus_mallotifolius",,,
"Rubus_maximiformis",,,
"Rubus_menglaensis",,,
"Rubus_mercieri","yes",,
"Rubus_mesogaeus","yes",,
"Rubus_metoensis",,,
"Rubus_michiganensis",,,
"Rubus_moorei","yes","dioecy","Dio"
"Rubus_multisetosus",,,
"Rubus_nagasawanus",,,
"Rubus_neomexicanus","yes",,
"Rubus_neoviburnifolius",,,
"Rubus_nepalensis","yes",,
"Rubus_nessensis",,"hermaphrodite","Herm"
"Rubus_nigricatus",,,
"Rubus_nivalis","yes",,
"Rubus_nyalamensis",,,
"Rubus_oblongus",,,
"Rubus_odoratus","yes","hermaphrodite","Herm"
"Rubus_ortivus",,,
"Rubus_ourosepalus",,,
"Rubus_pacificus",,,
"Rubus_palmatus","yes",,
"Rubus_panduratus",,,
"Rubus_paniculatus",,,
"Rubus_pararosifolius",,,
"Rubus_parkeri","yes",,
"Rubus_parviaraliifolius",,,
"Rubus_parviflorus","yes",,
"Rubus_parvifolius",,,
"Rubus_parvus","yes","dioecy","Dio"
"Rubus_paucidentatus",,,
"Rubus_pectinarioides","yes",,
"Rubus_pectinaris",,,
"Rubus_pectinellus","yes",,
"Rubus_pedatus","yes","hermaphrodite","Herm"
"Rubus_pedemontanus","yes","hermaphrodite","Herm"
"Rubus_pedunculosus",,,
"Rubus_peltatus",,,
"Rubus_penduliflorus",,,
"Rubus_pensilvanicus","yes",,
"Rubus_pentagonus","yes",,
"Rubus_permixtus",,,
"Rubus_pervarius",,,
"Rubus_phengodes","yes",,
"Rubus_phoenicolasius","yes","hermaphrodite","Herm"
"Rubus_picticaulis","yes",,
"Rubus_pileatus",,,
"Rubus_pilulifer",,,
"Rubus_pinnatisepalus","yes",,
"Rubus_pinnatus",,,
"Rubus_pirifolius","yes",,
"Rubus_platysepalus",,,
"Rubus_playfairianus",,,
"Rubus_plicatifolius",,,
"Rubus_pluribracteatus","yes",,
"Rubus_poliophyllus",,,
"Rubus_polyodontus",,,
"Rubus_potentilloides",,,
"Rubus_praecox",,"hermaphrodite","Herm"
"Rubus_preptanthus",,,
"Rubus_pseudojaponicus",,,
"Rubus_pseudopileatus",,,
"Rubus_ptilocarpus",,,
"Rubus_pubescens","yes",,
"Rubus_pungens","yes",,
"Rubus_quinquefoliolatus",,,
"Rubus_radicans",,,
"Rubus_raopingensis",,,
"Rubus_reflexus",,,
"Rubus_refractus",,,
"Rubus_regionalis",,,
"Rubus_repens",,,
"Rubus_ribisoideus","yes",,
"Rubus_rigidus",,,
"Rubus_rolfei",,,
"Rubus_roribaccus",,,
"Rubus_rosifolius","yes",,
"Rubus_rubrisetulosus",,,
"Rubus_rudis",,,
"Rubus_rufus","yes",,
"Rubus_salwinensis",,,
"Rubus_sanctus","yes",,
"Rubus_sapidus",,,
"Rubus_saxatilis","yes","hermaphrodite","Herm"
"Rubus_schiedeanus",,,
"Rubus_schottii",,,
"Rubus_sellowii",,,
"Rubus_sengorensis","yes",,
"Rubus_setchuenensis","yes",,
"Rubus_setosus","yes",,
"Rubus_shihae",,,
"Rubus_sikkimensis",,,
"Rubus_simplex",,,
"Rubus_spananthus",,,
"Rubus_spectabilis",,"hermaphrodite","Herm"
"Rubus_spinulosoides",,,
"Rubus_stans","yes",,
"Rubus_stimulans",,,
"Rubus_stipulosus",,,
"Rubus_subcoreanus",,,
"Rubus_subinopertus",,,
"Rubus_subornatus",,,
"Rubus_subtibetanus",,,
"Rubus_sulcatus","yes","hermaphrodite","Herm"
"Rubus_sumatranus","yes",,
"Rubus_swinhoei",,,
"Rubus_taitoensis",,,
"Rubus_taiwanicola",,,
"Rubus_taronensis",,,
"Rubus_tephrodes","yes",,
"Rubus_thibetanus",,,
"Rubus_thomsonii","yes",,
"Rubus_tinifolius",,,
"Rubus_treutleri","yes",,
"Rubus_trianthus","yes",,
"Rubus_tricolor","yes",,
"Rubus_trifidus","yes",,
"Rubus_trijugus",,,
"Rubus_trilobus","yes",,
"Rubus_trivialis",,,
"Rubus_tsangii","yes",,
"Rubus_tsangorum",,,
"Rubus_turkestanicus",,,
"Rubus_ulmifolius","yes","dioecy","Dio"
"Rubus_ursinus","yes",,
"Rubus_urticifolius","yes",,
"Rubus_veraecrucis",,,
"Rubus_vigorosus","yes","hermaphrodite","Herm"
"Rubus_villicaulis",,"hermaphrodite","Herm"
"Rubus_wallichianus","yes",,
"Rubus_wangii",,,
"Rubus_wardii",,,
"Rubus_wawushanensis",,,
"Rubus_wheeleri",,,
"Rubus_wilsonii",,,
"Rubus_wimmerianus",,,
"Rubus_wushanensis",,,
"Rubus_wuzhianus",,,
"Rubus_xanthocarpus",,,
"Rubus_xanthoneurus",,,
"Rubus_xichouensis",,,
"Rubus_yanyunii",,,
"Rubus_yiwuanus","yes",,
"Rubus_yuliensis",,,
"Rubus_yunanicus",,,
"Rubus_zhaogoshanensis",,,
