"Name","OnTree","SexSyst","SexSyst4"
"Rumex_abyssinicus","yes","hermaphrodite","Herm"
"Rumex_acetosella","yes","dioecy","Dio"
"Rumex_albescens",,"monoecy","xMono"
"Rumex_alpestris","yes","dioecy","Dio"
"Rumex_alpinus","yes","hermaphrodite","Herm"
"Rumex_amurensis",,"hermaphrodite","Herm"
"Rumex_andinus",,,
"Rumex_angulatus",,"hermaphrodite","Herm"
"Rumex_aquaticus","yes","hermaphrodite","Herm"
"Rumex_aquitanicus","yes","hermaphrodite","Herm"
"Rumex_argentinus",,,
"Rumex_azoricus","yes",,
"Rumex_balcanicus",,,
"Rumex_beringensis",,"dioecy","Dio"
"Rumex_brasiliensis",,,
"Rumex_britannica",,"hermaphrodite","Herm"
"Rumex_brownii",,"hermaphrodite","Herm"
"Rumex_bucephalophorus","yes","hermaphrodite","Herm"
"Rumex_californicus",,"hermaphrodite","Herm"
"Rumex_chalepensis",,"hermaphrodite","Herm"
"Rumex_chrysocarpus",,"hermaphrodite","Herm"
"Rumex_confertus",,"hermaphrodite","Herm"
"Rumex_conglomeratus","yes","hermaphrodite","Herm"
"Rumex_cordatus",,,
"Rumex_costaricensis",,,
"Rumex_crispissimus",,,
"Rumex_cristatus","yes","hermaphrodite","Herm"
"Rumex_cyprius","yes","hermaphrodite|polygamodioecy","Herm|xDio"
"Rumex_darwinianus",,,
"Rumex_densiflorus",,"hermaphrodite","Herm"
"Rumex_dentatus","yes","hermaphrodite","Herm"
"Rumex_ellipticus",,"hermaphrodite","Herm"
"Rumex_fascicularis",,"hermaphrodite","Herm"
"Rumex_floridanus",,"hermaphrodite","Herm"
"Rumex_frutescens",,"hermaphrodite","Herm"
"Rumex_giganteus","yes","monoecy","xMono"
"Rumex_gmelinii",,"hermaphrodite","Herm"
"Rumex_graminifolius","yes","dioecy","Dio"
"Rumex_hastatulus","yes","dioecy","Dio"
"Rumex_hastatus",,"gynodioecy|polygamodioecy","xDio"
"Rumex_hydrolapathum","yes","hermaphrodite","Herm"
"Rumex_hymenosepalus",,"hermaphrodite","Herm"
"Rumex_insularis",,,
"Rumex_intermedius","yes","dioecy","Dio"
"Rumex_japonicus","yes","hermaphrodite","Herm"
"Rumex_krausei",,"dioecy","Dio"
"Rumex_lacustris",,"hermaphrodite","Herm"
"Rumex_lanceolatus",,"hermaphrodite","Herm"
"Rumex_lativalvis",,,
"Rumex_leptocaulis",,,
"Rumex_longifolius",,"hermaphrodite","Herm"
"Rumex_lorentzianus",,,
"Rumex_lunaria","yes","gynodioecy|polygamodioecy","xDio"
"Rumex_maderensis","yes","gynodioecy|polygamodioecy","xDio"
"Rumex_magellanicus",,,
"Rumex_maricola",,,
"Rumex_maritimus",,"hermaphrodite","Herm"
"Rumex_marschallianus",,"hermaphrodite","Herm"
"Rumex_mexicanus",,"hermaphrodite","Herm"
"Rumex_microcarpus",,"hermaphrodite","Herm"
"Rumex_nebroides",,"dioecy","Dio"
"Rumex_nematopodus",,"hermaphrodite","Herm"
"Rumex_nepalensis","yes","hermaphrodite","Herm"
"Rumex_nervosus","yes",,
"Rumex_nivalis",,"dioecy","Dio"
"Rumex_oblongifolius",,"dioecy","Dio"
"Rumex_obovatus",,"hermaphrodite","Herm"
"Rumex_obtusifolius","yes","hermaphrodite","Herm"
"Rumex_occidentalis",,"hermaphrodite","Herm"
"Rumex_orthoneurus",,"hermaphrodite","Herm"
"Rumex_palustris","yes","hermaphrodite","Herm"
"Rumex_pamiricus",,"hermaphrodite","Herm"
"Rumex_papilio",,,
"Rumex_patagonicus",,,
"Rumex_paucifolius","yes","dioecy","Dio"
"Rumex_persicarioides",,"hermaphrodite","Herm"
"Rumex_peruanus",,,
"Rumex_polycarpus",,,
"Rumex_popovii",,"hermaphrodite","Herm"
"Rumex_pseudonatronatus",,"hermaphrodite","Herm"
"Rumex_pseudoxyria",,"dioecy","Dio"
"Rumex_pulcher","yes","hermaphrodite","Herm"
"Rumex_pycnanthus",,"hermaphrodite","Herm"
"Rumex_rectinervis",,,
"Rumex_romassa",,,
"Rumex_roseus",,"dioecy|polygamodioecy","Dio|xDio"
"Rumex_rossicus",,"hermaphrodite","Herm"
"Rumex_rugosus",,"dioecy","Dio"
"Rumex_rupestris","yes","hermaphrodite","Herm"
"Rumex_sagittatus","yes","dioecy","Dio"
"Rumex_salicifolius",,"hermaphrodite","Herm"
"Rumex_sanguineus","yes","hermaphrodite","Herm"
"Rumex_schischkinii",,"hermaphrodite","Herm"
"Rumex_sibiricus","yes","hermaphrodite","Herm"
"Rumex_similans",,"hermaphrodite","Herm"
"Rumex_skottsbergii",,"hermaphrodite","Herm"
"Rumex_stenophyllus",,"hermaphrodite","Herm"
"Rumex_steudelii",,"hermaphrodite","Herm"
"Rumex_subarcticus",,"hermaphrodite","Herm"
"Rumex_suffruticosus","yes","dioecy","Dio"
"Rumex_thianschanicus",,"hermaphrodite","Herm"
"Rumex_thyrsiflorus","yes","dioecy","Dio"
"Rumex_thyrsoides","yes","dioecy","Dio"
"Rumex_tingitanus",,"hermaphrodite","Herm"
"Rumex_tolimensis",,,
"Rumex_tomentellus",,"hermaphrodite","Herm"
"Rumex_transitorius",,"hermaphrodite","Herm"
"Rumex_triangulivalvis","yes","hermaphrodite","Herm"
"Rumex_trisetifer",,"hermaphrodite","Herm"
"Rumex_tuberosus","yes","dioecy","Dio"
"Rumex_turcomanicus",,"dioecy","Dio"
"Rumex_ucranicus",,"hermaphrodite","Herm"
"Rumex_vesicarius","yes","hermaphrodite|polygamodioecy","Herm|xDio"
"Rumex_woodii",,"dioecy","Dio"
"Rumex_yungningensis",,"hermaphrodite","Herm"
