"Name","OnTree","SexSyst","SexSyst4"
"Schisandra_arisanensis","yes","dioecy","Dio"
"Schisandra_bicolor","yes","monoecy","xMono"
"Schisandra_chinensis","yes","monoecy","xMono"
"Schisandra_elongata",,"dioecy","Dio"
"Schisandra_glabra","yes","monoecy","xMono"
"Schisandra_grandiflora","yes","dioecy","Dio"
"Schisandra_henryi","yes","dioecy","Dio"
"Schisandra_incarnata",,"dioecy","Dio"
"Schisandra_lancifolia","yes","dioecy","Dio"
"Schisandra_longipes",,"dioecy","Dio"
"Schisandra_micrantha",,"dioecy","Dio"
"Schisandra_neglecta",,"dioecy","Dio"
"Schisandra_perulata",,"dioecy","Dio"
"Schisandra_plena","yes","dioecy","Dio"
"Schisandra_propinqua","yes","monoecy","xMono"
"Schisandra_pubescens","yes","dioecy","Dio"
"Schisandra_pubinervis",,"dioecy","Dio"
"Schisandra_repanda",,"dioecy","Dio"
"Schisandra_rubriflora","yes","dioecy","Dio"
"Schisandra_sphaerandra",,"dioecy","Dio"
"Schisandra_sphenanthera","yes","dioecy","Dio"
"Schisandra_tomentella",,"monoecy","xMono"
