"Name","OnTree","SexSyst","SexSyst4"
"Silene_abietum",,,
"Silene_acaulis","yes","dioecy|gynodioecy|gynomonoecy|polygamodioecy","Dio|xDio|xMono"
"Silene_acutifolia","yes","hermaphrodite","Herm"
"Silene_adelphiae",,,
"Silene_adenocalyx",,"hermaphrodite","Herm"
"Silene_aegaea","yes","hermaphrodite","Herm"
"Silene_aegyptiaca",,"hermaphrodite","Herm"
"Silene_aellenii",,"hermaphrodite","Herm"
"Silene_akinfievii","yes",,
"Silene_akiyamae",,,
"Silene_alaschanica",,"hermaphrodite","Herm"
"Silene_alexandrae",,,
"Silene_alexandri","yes",,
"Silene_almolae",,"hermaphrodite","Herm"
"Silene_alpestris",,"hermaphrodite","Herm"
"Silene_altaica",,,
"Silene_ammophila","yes",,
"Silene_amoena","yes",,
"Silene_andicola",,,
"Silene_andryalifolia","yes","gynodioecy|hermaphrodite","Herm|xDio"
"Silene_antarctica",,,
"Silene_antirrhina","yes",,
"Silene_apetala",,"hermaphrodite","Herm"
"Silene_aprica","yes","hermaphrodite","Herm"
"Silene_arenosa",,,
"Silene_argentina",,,
"Silene_argentinensis",,,
"Silene_armena","yes",,
"Silene_armeria","yes","gynodioecy","xDio"
"Silene_artemisetorum",,,
"Silene_asclepiadea",,,
"Silene_asterias",,"gynodioecy|gynomonoecy","xDio|xMono"
"Silene_astrachanicum",,"dioecy","Dio"
"Silene_atrocastanea",,,
"Silene_atropurpurea","yes","gynodioecy|hermaphrodite","Herm|xDio"
"Silene_atsaensis",,"hermaphrodite","Herm"
"Silene_auriculata",,,
"Silene_baccifera","yes",,
"Silene_balcanica",,,
"Silene_barbeyana",,,
"Silene_baschkirorum","yes",,
"Silene_batangensis",,,
"Silene_behen","yes","hermaphrodite","Herm"
"Silene_bellidifolia","yes","hermaphrodite","Herm"
"Silene_bellidioides",,,
"Silene_bergiana",,,
"Silene_bernardina","yes",,
"Silene_bersieri",,,
"Silene_bilingua",,,
"Silene_borderei",,"hermaphrodite","Herm"
"Silene_boryi",,"hermaphrodite","Herm"
"Silene_borysthenica","yes","dioecy","Dio"
"Silene_brahuica",,"gynodioecy","xDio"
"Silene_brevistaminea","yes",,
