"Name","OnTree","SexSyst","SexSyst4"
"Siparuna_alternifolia",,,
"Siparuna_aspera","yes","dioecy","Dio"
"Siparuna_bifida","yes","dioecy","Dio"
"Siparuna_brasiliensis","yes","dioecy","Dio"
"Siparuna_calantha",,,
"Siparuna_campii",,,
"Siparuna_cascada",,,
"Siparuna_cervicornis","yes","dioecy","Dio"
"Siparuna_conica","yes","dioecy","Dio"
"Siparuna_cristata",,"monoecy","xMono"
"Siparuna_croatii",,,
"Siparuna_cuspidata","yes","monoecy","xMono"
"Siparuna_cymosa","yes","monoecy","xMono"
"Siparuna_decipiens",,"monoecy","xMono"
"Siparuna_echinata",,"dioecy","Dio"
"Siparuna_eggersii",,,
"Siparuna_ficoides",,,
"Siparuna_gesnerioides",,,
"Siparuna_gigantotepala",,,
"Siparuna_glabrescens",,,
"Siparuna_glycycarpa",,"monoecy","xMono"
"Siparuna_grandiflora",,"dioecy","Dio"
"Siparuna_guajalitensis",,,
"Siparuna_guianensis","yes","dioecy|monoecy","Dio|xMono"
"Siparuna_harlingii",,,
"Siparuna_laurifolia",,"dioecy","Dio"
"Siparuna_lepidota",,"dioecy","Dio"
"Siparuna_lindenii",,,
"Siparuna_macrotepala",,,
"Siparuna_micrantha",,,
"Siparuna_multiflora",,,
"Siparuna_muricata","yes","dioecy","Dio"
"Siparuna_mutisii",,,
"Siparuna_oblongifolia",,,
"Siparuna_obstipa",,,
"Siparuna_ovalis",,,
"Siparuna_pachyantha",,,
"Siparuna_palenquensis",,,
"Siparuna_pauciflora","yes","dioecy","Dio"
"Siparuna_petiolaris",,,
"Siparuna_pilosolepidota",,,
"Siparuna_poeppigii",,,
"Siparuna_reginae","yes","monoecy","xMono"
"Siparuna_schimpffii",,,
"Siparuna_sessiliflora","yes","dioecy","Dio"
"Siparuna_stellulata",,"dioecy","Dio"
"Siparuna_subinodora",,,
"Siparuna_thecaphora","yes","dioecy","Dio"
"Siparuna_tomentosa",,,
"Siparuna_velutina",,,
