"Name","OnTree","SexSyst","SexSyst4"
"Solanum_abitaguense",,,
"Solanum_abollatum",,,
"Solanum_abortivum",,,
"Solanum_absconditum","yes",,
"Solanum_abutilifolium",,,
"Solanum_abutiloides","yes","hermaphrodite","Herm"
"Solanum_acanthodapis","yes","andromonoecy","xMono"
"Solanum_acanthodes",,,
"Solanum_acaule","yes","hermaphrodite","Herm"
"Solanum_accrescens","yes",,
"Solanum_acerifolium","yes","andromonoecy","xMono"
"Solanum_achorum",,,
"Solanum_acroglossum",,"hermaphrodite","Herm"
"Solanum_acropterum",,"hermaphrodite","Herm"
"Solanum_acroscopicum","yes","hermaphrodite","Herm"
"Solanum_actaeibotrys",,,
"Solanum_actephilum",,,
"Solanum_aculeastrum","yes","andromonoecy","xMono"
"Solanum_aculeatissimum","yes","andromonoecy","xMono"
"Solanum_acuminatum",,,
"Solanum_acutilobum","yes",,
"Solanum_adenobasis",,,
"Solanum_adenophorum",,"andromonoecy","xMono"
"Solanum_adoense",,,
"Solanum_adscendens","yes","hermaphrodite","Herm"
"Solanum_adspersum",,,
"Solanum_africanum",,,
"Solanum_agnewiorum","yes","andromonoecy","xMono"
"Solanum_agnoston",,"hermaphrodite","Herm"
"Solanum_agrarium","yes","andromonoecy","xMono"
"Solanum_ajanhuiri",,"hermaphrodite","Herm"
"Solanum_alatirameum",,,
"Solanum_albertii",,,
"Solanum_albescens",,"hermaphrodite","Herm"
"Solanum_albicans","yes","hermaphrodite","Herm"
"Solanum_albornozii",,"hermaphrodite","Herm"
"Solanum_albostellatum",,,
"Solanum_aldabrense",,,
"Solanum_aligerum","yes","hermaphrodite","Herm"
"Solanum_allophyllum","yes","hermaphrodite","Herm"
"Solanum_aloysiifolium","yes","hermaphrodite","Herm"
"Solanum_alphonsei",,"hermaphrodite","Herm"
"Solanum_alpinum",,"hermaphrodite","Herm"
"Solanum_alternatopinnatum","yes",,
"Solanum_altissimum",,,
"Solanum_amblophyllum",,,
"Solanum_amblycalyx",,,
"Solanum_amblymerum","yes","andromonoecy","xMono"
"Solanum_americanum","yes","hermaphrodite","Herm"
"Solanum_amicorum",,,
"Solanum_ammophilum",,,
"Solanum_amnicola",,,
"Solanum_amorimii",,,
"Solanum_amotapense",,"hermaphrodite","Herm"
"Solanum_amygdalifolium",,"hermaphrodite","Herm"
"Solanum_anamatophilum",,"hermaphrodite","Herm"
"Solanum_anceps","yes","hermaphrodite","Herm"
"Solanum_andreanum","yes","hermaphrodite","Herm"
"Solanum_anfractum",,,
"Solanum_anguivi","yes","hermaphrodite","Herm"
"Solanum_angustialatum","yes","hermaphrodite","Herm"
"Solanum_angustifidum",,"hermaphrodite","Herm"
"Solanum_angustifolium","yes","hermaphrodite","Herm"
"Solanum_angustum",,,
"Solanum_anisocladum",,,
"Solanum_annuum",,"hermaphrodite","Herm"
"Solanum_anoacanthum",,,
"Solanum_anomalostemon",,"hermaphrodite","Herm"
"Solanum_anomalum",,"hermaphrodite","Herm"
"Solanum_apaporanum",,"hermaphrodite","Herm"
"Solanum_aparadense",,,
"Solanum_aphyodendron","yes","andromonoecy","xMono"
"Solanum_apiahyense",,,
"Solanum_apiculatum",,,
"Solanum_appendiculatum","yes","dioecy","Dio"
"Solanum_appressum",,"hermaphrodite","Herm"
"Solanum_arachnidanthum","yes","hermaphrodite","Herm"
"Solanum_arboreum","yes","andromonoecy","xMono"
"Solanum_arcanum",,"hermaphrodite","Herm"
"Solanum_arenarium",,,
"Solanum_argenteum",,,
"Solanum_argentinum","yes","hermaphrodite","Herm"
"Solanum_argopetalum","yes","andromonoecy|hermaphrodite","Herm|xMono"
"Solanum_aridicola",,,
