"Name","OnTree","SexSyst","SexSyst4"
"Thalictrum_acutifolium","yes","hermaphrodite","Herm"
"Thalictrum_alpinum","yes","hermaphrodite","Herm"
"Thalictrum_altaicum",,,
"Thalictrum_amurense","yes","hermaphrodite","Herm"
"Thalictrum_appendiculatum",,,
"Thalictrum_aquilegiifolium","yes","hermaphrodite","Herm"
"Thalictrum_arkansanum","yes",,
"Thalictrum_arsenii","yes","andromonoecy","xMono"
"Thalictrum_atriplex","yes","hermaphrodite","Herm"
"Thalictrum_baicalense","yes","hermaphrodite","Herm"
"Thalictrum_brevisericeum","yes","hermaphrodite","Herm"
"Thalictrum_calabricum","yes","hermaphrodite","Herm"
"Thalictrum_chayuense","yes","hermaphrodite","Herm"
"Thalictrum_chelidonii","yes","hermaphrodite","Herm"
"Thalictrum_cincinnatum",,"hermaphrodite","Herm"
"Thalictrum_cirrhosum","yes","hermaphrodite","Herm"
"Thalictrum_clavatum","yes","hermaphrodite","Herm"
"Thalictrum_confine","yes","dioecy","Dio"
"Thalictrum_cooleyi",,"dioecy","Dio"
"Thalictrum_coriaceum","yes","dioecy","Dio"
"Thalictrum_cultratum","yes","hermaphrodite","Herm"
"Thalictrum_dasycarpum","yes","dioecy","Dio"
"Thalictrum_decipiens",,"hermaphrodite","Herm"
"Thalictrum_delavayi","yes","hermaphrodite","Herm"
"Thalictrum_diffusiflorum","yes","hermaphrodite","Herm"
"Thalictrum_dioicum","yes","dioecy","Dio"
"Thalictrum_elegans","yes","hermaphrodite","Herm"
"Thalictrum_faberi",,"hermaphrodite","Herm"
"Thalictrum_fargesii","yes","hermaphrodite","Herm"
"Thalictrum_fendleri","yes","dioecy","Dio"
"Thalictrum_filamentosum","yes","hermaphrodite","Herm"
"Thalictrum_finetii","yes","hermaphrodite","Herm"
"Thalictrum_flavum","yes","hermaphrodite","Herm"
"Thalictrum_foeniculaceum","yes","hermaphrodite","Herm"
"Thalictrum_foetidum","yes","hermaphrodite","Herm"
"Thalictrum_foliolosum","yes","hermaphrodite","Herm"
"Thalictrum_fortunei",,"hermaphrodite","Herm"
"Thalictrum_fusiforme",,"hermaphrodite","Herm"
"Thalictrum_galeottii","yes","andromonoecy","xMono"
"Thalictrum_gibbosum","yes","andromonoecy","xMono"
"Thalictrum_glandulosissimum",,"hermaphrodite","Herm"
"Thalictrum_globiflorum",,,
"Thalictrum_grandidentatum",,"hermaphrodite","Herm"
"Thalictrum_grandiflorum","yes","hermaphrodite","Herm"
"Thalictrum_grandifolium","yes","andromonoecy","xMono"
"Thalictrum_guatemalense","yes","monoecy","xMono"
"Thalictrum_heliophilum","yes","dioecy","Dio"
"Thalictrum_henricksonii","yes","andromonoecy","xMono"
"Thalictrum_hernandezii","yes","andromonoecy","xMono"
"Thalictrum_honanense",,"hermaphrodite","Herm"
"Thalictrum_ichangense","yes","hermaphrodite","Herm"
"Thalictrum_isopyroides","yes","hermaphrodite","Herm"
"Thalictrum_javanicum","yes","hermaphrodite","Herm"
"Thalictrum_kiusianum","yes","hermaphrodite","Herm"
"Thalictrum_lancangense",,"hermaphrodite","Herm"
"Thalictrum_lankesteri","yes",,
"Thalictrum_laxum",,"hermaphrodite","Herm"
"Thalictrum_leuconotum","yes","hermaphrodite","Herm"
"Thalictrum_leve",,"hermaphrodite","Herm"
"Thalictrum_longistylum",,"andromonoecy","xMono"
"Thalictrum_lucidum","yes","hermaphrodite","Herm"
