"Name","OnTree","SexSyst","SexSyst4"
"Valeriana_acutiloba","yes","hermaphrodite","Herm"
"Valeriana_adscendens","yes",,
"Valeriana_aequiloba",,,
"Valeriana_agrimonifolia",,,
"Valeriana_albonervata","yes","hermaphrodite","Herm"
"Valeriana_altaica",,,
"Valeriana_alypifolia",,,
"Valeriana_amurensis","yes","hermaphrodite","Herm"
"Valeriana_apiifolia","yes","polygamodioecy","xDio"
"Valeriana_apula",,"hermaphrodite","Herm"
"Valeriana_arborea","yes",,
"Valeriana_arizonica","yes","hermaphrodite","Herm"
"Valeriana_asarifolia","yes",,
"Valeriana_asplenifolia",,,
"Valeriana_asterothrix",,,
"Valeriana_atacamensis",,,
"Valeriana_baltana",,,
"Valeriana_bambusicaulis",,,
"Valeriana_barbareifolia","yes",,
"Valeriana_barbulata",,,
"Valeriana_boelckei",,"hermaphrodite","Herm"
"Valeriana_boliviana",,,
"Valeriana_bornmuelleri",,,
"Valeriana_bracteata","yes",,
"Valeriana_bracteosa","yes","gynodioecy","xDio"
"Valeriana_bractescens",,,
"Valeriana_bridgesii","yes","gynodioecy","xDio"
"Valeriana_bryophila","yes",,
"Valeriana_bulbosa","yes",,
"Valeriana_buxifolia",,,
"Valeriana_californica","yes","hermaphrodite","Herm"
"Valeriana_calvescens",,,
"Valeriana_capensis",,"gynodioecy","xDio"
"Valeriana_capitata",,"hermaphrodite","Herm"
"Valeriana_carnosa","yes","gynodioecy","xDio"
"Valeriana_catharinensis",,,
"Valeriana_celtica","yes","dioecy","Dio"
"Valeriana_cephalantha",,,
"Valeriana_ceratophylla","yes","hermaphrodite","Herm"
"Valeriana_cernua",,,
"Valeriana_cerosifolia",,,
"Valeriana_chaerophylloides",,,
"Valeriana_chamaedryfolia",,,
"Valeriana_chiapensis",,"gynodioecy","xDio"
"Valeriana_chilensis","yes",,
"Valeriana_clarionifolia","yes","gynodioecy","xDio"
"Valeriana_clematitis","yes","gynodioecy","xDio"
"Valeriana_coarctata","yes",,
"Valeriana_coleophylla",,,
"Valeriana_comosa",,,
"Valeriana_condamoana",,,
"Valeriana_connata","yes",,
"Valeriana_convallarioides",,,
"Valeriana_corymbulosa",,,
"Valeriana_costata",,,
"Valeriana_crassifolia",,,
"Valeriana_crispa","yes","gynodioecy","xDio"
"Valeriana_cucurbitifolia",,"hermaphrodite","Herm"
"Valeriana_cumbemayensis",,,
"Valeriana_daphniflora",,,
"Valeriana_decussata","yes",,
"Valeriana_densa",,,
"Valeriana_densiflora","yes","gynodioecy","xDio"
"Valeriana_dinorrhiza",,,
"Valeriana_dioica",,,
"Valeriana_dipsacoides",,,
