"Name","OnTree","SexSyst","SexSyst4"
"Vitis_acerifolia",,"hermaphrodite","Herm"
"Vitis_adenoclada","yes",,
"Vitis_aestivalis","yes","polygamodioecy","xDio"
"Vitis_amazonica",,,
"Vitis_amurensis",,"polygamodioecy","xDio"
"Vitis_arizonica","yes","dioecy","Dio"
"Vitis_balansana","yes","polygamodioecy","xDio"
"Vitis_bashanica",,,
"Vitis_bellula",,"polygamodioecy","xDio"
"Vitis_berlandieri",,"hermaphrodite","Herm"
"Vitis_betulifolia","yes","hermaphrodite","Herm"
"Vitis_biformis","yes",,
"Vitis_blancoi","yes",,
"Vitis_bloodwothiana","yes",,
"Vitis_bourgaeana","yes",,
"Vitis_bryoniifolia","yes","polygamodioecy","xDio"
"Vitis_californica","yes","dioecy","Dio"
"Vitis_chunganensis","yes","polygamodioecy","xDio"
"Vitis_chungii","yes","polygamodioecy","xDio"
"Vitis_cinerea","yes","polygamodioecy","xDio"
"Vitis_cissoides",,,
"Vitis_coignetiae","yes","hermaphrodite","Herm"
"Vitis_cordifolia",,"hermaphrodite","Herm"
"Vitis_davidii","yes","polygamodioecy","xDio"
"Vitis_enneaphylla",,,
"Vitis_erythrophylla",,"polygamodioecy","xDio"
"Vitis_fengqinensis",,"polygamodioecy","xDio"
"Vitis_figariana",,,
"Vitis_flexuosa","yes","polygamodioecy","xDio"
"Vitis_girdiana","yes","dioecy","Dio"
"Vitis_hancockii",,"polygamodioecy","xDio"
"Vitis_heyneana","yes","polygamodioecy","xDio"
"Vitis_hui","yes","polygamodioecy","xDio"
"Vitis_jacquemontii",,"polygamodioecy","xDio"
"Vitis_jinggangensis",,,
"Vitis_jinzhainensis",,,
"Vitis_lanceolatifoliosa",,,
"Vitis_longquanensis",,,
"Vitis_luochengensis",,,
"Vitis_menghaiensis",,,
"Vitis_mengziensis","yes","polygamodioecy","xDio"
"Vitis_monticola",,"hermaphrodite","Herm"
"Vitis_mustangensis",,"hermaphrodite","Herm"
"Vitis_nesbittiana",,,
"Vitis_papillosa",,,
"Vitis_piasezkii","yes","hermaphrodite","Herm"
"Vitis_pilosonerva",,"polygamodioecy","xDio"
"Vitis_popenoei","yes",,
"Vitis_pseudoreticulata",,"polygamodioecy","xDio"
"Vitis_pubescens",,,
"Vitis_retordii","yes",,
"Vitis_rhomboidea",,,
"Vitis_riparia",,,
"Vitis_romanetii","yes","polygamodioecy","xDio"
"Vitis_rupestris","yes","polygamodioecy","xDio"
"Vitis_ruyuanensis",,"polygamodioecy","xDio"
"Vitis_shenxiensis",,"polygamodioecy","xDio"
"Vitis_shuttleworthii",,,
"Vitis_silvestrii",,"polygamodioecy","xDio"
"Vitis_sinocinerea","yes","polygamodioecy","xDio"
"Vitis_sinuata",,,
"Vitis_thunbergii","yes",,
"Vitis_tiliifolia","yes",,
"Vitis_treleasei",,,
"Vitis_tsoi",,"hermaphrodite","Herm"
"Vitis_tsukubana",,,
"Vitis_vulpina","yes","polygamodioecy","xDio"
"Vitis_wenchowensis",,,
"Vitis_wilsoniae",,"hermaphrodite","Herm"
"Vitis_wuhanensis",,"polygamodioecy","xDio"
"Vitis_yuenlingensis",,,
"Vitis_zhejiang-adstricta",,,
