"Name","OnTree","SexSyst","SexSyst4"
"Wurmbea_angustifolia","yes",,
"Wurmbea_australis",,,
"Wurmbea_biglandulosa","yes","dioecy|gynodioecy|hermaphrodite","Dio|Herm|xDio"
"Wurmbea_burttii",,,
"Wurmbea_calcicola",,,
"Wurmbea_capensis",,,
"Wurmbea_centralis",,,
"Wurmbea_cernua",,,
"Wurmbea_citrina","yes","dioecy","Dio"
"Wurmbea_compacta",,,
"Wurmbea_decumbens",,,
"Wurmbea_densiflora","yes","hermaphrodite","Herm"
"Wurmbea_deserticola",,,
"Wurmbea_dilatata","yes","hermaphrodite","Herm"
"Wurmbea_dioica","yes","dioecy|hermaphrodite|polygamodioecy","Dio|Herm|xDio"
"Wurmbea_dolichantha",,,
"Wurmbea_drummondii","yes","dioecy","Dio"
"Wurmbea_elatior",,,
"Wurmbea_elongata","yes",,
"Wurmbea_fluviatilis",,,
"Wurmbea_glassii",,,
"Wurmbea_graniticola","yes",,
"Wurmbea_hiemalis",,,
"Wurmbea_inflata",,,
"Wurmbea_inframediana","yes","hermaphrodite","Herm"
"Wurmbea_inusta","yes","hermaphrodite","Herm"
"Wurmbea_kraussii","yes",,
"Wurmbea_latifolia","yes","dioecy","Dio"
"Wurmbea_marginata","yes","hermaphrodite","Herm"
"Wurmbea_minima",,,
"Wurmbea_monantha",,"hermaphrodite","Herm"
"Wurmbea_monopetala","yes",,
"Wurmbea_murchisoniana",,"dioecy","Dio"
"Wurmbea_nilpinna",,,
"Wurmbea_odorata",,"dioecy","Dio"
"Wurmbea_punctata","yes",,
"Wurmbea_pusilla",,,
"Wurmbea_pygmaea","yes","hermaphrodite","Herm"
"Wurmbea_recurva",,,
"Wurmbea_robusta",,,
"Wurmbea_saccata",,,
"Wurmbea_sinora","yes","hermaphrodite","Herm"
"Wurmbea_spicata","yes","hermaphrodite","Herm"
"Wurmbea_stellata",,,
"Wurmbea_stricta","yes",,
"Wurmbea_tenella","yes","hermaphrodite","Herm"
"Wurmbea_tenuis",,,
"Wurmbea_tubulosa","yes","dioecy","Dio"
"Wurmbea_uniflora",,,
"Wurmbea_variabilis","yes",,
