C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.25,0.8,0.606,0.,0.5053248192393118,0.8278973490377641,0,0,0
0.25,0.8,0.606,0.,0.4364123443660215,0.5307648783341945,0,0,0
0.25,0.8,0.606,0.,0.95723210832134,0.6978280245870447,1,0,1
0.25,0.8,0.606,0.,0.2319443223102915,0.295742991040997,0,0,0
0.25,0.8,0.606,0.,0.8474894348078927,0.6978917386243806,1,0,1
0.25,0.8,0.606,0.,0.6545101414277885,0.7834471131567684,0,0,0
0.25,0.8,0.606,0.,0.5680161418625411,0.7101084354724945,0,0,0
0.25,0.8,0.606,0.,0.6808653935368423,0.5423818727471259,0,0,0
0.25,0.8,0.606,0.,0.43377990397888255,0.46888031048816936,0,0,0
0.25,0.8,0.606,0.,0.6339855333482634,0.5482220088727074,0,0,0
0.25,0.8,0.606,0.,0.8282127316137031,0.8400009380441762,0,0,0
0.25,0.8,0.606,0.,0.7230310639234057,0.8241252272474446,0,0,0
0.25,0.8,0.606,0.,0.6784550877355038,0.8238256379048388,0,0,0
0.25,0.8,0.606,0.,0.9433282328554493,0.5351832951238589,1,0,1
0.25,0.8,0.606,0.,0.6790109597273928,0.5463071917465097,0,0,0
0.25,0.8,0.606,0.,0.5761981069996898,0.6323721804724451,0,0,0
0.25,0.8,0.606,0.,0.7209933745794392,0.9370805440679151,0,0,0
0.25,0.8,0.606,0.,0.505597164724183,0.5177327966231684,0,0,0
0.25,0.8,0.606,0.,0.5232304013842097,0.7051964647591091,0,0,0
0.25,0.8,0.606,0.,0.4709127762994436,0.7905404230770094,0,0,0
0.25,0.8,0.606,0.,0.507235769605284,0.8819006789985595,0,0,0
0.25,0.8,0.606,0.,0.768055054213024,0.5386322830345882,1,0,1
0.25,0.8,0.606,0.,0.6894290611892187,0.7417302436895381,0,0,0
0.25,0.8,0.606,0.,0.377714172786082,0.43375084297174804,0,0,0
0.25,0.8,0.606,0.,0.47830369771939574,0.997157978587319,0,0,0
0.25,0.8,0.606,0.,0.5585111931576907,0.8840123929994943,0,0,0
0.25,0.8,0.606,0.,0.9556751876634626,0.8836826541657854,0,0,0
0.25,0.8,0.606,0.,0.6990896640163391,0.9977377412734263,0,0,0
0.25,0.8,0.606,0.,0.9413332017540623,0.679344529813849,1,0,1
0.25,0.8,0.606,0.,0.4913138404855151,0.49691647882791834,0,0,0
0.25,0.8,0.606,0.,0.7312950648060395,0.6518570056215076,0,0,0
0.25,0.8,0.606,0.,0.20866506052241962,0.2844402507459507,0,0,0
0.25,0.8,0.606,0.,0.6387085633319358,0.9042324381699034,0,0,0
0.25,0.8,0.606,0.,0.7404544779048507,0.8585993639634297,0,0,0
0.25,0.8,0.606,0.,0.9419864177842137,0.7664126112522123,1,0,1
0.25,0.8,0.606,0.,0.6283126750567816,0.7410482796764566,0,0,0
0.25,0.8,0.606,0.,0.9629662958722018,0.6562039481200128,1,0,1
0.25,0.8,0.606,0.,0.6836247309399002,0.5497398065503849,0,0,0
0.25,0.8,0.606,0.,0.7539871335016841,0.4937539671086355,1,0,1
0.25,0.8,0.606,0.,0.5242376934898199,0.9317514229607042,0,0,0
0.25,0.8,0.606,0.,0.6782345438006918,0.5867638030437154,0,0,0
0.25,0.8,0.606,0.,0.9147958210616642,0.7315188626563185,1,0,1
0.25,0.8,0.606,0.,0.49768500587345277,0.3970497542183049,0,0,0
0.25,0.8,0.606,0.,0.2517723492869042,0.2737903614940409,0,0,0
0.25,0.8,0.606,0.,0.495631090572209,0.9640616180781358,0,0,0
0.25,0.8,0.606,0.,0.5965630585548818,0.9345942691425604,0,0,0
0.25,0.8,0.606,0.,0.683614714733539,0.613511932298306,0,0,0
0.25,0.8,0.606,0.,0.4319530696458922,0.35897210052580064,0,0,0
0.25,0.8,0.606,0.,0.29194057884734526,0.39518971775603706,0,0,0
0.25,0.8,0.606,0.,0.2827313334462267,0.4372772808435066,0,0,0
0.25,0.8,0.606,0.,0.8044640085705217,0.491052315245905,1,0,1
0.25,0.8,0.606,0.,0.6162394834388636,0.7628946528448604,0,0,0
0.25,0.8,0.606,0.,0.5644584185719981,0.8427036625047954,0,0,0
0.25,0.8,0.606,0.,0.7083872919140075,0.8594057469485281,0,0,0
0.25,0.8,0.606,0.,0.952284875538397,0.5421343362591899,1,0,1
0.25,0.8,0.606,0.,0.9128958048516935,0.9585579807172544,0,0,0
0.25,0.8,0.606,0.,0.4662799714173047,0.7287880978864669,0,0,0
0.25,0.8,0.606,0.,0.6341117841616204,0.7554078340366885,0,0,0
0.25,0.8,0.606,0.,0.43425126177656637,0.7256525211960514,0,0,0
0.25,0.8,0.606,0.,0.3007803651497054,0.2807087794551444,0,0,0
0.25,0.8,0.606,0.,0.5396618444122312,0.39470745863751033,0,0,0
0.25,0.8,0.606,0.,0.4543389512365914,0.9202203450961886,0,0,0
0.25,0.8,0.606,0.,0.27120183742880677,0.4098092114055396,0,0,0
0.25,0.8,0.606,0.,0.7334047864357933,0.9442533191558098,0,0,0
0.25,0.8,0.606,0.,0.8995226575027213,0.9970424680972523,0,0,0
0.25,0.8,0.606,0.,0.7664481982925413,0.9159894483144055,0,0,0
0.25,0.8,0.606,0.,0.5999138235675407,0.5939916998371491,0,0,0
