C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.25,0.8,1.2466666666666668,0,0.2526624096196559,0.41394867451888206,1,0,1
0.25,0.8,1.2466666666666668,0,0.21820617218301075,0.26538243916709725,1,0,1
0.25,0.8,1.2466666666666668,0,0.47861605416067,0.34891401229352237,1,0,1
0.25,0.8,1.2466666666666668,0,0.176133787146737,0.10028082246838965,2,0,2
0.25,0.8,1.2466666666666668,0,0.1246681178531368,0.08856198851732167,2,0,2
0.25,0.8,1.2466666666666668,0,0.44666322762929256,0.16658421640107202,3,1,2
0.25,0.8,1.2466666666666668,0,0.14191453179751823,0.4695511627475376,2,1,1
0.25,0.8,1.2466666666666668,0,0.11597216115514575,0.1478714955204985,2,0,2
0.25,0.8,1.2466666666666668,0,0.42374471740394637,0.3489458693121903,1,0,1
0.25,0.8,1.2466666666666668,0,0.38847298274319575,0.14285368157324696,3,1,2
0.25,0.8,1.2466666666666668,0,0.12932702080151082,0.0413367460336973,3,1,2
0.25,0.8,1.2466666666666668,0,0.3297852080279555,0.1885675205919014,2,0,2
0.25,0.8,1.2466666666666668,0,0.13645486569305576,0.33328730603757084,1,0,1
0.25,0.8,1.2466666666666668,0,0.2598844613114365,0.0851704774822366,3,1,2
0.25,0.8,1.2466666666666668,0,0.12952043736059593,0.07686887581645008,2,0,2
0.25,0.8,1.2466666666666668,0,0.32523921099265096,0.17586332936228255,2,0,2
0.25,0.8,1.2466666666666668,0,0.07413357115981012,0.23420345364963557,3,1,2
0.25,0.8,1.2466666666666668,0,0.48939100955102155,0.2502820279220752,1,0,1
0.25,0.8,1.2466666666666668,0,0.07253268157465986,0.27855549704451543,3,1,2
0.25,0.8,1.2466666666666668,0,0.1839328463227784,0.12141928709791061,2,0,2
0.25,0.8,1.2466666666666668,0,0.06233777878902946,0.1840772200320775,3,1,2
0.25,0.8,1.2466666666666668,0,0.16124944911620853,0.35074986372699246,1,0,1
0.25,0.8,1.2466666666666668,0,0.10898846762599101,0.48583420037779734,2,1,1
0.25,0.8,1.2466666666666668,0,0.32725507071389426,0.3917235565783842,1,0,1
0.25,0.8,1.2466666666666668,0,0.07268022541402319,0.43008598520399355,3,1,2
0.25,0.8,1.2466666666666668,0,0.007914150753263738,0.05879782564250147,3,1,2
0.25,0.8,1.2466666666666668,0,0.4949594157635786,0.24168962215307,1,0,1
0.25,0.8,1.2466666666666668,0,0.08109755585760314,0.4661381810842107,3,1,2
0.25,0.8,1.2466666666666668,0,0.07554346958510227,0.1210226271153102,2,0,2
0.25,0.8,1.2466666666666668,0,0.4246393945592666,0.10894056486260362,3,1,2
0.25,0.8,1.2466666666666668,0,0.28400807093127056,0.35505421773624724,1,0,1
0.25,0.8,1.2466666666666668,0,0.3474869492233933,0.0617151539471712,3,1,2
0.25,0.8,1.2466666666666668,0,0.34043269676842114,0.27119093637356295,1,0,1
