C,delta,k,r,sm,sf,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,6.38,0,0.072532682,0.278555497,3,1,2
0.75,0.2,6.38,0,0.108988468,0.4858342,2,0,2
0.75,0.2,6.38,0,0.072680225,0.430085985,2,0,2
0.75,0.2,6.38,0,0.007914151,0.058797826,3,1,2
0.75,0.2,6.38,0,0.081097556,0.466138181,2,0,2
0.75,0.2,6.38,0,0.041515391,0.221567272,2,0,2
0.75,0.2,6.38,0,0.022860239,0.160679769,2,0,2
0.75,0.2,6.38,0,0.133170431,0.464196897,3,1,2
0.75,0.2,6.38,0,0.050814635,0.212891168,3,1,2
0.75,0.2,6.38,0,0.076308536,0.347540722,2,0,2
0.75,0.2,6.38,0,0.036400519,0.139427057,3,1,2
0.75,0.2,6.38,0,0.032194767,0.298447228,3,1,2
0.75,0.2,6.38,0,0.086245714,0.404118968,2,0,2
0.75,0.2,6.38,0,0.083424697,0.347080896,3,1,2
0.75,0.2,6.38,0,0.04598613,0.33814727,2,0,2
0.75,0.2,6.38,0,0.054001984,0.393009655,2,0,2
0.75,0.2,6.38,0,0.090173688,0.388736823,3,1,2
0.75,0.2,6.38,0,0.093424644,0.335280251,3,1,2
0.75,0.2,6.38,0,0.067303033,0.252329334,3,1,2
0.75,0.2,6.38,0,0.092839565,0.480809579,2,0,2
0.75,0.2,6.38,0,0.069360673,0.350397514,2,0,2
0.75,0.2,6.38,0,0.038570634,0.285453037,3,1,2
0.75,0.2,6.38,0,0.107147995,0.495298877,2,0,2
0.75,0.2,6.38,0,0.051369263,0.46794526,3,1,2
0.75,0.2,6.38,0,0.086213954,0.349264423,3,1,2
0.75,0.2,6.38,0,0.046657324,0.173698516,3,1,2
0.75,0.2,6.38,0,0.045880615,0.169006742,3,1,2
0.75,0.2,6.38,0,0.041702899,0.260048217,2,0,2
0.75,0.2,6.38,0,0.046956221,0.443947253,3,1,2
0.75,0.2,6.38,0,0.117535155,0.449228405,3,1,2
0.75,0.2,6.38,0,0.100762796,0.371475923,3,1,2
0.75,0.2,6.38,0,0.051535893,0.42356714,3,1,2
0.75,0.2,6.38,0,0.054418233,0.44643895,3,1,2
0.75,0.2,6.38,0,0.066188856,0.403866401,2,0,2
0.75,0.2,6.38,0,0.085948303,0.379918619,3,1,2
0.75,0.2,6.38,0,0.094460088,0.357258222,3,1,2
0.75,0.2,6.38,0,0.056552805,0.251835008,3,1,2
0.75,0.2,6.38,0,0.065233808,0.470208242,2,0,2
0.75,0.2,6.38,0,0.111944375,0.481523453,3,1,2
0.75,0.2,6.38,0,0.053478303,0.388744534,2,0,2
0.75,0.2,6.38,0,0.0430665,0.224097243,2,0,2
0.75,0.2,6.38,0,0.09229172,0.346924233,3,1,2
0.75,0.2,6.38,0,0.063321082,0.444661933,2,0,2
0.75,0.2,6.38,0,0.047077488,0.425575651,3,1,2
0.75,0.2,6.38,0,0.083781647,0.31564655,3,1,2
0.75,0.2,6.38,0,0.128183439,0.489686728,3,1,2
0.75,0.2,6.38,0,0.08269214,0.374901493,2,0,2
0.75,0.2,6.38,0,0.108148022,0.38786641,3,1,2
0.75,0.2,6.38,0,0.096564977,0.354268742,3,1,2
0.75,0.2,6.38,0,0.097308926,0.416288865,3,1,2
0.75,0.2,6.38,0,0.080158423,0.323145618,3,1,2
0.75,0.2,6.38,0,0.127900298,0.458698682,3,1,2
0.75,0.2,6.38,0,0.044002743,0.356525681,3,1,2
0.75,0.2,6.38,0,0.090521863,0.354971959,3,1,2
0.75,0.2,6.38,0,0.041280831,0.325609855,3,1,2
0.75,0.2,6.38,0,0.047730369,0.245495909,2,0,2
0.75,0.2,6.38,0,0.050583972,0.296629113,2,0,2
0.75,0.2,6.38,0,0.106333967,0.482068269,2,0,2
0.75,0.2,6.38,0,0.138373465,0.481784746,3,1,2
