C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,6.38,0.,0.14191453179751823,0.4695511627475376,2,0,2
0.75,0.2,6.38,0.,0.10898846762599101,0.48583420037779734,1,0,1
0.75,0.2,6.38,0.,0.07268022541402319,0.43008598520399355,1,0,1
0.75,0.2,6.38,0.,0.08109755585760314,0.4661381810842107,1,0,1
0.75,0.2,6.38,0.,0.16359206394319514,0.4929036016013413,2,0,2
0.75,0.2,6.38,0.,0.04151539051682984,0.22156727181234948,2,0,2
0.75,0.2,6.38,0.,0.13317043070802626,0.46419689727955993,2,0,2
0.75,0.2,6.38,0.,0.0763085363685172,0.34754072193607677,2,0,2
0.75,0.2,6.38,0.,0.08624571385531243,0.4041189684281189,1,0,1
0.75,0.2,6.38,0.,0.1569926745354745,0.4768310810389593,2,0,2
0.75,0.2,6.38,0.,0.08342469690415188,0.3470808955994358,2,0,2
0.75,0.2,6.38,0.,0.09017368827033978,0.3887368231224769,1,0,1
0.75,0.2,6.38,0.,0.09283956496606571,0.48080957851052364,1,0,1
0.75,0.2,6.38,0.,0.06936067270514401,0.35039751415931997,1,0,1
0.75,0.2,6.38,0.,0.16390496586371606,0.4926604721841108,2,0,2
0.75,0.2,6.38,0.,0.10714799529491659,0.4952988768247022,1,0,1
0.75,0.2,6.38,0.,0.08621395387213315,0.3492644228905867,2,0,2
0.75,0.2,6.38,0.,0.11753515454527053,0.44922840494353655,2,0,2
0.75,0.2,6.38,0.,0.10076279620068052,0.3714759227696989,2,0,2
0.75,0.2,6.38,0.,0.06618885630639604,0.4038664005553193,1,0,1
0.75,0.2,6.38,0.,0.14555028778100876,0.49286358893486193,2,0,2
0.75,0.2,6.38,0.,0.08594830311015911,0.37991861875581234,1,0,1
0.75,0.2,6.38,0.,0.09446008796398409,0.3572582222333631,2,0,2
0.75,0.2,6.38,0.,0.05655280471512225,0.2518350083999671,2,0,2
0.75,0.2,6.38,0.,0.11194437502922894,0.4815234526386688,1,0,1
0.75,0.2,6.38,0.,0.043066500279692166,0.2240972427554646,2,0,2
