k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
1.1*(1 - 2*delta*selfRate),0,0.21820617218301075,0.26538243916709725,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.47861605416067,0.34891401229352237,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.42374471740394637,0.3489458693121903,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.32725507071389426,0.3917235565783842,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.28400807093127056,0.35505421773624724,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.34043269676842114,0.27119093637356295,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.21688995198944128,0.23444015524408468,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3169927666741317,0.2741110044363537,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.41410636580685156,0.4200004690220881,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.36151553196170283,0.4120626136237223,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3392275438677519,0.4119128189524194,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3395054798636964,0.27315359587325483,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2880990534998449,0.3161860902362226,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3604966872897196,0.46854027203395754,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.2527985823620915,0.2588663983115842,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.26161520069210487,0.35259823237955457,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3447145305946093,0.37086512184476905,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.188857086393041,0.21687542148587402,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.4778375938317313,0.4418413270828927,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.34954483200816955,0.49886887063671315,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.47066660087703116,0.3396722649069245,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.24565692024275754,0.24845823941395917,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3656475324030197,0.3259285028107538,0,0,0
1.1*(1 - 2*delta*selfRate),0,0.3193542816659679,0.4521162190849517,0,0,0
