C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,1.0499999999999998,0.,0.5053248192393118,0.8278973490377641,1,0,1
0.75,0.2,1.0499999999999998,0.,0.28382906359503646,0.9391023254950752,2,0,2
0.75,0.2,1.0499999999999998,0.,0.2729097313861115,0.6665746120751417,2,0,2
0.75,0.2,1.0499999999999998,0.,0.14826714231962024,0.46840690729927115,2,0,2
0.75,0.2,1.0499999999999998,0.,0.14506536314931973,0.5571109940890309,2,0,2
0.75,0.2,1.0499999999999998,0.,0.32249889823241706,0.7014997274539849,1,0,1
0.75,0.2,1.0499999999999998,0.,0.21797693525198203,0.9716684007555947,2,0,2
0.75,0.2,1.0499999999999998,0.,0.14536045082804638,0.8601719704079871,2,0,2
0.75,0.2,1.0499999999999998,0.,0.16219511171520629,0.9322763621684214,2,0,2
0.75,0.2,1.0499999999999998,0.,0.2081866523129714,0.7113334946370684,2,0,2
0.75,0.2,1.0499999999999998,0.,0.21933098025810027,0.6079987295334872,2,0,2
0.75,0.2,1.0499999999999998,0.,0.8282127316137031,0.8400009380441762,1,0,1
0.75,0.2,1.0499999999999998,0.,0.28319355328018414,0.6325829871489936,2,0,2
0.75,0.2,1.0499999999999998,0.,0.7230310639234057,0.8241252272474446,1,0,1
0.75,0.2,1.0499999999999998,0.,0.3271841278863903,0.9858072032026826,1,0,1
0.75,0.2,1.0499999999999998,0.,0.13313289707576104,0.4474658927665687,2,0,2
0.75,0.2,1.0499999999999998,0.,0.6784550877355038,0.8238256379048388,1,0,1
0.75,0.2,1.0499999999999998,0.,0.08303078103365968,0.44313454362469895,2,0,2
0.75,0.2,1.0499999999999998,0.,0.7209933745794392,0.9370805440679151,1,0,1
0.75,0.2,1.0499999999999998,0.,0.348411900187505,0.7207463273285315,1,0,1
0.75,0.2,1.0499999999999998,0.,0.2663408614160525,0.9283937945591199,2,0,2
0.75,0.2,1.0499999999999998,0.,0.10162926949588069,0.42578233611590743,2,0,2
0.75,0.2,1.0499999999999998,0.,0.4709127762994436,0.7905404230770094,1,0,1
0.75,0.2,1.0499999999999998,0.,0.507235769605284,0.8819006789985595,1,0,1
0.75,0.2,1.0499999999999998,0.,0.4109265253771588,0.8414063932775622,1,0,1
0.75,0.2,1.0499999999999998,0.,0.1526170727370344,0.6950814438721535,2,0,2
0.75,0.2,1.0499999999999998,0.,0.47830369771939574,0.997157978587319,1,0,1
0.75,0.2,1.0499999999999998,0.,0.5585111931576907,0.8840123929994943,1,0,1
0.75,0.2,1.0499999999999998,0.,0.9556751876634626,0.8836826541657854,1,0,1
0.75,0.2,1.0499999999999998,0.,0.29137412900779824,0.8304264250312419,2,0,2
0.75,0.2,1.0499999999999998,0.,0.6990896640163391,0.9977377412734263,0,0,0
0.75,0.2,1.0499999999999998,0.,0.39644807408440075,0.9680721171779461,1,0,1
0.75,0.2,1.0499999999999998,0.,0.17249142771062487,0.8082379368562378,2,0,2
0.75,0.2,1.0499999999999998,0.,0.313985349070949,0.9536621620779187,1,0,1
0.75,0.2,1.0499999999999998,0.,0.6387085633319358,0.9042324381699034,1,0,1
0.75,0.2,1.0499999999999998,0.,0.7404544779048507,0.8585993639634297,1,0,1
0.75,0.2,1.0499999999999998,0.,0.16684939380830377,0.6941617911988716,2,0,2
0.75,0.2,1.0499999999999998,0.,0.40344463716492984,0.9032200383014677,1,0,1
0.75,0.2,1.0499999999999998,0.,0.3739436975497037,0.801241432016653,1,0,1
0.75,0.2,1.0499999999999998,0.,0.5242376934898199,0.9317514229607042,1,0,1
0.75,0.2,1.0499999999999998,0.,0.495631090572209,0.9640616180781358,1,0,1
0.75,0.2,1.0499999999999998,0.,0.5965630585548818,0.9345942691425604,1,0,1
0.75,0.2,1.0499999999999998,0.,0.18034737654067956,0.7774736462449539,2,0,2
0.75,0.2,1.0499999999999998,0.,0.1991756226167125,0.5516002662930972,2,0,2
0.75,0.2,1.0499999999999998,0.,0.19946064309757028,0.585217045852332,2,0,2
0.75,0.2,1.0499999999999998,0.,0.18684928875738938,0.6705605029952335,2,0,2
0.75,0.2,1.0499999999999998,0.,0.13460606641559947,0.5046586673108275,2,0,2
0.75,0.2,1.0499999999999998,0.,0.2848235735406468,0.8506868589087411,2,0,2
0.75,0.2,1.0499999999999998,0.,0.18567912993213143,0.9616191570210473,2,0,2
0.75,0.2,1.0499999999999998,0.,0.295202726978423,0.8835526026483278,2,0,2
0.75,0.2,1.0499999999999998,0.,0.13872134541028802,0.7007950283186399,2,0,2
0.75,0.2,1.0499999999999998,0.,0.3278099317274321,0.9853209443682216,1,0,1
0.75,0.2,1.0499999999999998,0.,0.5644584185719981,0.8427036625047954,1,0,1
0.75,0.2,1.0499999999999998,0.,0.7083872919140075,0.8594057469485281,1,0,1
0.75,0.2,1.0499999999999998,0.,0.9128958048516935,0.9585579807172544,0,0,0
0.75,0.2,1.0499999999999998,0.,0.29209284821825254,0.9129645172480105,2,0,2
0.75,0.2,1.0499999999999998,0.,0.43425126177656637,0.7256525211960514,1,0,1
0.75,0.2,1.0499999999999998,0.,0.4543389512365914,0.9202203450961886,1,0,1
0.75,0.2,1.0499999999999998,0.,0.37900166390830026,0.9542422274300519,1,0,1
0.75,0.2,1.0499999999999998,0.,0.3059736733758913,0.6613935297376856,2,0,2
0.75,0.2,1.0499999999999998,0.,0.3000567053486922,0.6685468775048198,2,0,2
0.75,0.2,1.0499999999999998,0.,0.21429599058983317,0.9905977536494044,2,0,2
