C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,0.77,0,0.07253268157465986,0.27855549704451543,3,1,2
0.75,0.2,0.77,0,0.10898846762599101,0.48583420037779734,2,0,2
0.75,0.2,0.77,0,0.07268022541402319,0.43008598520399355,2,0,2
0.75,0.2,0.77,0,0.007914150753263738,0.05879782564250147,3,1,2
0.75,0.2,0.77,0,0.08109755585760314,0.4661381810842107,2,0,2
0.75,0.2,0.77,0,0.04151539051682984,0.22156727181234948,2,0,2
0.75,0.2,0.77,0,0.022860238689911716,0.16067976881749801,2,0,2
0.75,0.2,0.77,0,0.13317043070802626,0.46419689727955993,3,1,2
0.75,0.2,0.77,0,0.050814634747940346,0.21289116805795372,3,1,2
0.75,0.2,0.77,0,0.0763085363685172,0.34754072193607677,2,0,2
0.75,0.2,0.77,0,0.03640051878672035,0.1394270574461769,3,1,2
0.75,0.2,0.77,0,0.032194767453256,0.29844722849048444,3,1,2
0.75,0.2,0.77,0,0.08624571385531243,0.4041189684281189,2,0,2
0.75,0.2,0.77,0,0.08342469690415188,0.3470808955994358,3,1,2
0.75,0.2,0.77,0,0.04598613010547015,0.33814727005960554,2,0,2
0.75,0.2,0.77,0,0.05400198385676125,0.393009655013176,2,0,2
0.75,0.2,0.77,0,0.09017368827033978,0.3887368231224769,3,1,2
0.75,0.2,0.77,0,0.09342464437869469,0.33528025149761675,3,1,2
0.75,0.2,0.77,0,0.06730303320779973,0.25232933365541377,3,1,2
0.75,0.2,0.77,0,0.09283956496606571,0.48080957851052364,2,0,2
0.75,0.2,0.77,0,0.06936067270514401,0.35039751415931997,2,0,2
0.75,0.2,0.77,0,0.038570634334564535,0.2854530371421855,3,1,2
0.75,0.2,0.77,0,0.10714799529491659,0.4952988768247022,2,0,2
0.75,0.2,0.77,0,0.051369263211539784,0.46794525972583334,3,1,2
0.75,0.2,0.77,0,0.08621395387213315,0.3492644228905867,3,1,2
0.75,0.2,0.77,0,0.04665732425925939,0.1736985162485425,3,1,2
0.75,0.2,0.77,0,0.045880614749610804,0.16900674155532858,3,1,2
0.75,0.2,0.77,0,0.04170289878366307,0.26004821669477884,2,0,2
0.75,0.2,0.77,0,0.046956220804284854,0.4439472526458761,3,1,2
0.75,0.2,0.77,0,0.11753515454527053,0.44922840494353655,3,1,2
0.75,0.2,0.77,0,0.10076279620068052,0.3714759227696989,3,1,2
