k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.77,0,0.10898846762599101,0.48583420037779734,0,1,-1
0.77,0,0.07268022541402319,0.43008598520399355,0,0,0
0.77,0,0.007914150753263738,0.05879782564250147,3,1,2
0.77,0,0.08109755585760314,0.4661381810842107,0,0,0
0.77,0,0.04151539051682984,0.22156727181234948,2,0,2
0.77,0,0.022860238689911716,0.16067976881749801,0,1,-1
0.77,0,0.0763085363685172,0.34754072193607677,0,1,-1
0.77,0,0.08624571385531243,0.4041189684281189,3,1,2
0.77,0,0.04598613010547015,0.33814727005960554,0,1,-1
0.77,0,0.05400198385676125,0.393009655013176,3,1,2
0.77,0,0.09283956496606571,0.48080957851052364,0,0,0
0.77,0,0.06936067270514401,0.35039751415931997,0,0,0
0.77,0,0.038570634334564535,0.2854530371421855,3,1,2
0.77,0,0.10714799529491659,0.4952988768247022,0,1,-1
0.77,0,0.04170289878366307,0.26004821669477884,2,0,2
0.77,0,0.06618885630639604,0.4038664005553193,0,0,0
0.77,0,0.08594830311015911,0.37991861875581234,3,1,2
0.77,0,0.05655280471512225,0.2518350083999671,0,1,-1
0.77,0,0.06523380763150588,0.47020824205443434,0,1,-1
0.77,0,0.053478303149475326,0.3887445341343433,3,1,2
0.77,0,0.043066500279692166,0.2240972427554646,2,0,2
0.77,0,0.06332108191842778,0.444661933328353,0,1,-1
0.77,0,0.08269214017904702,0.3749014931193946,0,1,-1
0.77,0,0.04773036902360084,0.2454959094237209,0,0,0
0.77,0,0.05058397194233266,0.29662911316245744,0,0,0
0.77,0,0.1063339674373649,0.4820682686886595,3,1,2
0.77,0,0.08333077713808612,0.37692451554822937,0,1,-1
0.77,0,0.028916073324026015,0.14005573759475853,0,1,-1
0.77,0,0.07430742047373362,0.4934715762736418,2,0,2
0.77,0,0.04633432447021846,0.290503981735704,2,0,2
0.77,0,0.06394247246929974,0.4889010829100391,3,1,2
0.77,0,0.04088709477286612,0.2621014565027292,0,0,0
0.77,0,0.08890692277098045,0.45681401098513263,2,0,2
0.77,0,0.06689410454367939,0.35877501889988017,2,0,2
0.77,0,0.06768061816882753,0.3667778505189948,2,0,2
0.77,0,0.07323222998654977,0.43185654301349197,0,0,0
0.77,0,0.06153273920121527,0.3534002210792737,2,0,2
0.77,0,0.051193718106132935,0.33595092051554387,2,0,2
0.77,0,0.09178328289282911,0.4777041007584981,2,0,2
0.77,0,0.09637748090294829,0.43427463253604925,3,1,2
0.77,0,0.08042793798998349,0.42698093623392985,0,0,0
0.77,0,0.08793862056791935,0.3944522488226079,3,1,2
0.77,0,0.05256752658875896,0.26562095715964007,2,0,2
0.77,0,0.05587508161735166,0.3084377047433028,2,0,2
0.77,0,0.08174275941680931,0.4175443752822873,2,0,2
0.77,0,0.06585928351205483,0.367171045768404,2,0,2
0.77,0,0.09009168206038198,0.4871796095858618,0,0,0
0.77,0,0.09733879995753547,0.4792458888867356,0,0,0
0.77,0,0.06237446840676941,0.3530883286890387,2,0,2
0.77,0,0.09079079749522168,0.4894082103207408,2,0,2
0.77,0,0.06935991747934,0.47445187577566783,0,1,-1
0.77,0,0.033909239082332565,0.21685376958316716,0,0,0
0.77,0,0.04547667439625114,0.3343686574787669,0,1,-1
0.77,0,0.03299666110926491,0.15241644237351248,0,1,-1
0.77,0,0.08393687172841846,0.39953379382869736,3,1,2
0.77,0,0.05524676364842773,0.2417081476877566,3,1,2
0.77,0,0.048835140668865074,0.22980054783484616,3,1,2
0.77,0,0.06310066684078841,0.30445986004094716,3,1,2
0.77,0,0.08632857902238555,0.4467015575542723,2,0,2
0.77,0,0.04782409233024809,0.24913264221476072,2,0,2
0.77,0,0.06260559618663564,0.3919046732951198,2,0,2
0.77,0,0.03836936996032425,0.20762001845245726,0,0,0
0.77,0,0.07858050649754467,0.385640757707053,3,1,2
0.77,0,0.039056554456668335,0.16928446496448368,3,1,2
0.77,0,0.04190308269348009,0.2634352759884746,0,0,0
0.77,0,0.06622215157580935,0.4338143092318786,0,0,0
0.77,0,0.04310130467560114,0.2543851738116939,2,0,2
0.77,0,0.0670061533538121,0.44333369211459706,0,0,0
0.77,0,0.0662102177386984,0.4592555454352929,0,1,-1
0.77,0,0.020435091882598178,0.15053665029318786,0,1,-1
0.77,0,0.04750501855109046,0.3096737544977448,0,0,0
0.77,0,0.04084341513340051,0.17762704700312293,0,1,-1
0.77,0,0.047838832558289246,0.31437943339554264,0,0,0
0.77,0,0.059102809537598944,0.42434003350474336,0,1,-1
0.77,0,0.033481672501406656,0.18261344011643688,2,0,2
0.77,0,0.05610847766798177,0.4277872914090801,3,1,2
0.77,0,0.05237748409328169,0.3278183741699996,2,0,2
0.77,0,0.019550227523002173,0.0962005090677075,3,1,2
0.77,0,0.04601221520930088,0.25371744375208327,0,0,0
0.77,0,0.06244916585781157,0.3791752695449987,2,0,2
0.77,0,0.07177561847939307,0.42327128581654083,2,0,2
0.77,0,0.040716457613683366,0.180104133288421,0,1,-1
0.77,0,0.06196823371371851,0.4497833000203162,0,1,-1
0.77,0,0.04128201219996863,0.23046198350602531,2,0,2
0.77,0,0.053727775565531655,0.2923084599597753,2,0,2
0.77,0,0.016439582708440703,0.11205815505806571,3,1,2
0.77,0,0.012858681849773457,0.07784770018246623,2,0,2
0.77,0,0.05991109170462827,0.3859298590093072,2,0,2
0.77,0,0.08053166726782868,0.39815377762131177,2,0,2
0.77,0,0.02023579399109321,0.09913662009481705,3,1,2
0.77,0,0.06092511108713028,0.3107849044451112,0,0,0
0.77,0,0.08301826609508378,0.40165452501062293,3,1,2
0.77,0,0.07988003878603356,0.4260186609504142,2,0,2
0.77,0,0.026873512387409093,0.20071648421696653,0,1,-1
0.77,0,0.06620501447687765,0.28983636440369154,0,1,-1
0.77,0,0.05132228232336611,0.3387554191798926,0,0,0
0.77,0,0.04116839125953031,0.17980859669669358,0,1,-1
0.77,0,0.07214186211909024,0.4797183219907313,2,0,2
0.77,0,0.08115164188163881,0.48970028167908486,0,0,0
0.77,0,0.10327408531739879,0.45977048499698203,0,1,-1
0.77,0,0.057929644670478786,0.36509270907172753,0,0,0
0.77,0,0.051436931360960725,0.2536486748111747,0,1,-1
0.77,0,0.06342798904791735,0.27883559934728464,3,1,2
0.77,0,0.014780918940799137,0.0950142655230406,2,0,2
0.77,0,0.06180251762550559,0.4260413460011131,0,1,-1
0.77,0,0.018229499108218805,0.11037369521969498,2,0,2
0.77,0,0.0631949393520087,0.4779836057575034,3,1,2
0.77,0,0.08825191818821432,0.42060653118391966,0,1,-1
0.77,0,0.08480492952160623,0.4121001660433422,0,1,-1
0.77,0,0.03501247432093768,0.19754508243206326,0,0,0
0.77,0,0.05910345654436466,0.39426721522059616,0,1,-1
0.77,0,0.0752279040974061,0.4377715787044699,2,0,2
0.77,0,0.08516673482526926,0.4188509227293171,3,1,2
0.77,0,0.051996574268971085,0.29502384586601316,2,0,2
0.77,0,0.10278919487947213,0.45447410040466374,3,1,2
0.77,0,0.08691882785119176,0.4917101365884735,0,0,0
0.77,0,0.06592658867587775,0.49386751242483373,3,1,2
0.77,0,0.043475790916775336,0.30394117897208783,0,1,-1
0.77,0,0.004859420641698309,0.02360832044883876,0,1,-1
0.77,0,0.015370413601252686,0.06732141864344865,0,1,-1
0.77,0,0.021879006837598136,0.1505183907059955,0,1,-1
0.77,0,0.07273179914422723,0.46041767300203973,0,0,0
0.77,0,0.01864174694091769,0.09913911640425299,0,0,0
0.77,0,0.06612980386187584,0.3776145685266803,0,0,0
0.77,0,0.050577241970644726,0.24317631392269268,0,1,-1
0.77,0,0.03392344097611677,0.22653747496159227,3,1,2
0.77,0,0.08827359799851675,0.4925628889122968,0,0,0
0.77,0,0.07050779913632732,0.3254330809988143,0,1,-1
0.77,0,0.09769576133722324,0.4751536524549069,0,1,-1
0.77,0,0.03360148217107095,0.20404063903528347,2,0,2
0.77,0,0.10302253578318632,0.4632442315930012,0,1,-1
0.77,0,0.06592104245481079,0.3976291197798244,0,0,0
0.77,0,0.06554585792107603,0.39277479002254545,2,0,2
0.77,0,0.038519976246518595,0.2761016805500427,3,1,2
0.77,0,0.0785710666050955,0.4106029018718923,2,0,2
0.77,0,0.05986703848710773,0.340648031656277,2,0,2
0.77,0,0.09335157275225547,0.43540592317305893,3,1,2
0.77,0,0.05675557676801035,0.3550994983712935,2,0,2
0.77,0,0.05856031351519586,0.2765534900369031,0,1,-1
0.77,0,0.048058248441444906,0.33211269802666554,0,1,-1
0.77,0,0.04508701214222022,0.3477725247974637,0,1,-1
0.77,0,0.07847138328331493,0.4034325559689772,0,0,0
0.77,0,0.07023240483640125,0.4243542264550636,2,0,2
0.77,0,0.06368251115653645,0.3992637751100252,2,0,2
0.77,0,0.06574746746310023,0.31338599067890927,0,1,-1
0.77,0,0.06153589736450704,0.36779437436924456,0,0,0
0.77,0,0.06584719289302332,0.3405756241545199,0,0,0
0.77,0,0.011618396597873226,0.07121107201063026,0,0,0
0.77,0,0.03636027321932811,0.2771953345072866,0,1,-1
0.77,0,0.06267488561364343,0.39014406377340083,0,0,0
0.77,0,0.06933482255691126,0.30723621784610344,0,1,-1
0.77,0,0.07046831635320538,0.4540838698423426,0,0,0
0.77,0,0.08975285381092857,0.46479945432685366,0,0,0
0.77,0,0.07613043838122358,0.45200493579194334,2,0,2
0.77,0,0.07807045339567831,0.39140968815901844,0,0,0
0.77,0,0.039233135871531544,0.1847791916670959,3,1,2
0.77,0,0.051754595585240315,0.294727434145133,2,0,2
0.77,0,0.05767173727348618,0.34472656125960455,2,0,2
0.77,0,0.043588825345895144,0.26602785031547604,0,0,0
0.77,0,0.03560681884482331,0.23341283536933977,0,0,0
0.77,0,0.04045922528901469,0.1873955594691239,0,1,-1
0.77,0,0.10109515999587226,0.47305281358266693,3,1,2
0.77,0,0.039279607257291294,0.2069243087618018,2,0,2
0.77,0,0.032293502946992625,0.24121366894030893,3,1,2
0.77,0,0.05995888370313418,0.40943815139567086,0,1,-1
0.77,0,0.06399944591006357,0.44730677865013846,3,1,2
0.77,0,0.07085020200149872,0.4944820409696352,0,1,-1
0.77,0,0.07714958496041235,0.4225148609998439,0,0,0
0.77,0,0.07888950189260191,0.47832749103467487,0,0,0
0.77,0,0.05324877882573131,0.38933570987251187,0,1,-1
0.77,0,0.07161114488274356,0.3631504481587392,0,0,0
0.77,0,0.06462549472280976,0.344441002462773,2,0,2
0.77,0,0.07309527771005742,0.35423235117052965,3,1,2
0.77,0,0.05681675858742563,0.3530798957990261,0,0,0
0.77,0,0.03227641119202651,0.2467764911388619,3,1,2
0.77,0,0.029242791483218844,0.19363626668838918,3,1,2
0.77,0,0.020613368661422826,0.14360370350067253,0,1,-1
0.77,0,0.05037958476933524,0.3538455432066414,3,1,2
0.77,0,0.04815914914540842,0.26201427707663505,2,0,2
0.77,0,0.07913411749896215,0.3552221795174061,3,1,2
0.77,0,0.05166041113825959,0.30182693107362535,0,0,0
0.77,0,0.06651405756695516,0.40977670983360615,0,0,0
0.77,0,0.033091188578351693,0.23825956009112814,3,1,2
0.77,0,0.06581806293882408,0.30961166765182246,3,1,2
