"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.4,0.4,0.451044,0,0.323763,0.132697,0,0,0,0.055309,0.037187,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0,1.1,0.383631713554987,0.4,0.414982,0,0.286103,0.119684,0,0,0,0.046969,0.032263,0,0.073628,0,0.017581,0,0,0,0,0.013427,0,0,0.5,0.0442739079102717
0.5,0.5,0.2,0.72,0,1.1,0.359712230215827,0.4,0.381207,0,0.246834,0.106783,0,0,0,0.038086,0.027091,0,0.15025,0,0.033167,0,0,0,0,0.025742,0,0,0.5,0.042480883602379
0.5,0.5,0.3,0.68,0,1.1,0.328022492970947,0.4,0.348905,0,0.206201,0.094008,0,0,0,0.029065,0.021822,0,0.231652,0,0.045565,0,0,0,0,0.036278,0,0,0.5,0.0399725902238465
0.5,0.5,0.4,0.64,0,1.1,0.289017341040463,0.4,0.316883,0,0.164681,0.081357,0,0,0,0.02043,0.016649,0,0.31992,0,0.053387,0,0,0,0,0.044236,0,0,0.5,0.0366568914956012
0.5,0.5,0.5,0.6,0,1.1,0.24390243902439,0.4,0.283419,0,0.123209,0.068777,0,0,0,0.012796,0.011799,0,0.417218,0,0.055188,0,0,0,0,0.048713,0,0,0.5,0.0324675324675325
0.5,0.5,0.6,0.56,0,1.1,0.194552529182879,0.4,0.246218,0,0.083358,0.056166,0,0,0,0.006745,0.007513,0,0.525285,0,0.04981,0,0,0,0,0.048688,0,0,0.5,0.027382256297919
0.5,0.5,0.7,0.52,0,1.1,0.143266475644699,0.4,0.202271,0,0.04767,0.043341,0,0,0,0.002685,0.004034,0,0.644196,0,0.037203,0,0,0,0,0.043087,0,0,0.499999999999999,0.0214408233276158
0.5,0.5,0.8,0.48,0,1.1,0.0924214417744916,0.4,0.148082,0,0.0197,0.03002,0,0,0,0.000626,0.001573,0,0.770242,0,0.019839,0,0,0,0,0.030952,0,0,0.499999999999999,0.0147579693034239
0.5,0.5,0.9,0.44,0,1.1,0.0441306266548985,0.4,0.080219,0,0.00383,0.015616,0,0,0,4.4e-05,0.000292,0,0.892565,0,0.004957,0,0,0,0,0.014239,0,0,0.499999999999999,0.00752558699578566
0.5,0.5,0,0.8,0,0.95,0.4,0.4,0.348138,0,0.428359,0.066945,0,0,0,0.124825,0.031733,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.95,0.383631713554987,0.4,0.318905,0,0.384921,0.058723,0,0,0,0.1101,0.027351,0,0.063559,0,0.024294,0,0,0,0,0.023114,0,0,0.5,0
0.5,0.5,0.2,0.72,0,0.95,0.359712230215827,0.4,0.290965,0,0.341223,0.050156,0,0,0,0.094908,0.022748,0,0.129437,0,0.047042,0,0,0,0,0.045853,0,0,0.5,0
0.5,0.5,0.3,0.68,0,0.95,0.328022492970947,0.4,0.26372,0,0.29724,0.041409,0,0,0,0.079534,0.018097,0,0.199039,0,0.067307,0,0,0,0,0.068041,0,0,0.5,0
0.5,0.5,0.4,0.64,0,0.95,0.289017341040463,0.4,0.236359,0,0.252987,0.032703,0,0,0,0.064344,0.013607,0,0.274101,0,0.083933,0,0,0,0,0.089543,0,0,0.5,0
0.5,0.5,0.5,0.6,0,0.95,0.24390243902439,0.4,0.207844,0,0.208593,0.024291,0,0,0,0.049778,0.009494,0,0.356741,0,0.095506,0,0,0,0,0.110346,0,0,0.5,0
0.5,0.5,0.6,0.56,0,0.95,0.194552529182879,0.4,0.177001,0,0.164302,0.016471,0,0,0,0.036269,0.005956,0,0.449613,0,0.100258,0,0,0,0,0.130587,0,0,0.5,0
0.5,0.5,0.7,0.52,0,0.95,0.143266475644699,0.4,0.142421,0,0.120591,0.009576,0,0,0,0.024261,0.003151,0,0.555964,0,0.096024,0,0,0,0,0.150743,0,0,0.499999999999999,0
0.5,0.5,0.8,0.48,0,0.95,0.0924214417744916,0.4,0.096446,0,0.085573,5e-06,0,0,0,0.017974,2e-06,0,0.667881,0,0.08808,0,0,0,0,0.199019,0,0,0.499999999999999,0
0.5,0.5,0.9,0.44,0,0.95,0.0441306266548985,0.4,0.054916,0,0.038661,2e-06,0,0,0,0.00642,1e-06,0,0.823923,0,0.050718,0,0,0,0,0.202515,0,0,0.499999999999999,0
0.5,0.5,0,0.8,0,0.9,0.4,0.4,0.313571,0,0.458679,0.04432,0,0,0,0.158585,0.024844,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.9,0.383631713554987,0.4,0.286883,0,0.413546,0.037711,0,0,0,0.140993,0.020867,0,0.060275,0,0.026483,0,0,0,0,0.027439,0,0,0.5,0
0.5,0.5,0.2,0.72,0,0.9,0.359712230215827,0.4,0.261221,0,0.368527,0.030582,0,0,0,0.12307,0.016599,0,0.122725,0,0.051517,0,0,0,0,0.054834,0,0,0.5,0
0.5,0.5,0.3,0.68,0,0.9,0.328022492970947,0.4,0.236029,0,0.323514,0.023152,0,0,0,0.105065,0.01224,0,0.188668,0,0.074221,0,0,0,0,0.082255,0,0,0.5,0
0.5,0.5,0.4,0.64,0,0.9,0.289017341040463,0.4,0.210588,0,0.27839,0.015712,0,0,0,0.087278,0.008031,0,0.259757,0,0.093495,0,0,0,0,0.10992,0,0,0.5,0
0.5,0.5,0.5,0.6,0,0.9,0.24390243902439,0.4,0.18403,0,0.233081,0.008614,0,0,0,0.07005,0.004225,0,0.338098,0,0.107935,0,0,0,0,0.138337,0,0,0.5,0
0.5,0.5,0.6,0.56,0,0.9,0.194552529182879,0.4,0.155368,0,0.187599,0.00224,0,0,0,0.053745,0.001047,0,0.426468,0,0.115688,0,0,0,0,0.168564,0,0,0.5,0
0.5,0.5,0.7,0.52,0,0.9,0.143266475644699,0.4,0.127844,0,0.137215,1.3e-05,0,0,0,0.034922,6e-06,0,0.534896,0,0.11007,0,0,0,0,0.189699,0,0,0.499999999999999,0
