"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.25,0.25,0,0.8,0,1.1,0.4,0.4,0.296065,0,0.415899,0.094703,0,0,0,0.140171,0.053162,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.25,0.25,0.1,0.76,0,1.1,0.379746835443038,0.4,0.265794,0,0.376484,0.08281,0,0,0,0.127989,0.046923,0,0.058495,0,0.02767,0,0,0,0,0.02715,0,0,0.487012987012987,0.0442739079102717
0.25,0.25,0.2,0.72,0,1.1,0.350877192982456,0.4,0.235675,0,0.337536,0.07036,0,0,0,0.11607,0.040359,0,0.118263,0,0.054492,0,0,0,0,0.056219,0,0,0.467289719626168,0.042480883602379
0.25,0.25,0.3,0.68,0,1.1,0.31390134529148,0.4,0.205998,0,0.2988,0.057616,0,0,0,0.104089,0.033497,0,0.180482,0,0.079679,0,0,0,0,0.088253,0,0,0.439698492462312,0.0399725902238465
0.25,0.25,0.4,0.64,0,1.1,0.27027027027027,0.4,0.177014,0,0.259947,0.04493,0,0,0,0.09167,0.026438,0,0.247054,0,0.101964,0,0,0,0,0.124391,0,0,0.403225806451613,0.0366568914956012
0.25,0.25,0.5,0.6,0,1.1,0.222222222222222,0.4,0.148845,0,0.220574,0.032747,0,0,0,0.078434,0.0194,0,0.320903,0,0.119398,0,0,0,0,0.165781,0,0,0.357142857142857,0.0324675324675325
0.25,0.25,0.6,0.56,0,1.1,0.172413793103448,0.4,0.12141,0,0.180178,0.02161,0,0,0,0.064048,0.012753,0,0.406357,0,0.129095,0,0,0,0,0.213356,0,0,0.301204819277108,0.027382256297919
0.25,0.25,0.7,0.52,0,1.1,0.123456790123457,0.4,0.094347,0,0.138146,0.012182,0,0,0,0.048297,0.007028,0,0.509548,0,0.126968,0,0,0,0,0.267107,0,0,0.235849056603774,0.0214408233276158
0.25,0.25,0.8,0.48,0,1.1,0.0775193798449612,0.4,0.066923,0,0.093724,0.005285,0,0,0,0.03119,0.002877,0,0.638671,0,0.107553,0,0,0,0,0.323198,0,0,0.162337662337661,0.0147579693034239
0.25,0.25,0.9,0.44,0,1.1,0.036101083032491,0.4,0.03552,0,0.048719,4e-06,0,0,0,0.015755,2e-06,0,0.797725,0,0.068183,0,0,0,0,0.400254,0,0,0.0827814569536435,0.00752558699578566
0.25,0.25,0,0.8,0,0.95,0.4,0.4,0.272836,0,0.458101,0.051519,0,0,0,0.183527,0.034017,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0,0.95,0.379746835443038,0.4,0.243677,0,0.41539,0.043012,0,0,0,0.169044,0.028876,0,0.055137,0,0.029909,0,0,0,0,0.032101,0,0,0.487012987012987,0
0.25,0.25,0.2,0.72,0,0.95,0.350877192982456,0.4,0.214304,0,0.373471,0.033635,0,0,0,0.155467,0.023123,0,0.111232,0,0.059179,0,0,0,0,0.067221,0,0,0.467289719626168,0
0.25,0.25,0.3,0.68,0,0.95,0.31390134529148,0.4,0.185028,0,0.332107,0.023649,0,0,0,0.14245,0.016766,0,0.169263,0,0.087158,0,0,0,0,0.107314,0,0,0.439698492462312,0
0.25,0.25,0.4,0.64,0,0.95,0.27027027027027,0.4,0.15613,0,0.29098,0.01342,0,0,0,0.129591,0.009878,0,0.230875,0,0.11275,0,0,0,0,0.155061,0,0,0.403225806451613,0
0.25,0.25,0.5,0.6,0,0.95,0.222222222222222,0.4,0.127756,0,0.249693,0.003414,0,0,0,0.116508,0.002628,0,0.2987,0,0.1342,0,0,0,0,0.2145,0,0,0.357142857142857,0
0.25,0.25,0.6,0.56,0,0.95,0.172413793103448,0.4,0.104249,0,0.2022,2.2e-05,0,0,0,0.093513,1.7e-05,0,0.382774,0,0.144818,0,0,0,0,0.27411,0,0,0.301204819277108,0
0.25,0.25,0.7,0.52,0,0.95,0.123456790123457,0.4,0.083469,0,0.151284,7e-06,0,0,0,0.065236,5e-06,0,0.490669,0,0.139554,0,0,0,0,0.326459,0,0,0.235849056603774,0
0.25,0.25,0.8,0.48,0,0.95,0.0775193798449612,0.4,0.061575,0,0.099961,3e-06,0,0,0,0.03846,2e-06,0,0.627287,0,0.115142,0,0,0,0,0.371575,0,0,0.162337662337661,0
0.25,0.25,0.9,0.44,0,0.95,0.036101083032491,0.4,0.035516,0,0.048723,1e-06,0,0,0,0.015759,1e-06,0,0.797716,0,0.068189,0,0,0,0,0.400324,0,0,0.0827814569536435,0
0.25,0.25,0,0.8,0,0.9,0.4,0.4,0.264394,0,0.473656,0.035247,0,0,0,0.202024,0.024679,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0,0.9,0.379746835443038,0.4,0.235673,0,0.42967,0.028035,0,0,0,0.186613,0.020009,0,0.053947,0,0.030702,0,0,0,0,0.034108,0,0,0.487012987012987,0
0.25,0.25,0.2,0.72,0,0.9,0.350877192982456,0.4,0.20661,0,0.386577,0.019836,0,0,0,0.17242,0.014556,0,0.108749,0,0.060834,0,0,0,0,0.071706,0,0,0.467289719626168,0
0.25,0.25,0.3,0.68,0,0.9,0.31390134529148,0.4,0.17753,0,0.344148,0.010905,0,0,0,0.159114,0.008303,0,0.165318,0,0.089788,0,0,0,0,0.115159,0,0,0.439698492462312,0
0.25,0.25,0.4,0.64,0,0.9,0.27027027027027,0.4,0.148821,0,0.301921,0.001763,0,0,0,0.146091,0.001405,0,0.22529,0,0.116473,0,0,0,0,0.167701,0,0,0.403225806451613,0
0.25,0.25,0.5,0.6,0,0.9,0.222222222222222,0.4,0.125446,0,0.252887,2e-05,0,0,0,0.121632,1.6e-05,0,0.296288,0,0.135808,0,0,0,0,0.220762,0,0,0.357142857142857,0
0.25,0.25,0.6,0.56,0,0.9,0.172413793103448,0.4,0.104232,0,0.202213,9e-06,0,0,0,0.09354,7e-06,0,0.382755,0,0.14483,0,0,0,0,0.27417,0,0,0.301204819277108,0
0.25,0.25,0.7,0.52,0,0.9,0.123456790123457,0.4,0.083466,0,0.151287,4e-06,0,0,0,0.065241,3e-06,0,0.490664,0,0.139557,0,0,0,0,0.326477,0,0,0.235849056603774,0
0.25,0.25,0.8,0.48,0,0.9,0.0775193798449612,0.4,0.061571,0,0.099963,1e-06,0,0,0,0.038464,1e-06,0,0.627282,0,0.115145,0,0,0,0,0.371605,0,0,0.162337662337661,0
0.25,0.25,0.9,0.44,0,0.9,0.036101083032491,0.4,0.035515,0,0.048724,1e-06,0,0,0,0.01576,1e-06,0,0.797714,0,0.068191,0,0,0,0,0.400341,0,0,0.0827814569536435,0
0.25,0.25,0,0.8,0.05,1.1,0.4,0.4,0.260559,0.008003,0.441948,0.063224,0,0.005333,0,0.178801,0.042131,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.25,0.25,0.1,0.76,0.05,1.1,0.379746835443038,0.4,0.234356,0.006938,0.399619,0.05492,0,0.004657,0,0.162646,0.036863,0,0.055157,0,0.029896,0,0,0,0,0.032107,0,0,0.487012987012987,0.0442739079102717
0.25,0.25,0.2,0.72,0.05,1.1,0.350877192982456,0.4,0.208439,0.005812,0.357768,0.046121,0,0.003936,0,0.14669,0.031233,0,0.111885,0,0.058743,0,0,0,0,0.066287,0,0,0.467289719626168,0.042480883602379
0.25,0.25,0.3,0.68,0.05,1.1,0.31390134529148,0.4,0.183036,0.004654,0.316222,0.037019,0,0.003179,0,0.130602,0.025288,0,0.171528,0,0.085648,0,0,0,0,0.1036,0,0,0.439698492462312,0.0399725902238465
0.25,0.25,0.4,0.64,0.05,1.1,0.27027027027027,0.4,0.158286,0.003499,0.274723,0.027891,0,0.002404,0,0.114033,0.019163,0,0.236141,0,0.109239,0,0,0,0,0.145155,0,0,0.403225806451613,0.0366568914956012
0.25,0.25,0.5,0.6,0.05,1.1,0.222222222222222,0.4,0.13416,0.002398,0.232897,0.019109,0,0.001647,0,0.096666,0.013122,0,0.308774,0,0.127484,0,0,0,0,0.192061,0,0,0.357142857142857,0.0324675324675325
0.25,0.25,0.6,0.56,0.05,1.1,0.172413793103448,0.4,0.110426,0.001404,0.190233,0.011157,0,0.000953,0,0.078252,0.007574,0,0.393822,0,0.137452,0,0,0,0,0.245279,0,0,0.301204819277108,0.027382256297919
0.25,0.25,0.7,0.52,0.05,1.1,0.123456790123457,0.4,0.086576,0.000585,0.146089,0.004619,0,0.000386,0,0.058697,0.003047,0,0.497428,0,0.135048,0,0,0,0,0.305179,0,0,0.235849056603774,0.0214408233276158
0.25,0.25,0.8,0.48,0.05,1.1,0.0775193798449612,0.4,0.06161,7e-06,0.099904,4.9e-05,0,4e-06,0,0.038395,3.1e-05,0,0.627384,0,0.115077,0,0,0,0,0.371174,0,0,0.162337662337661,0.0147579693034239
0.25,0.25,0.9,0.44,0.05,1.1,0.036101083032491,0.4,0.035514,1e-06,0.048723,1e-06,0,1e-06,0,0.01576,1e-06,0,0.797715,0,0.06819,0,0,0,0,0.400346,0,0,0.0827814569536435,0.00752558699578566
0.25,0.25,0,0.8,0.05,0.95,0.4,0.4,0.253056,0.003565,0.476942,0.028961,0,0.002613,0,0.213633,0.021228,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0.05,0.95,0.379746835443038,0.4,0.22678,0.002875,0.431805,0.023437,0,0.002134,0,0.19557,0.017397,0,0.053198,0,0.031201,0,0,0,0,0.035468,0,0,0.487012987012987,0
0.25,0.25,0.2,0.72,0.05,0.95,0.350877192982456,0.4,0.200534,0.002097,0.387399,0.017192,0,0.001584,0,0.178207,0.012986,0,0.107689,0,0.061541,0,0,0,0,0.073815,0,0,0.467289719626168,0
0.25,0.25,0.3,0.68,0.05,0.95,0.31390134529148,0.4,0.174553,0.001261,0.343573,0.010409,0,0.000973,0,0.161196,0.008034,0,0.164625,0,0.09025,0,0,0,0,0.116769,0,0,0.439698492462312,0
0.25,0.25,0.4,0.64,0.05,0.95,0.27027027027027,0.4,0.149018,0.000417,0.299994,0.003455,0,0.00033,0,0.144054,0.002733,0,0.225856,0,0.116096,0,0,0,0,0.166504,0,0,0.403225806451613,0
0.25,0.25,0.5,0.6,0.05,0.95,0.222222222222222,0.4,0.125448,6e-06,0.252864,3.9e-05,0,5e-06,0,0.121608,3.1e-05,0,0.296298,0,0.135801,0,0,0,0,0.22074,0,0,0.357142857142857,0
0.25,0.25,0.6,0.56,0.05,0.95,0.172413793103448,0.4,0.104239,2e-06,0.202207,1.3e-05,0,2e-06,0,0.093528,1e-05,0,0.382764,0,0.144824,0,0,0,0,0.274143,0,0,0.301204819277108,0
0.25,0.25,0.7,0.52,0.05,0.95,0.123456790123457,0.4,0.083466,1e-06,0.151286,4e-06,0,1e-06,0,0.06524,3e-06,0,0.490665,0,0.139557,0,0,0,0,0.326474,0,0,0.235849056603774,0
0.25,0.25,0.8,0.48,0.05,0.95,0.0775193798449612,0.4,0.061569,1e-06,0.099963,1e-06,0,1e-06,0,0.038465,1e-06,0,0.627281,0,0.115146,0,0,0,0,0.371615,0,0,0.162337662337661,0
0.25,0.25,0.9,0.44,0.05,0.95,0.036101083032491,0.4,0.035515,0,0.048724,1e-06,0,0,0,0.01576,1e-06,0,0.797714,0,0.068191,0,0,0,0,0.400341,0,0,0.0827814569536435,0
0.25,0.25,0,0.8,0.05,0.9,0.4,0.4,0.250102,0.001902,0.490644,0.015616,0,0.001445,0,0.228423,0.011867,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0.05,0.9,0.379746835443038,0.4,0.223813,0.001354,0.444391,0.01118,0,0.001044,0,0.209595,0.008621,0,0.052468,0,0.031688,0,0,0,0,0.036833,0,0,0.487012987012987,0
0.25,0.25,0.2,0.72,0.05,0.9,0.350877192982456,0.4,0.197456,0.000713,0.398971,0.005922,0,0.000561,0,0.191714,0.004662,0,0.106126,0,0.062583,0,0,0,0,0.07689,0,0,0.467289719626168,0
0.25,0.25,0.3,0.68,0.05,0.9,0.31390134529148,0.4,0.171422,5.9e-05,0.353759,0.000492,0,4.8e-05,0,0.173824,0.000397,0,0.162171,0,0.091886,0,0,0,0,0.121948,0,0,0.439698492462312,0
0.25,0.25,0.4,0.64,0.05,0.9,0.27027027027027,0.4,0.147741,4e-06,0.303524,2.6e-05,0,3e-06,0,0.148682,2.1e-05,0,0.224473,0,0.117018,0,0,0,0,0.16966,0,0,0.403225806451613,0
0.25,0.25,0.5,0.6,0.05,0.9,0.222222222222222,0.4,0.125434,2e-06,0.252895,1e-05,0,2e-06,0,0.121651,8e-06,0,0.296279,0,0.135814,0,0,0,0,0.220788,0,0,0.357142857142857,0
0.25,0.25,0.6,0.56,0.05,0.9,0.172413793103448,0.4,0.104228,1e-06,0.202216,5e-06,0,1e-06,0,0.093546,4e-06,0,0.382751,0,0.144833,0,0,0,0,0.274183,0,0,0.301204819277108,0
0.25,0.25,0.7,0.52,0.05,0.9,0.123456790123457,0.4,0.083466,1e-06,0.151286,4e-06,0,1e-06,0,0.06524,3e-06,0,0.490665,0,0.139557,0,0,0,0,0.326474,0,0,0.235849056603774,0
0.25,0.25,0.8,0.48,0.05,0.9,0.0775193798449612,0.4,0.061569,1e-06,0.099963,1e-06,0,1e-06,0,0.038465,1e-06,0,0.627281,0,0.115146,0,0,0,0,0.371615,0,0,0.162337662337661,0
0.25,0.25,0.9,0.44,0.05,0.9,0.036101083032491,0.4,0.035515,0,0.048724,1e-06,0,0,0,0.01576,1e-06,0,0.797714,0,0.068191,0,0,0,0,0.400341,0,0,0.0827814569536435,0
0.25,0.25,0,0.8,0.1,1.1,0.4,0.4,0.245739,0.011398,0.455063,0.045995,0,0.008223,0,0.200399,0.033182,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
