"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.1,0.1,0.44649409,0,2.362e-05,0.45326599,0,0,0,0,1.176e-05,0.10020454,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.657142857142857,0,1.1,0.0932504440497336,0.1,0.41201244,0,2.463e-05,0.40261238,0,0,0,0,1.181e-05,0.08533875,0.06442867,0,1.46e-06,0.02371185,0,0,0,1.1e-06,6.6e-07,0.01185626,0.5,0.0437864887406172
0.5,0.5,0.2,0.577777777777778,0,1.1,0.0832947709393799,0.1,0.38117856,0,2.455e-05,0.3497233,0,0,0,0,1.105e-05,0.06906254,0.13297253,0,3.15e-06,0.04467986,0,0,0,2.5e-06,1.35e-06,0.02234061,0.5,0.0411146642302422
0.5,0.5,0.3,0.527272727272727,0,1.1,0.072205551387847,0.1,0.3505246,0,2.644e-05,0.29622377,0,0,0,0,1.096e-05,0.05321424,0.20740454,0,5.53e-06,0.0617213,0,0,0,4.68e-06,2.2e-06,0.03086175,0.500000000000001,0.0377969762419008
0.5,0.5,0.4,0.492307692307692,0,1.1,0.0608614232209738,0.1,0.31823772,0,3.026e-05,0.24302847,0,0,0,0,1.133e-05,0.03869223,0.28929378,0,9.22e-06,0.07378901,0,0,0,8.48e-06,3.33e-06,0.03689617,0.500000000000002,0.0339602925809822
0.5,0.5,0.5,0.466666666666667,0,1.1,0.0496688741721854,0.1,0.28287549,0,3.181e-05,0.19100684,0,0,0,0,1.051e-05,0.02607534,0.38025678,0,1.334e-05,0.07980652,0,0,0,1.368e-05,4.27e-06,0.0399054,0.499999999999999,0.0296442687747036
0.5,0.5,0.6,0.447058823529412,0,1.1,0.0388216487782599,0.1,0.24288701,0,3.359e-05,0.14127357,0,0,0,0,9.54e-06,0.01579628,0.48187399,0,1.878e-05,0.07871806,0,0,0,2.234e-05,5.2e-06,0.03936163,0.499999999999996,0.0248465361005554
0.5,0.5,0.7,0.431578947368421,0,1.1,0.0284090909090909,0.1,0.1964457,0,2.792e-05,0.09537175,0,0,0,0,6.6e-06,0.00814803,0.59534311,0,2.048e-05,0.06973283,0,0,0,3.004e-05,4.75e-06,0.03486879,0.500000000000001,0.0195392842451666
0.5,0.5,0.8,0.419047619047619,0,1.1,0.0184664087231797,0.1,0.14151176,0,2.393e-05,0.05526353,0,0,0,0,4.53e-06,0.00319625,0.72080346,0,2.29e-05,0.05274713,0,0,0,4.653e-05,4.27e-06,0.0263757,0.499999999999992,0.0136754363115395
0.5,0.5,0.9,0.408695652173913,0,1.1,0.00899984348098294,0.1,0.07630537,0,1.984e-05,0.02299537,0,0,0,0,2.87e-06,0.00067654,0.85670426,0,2.488e-05,0.02878142,0,0,0,9.337e-05,3.58e-06,0.0143925,0.500000000000007,0.00719019632362135
0.5,0.5,0,0.8,0,0.975,0.1,0.1,0.55859539,0,6.081e-05,0.38141607,0,0,0,0,2.045e-05,0.05990729,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.657142857142857,0,0.975,0.0932504440497336,0.1,0.51624291,0,6.511e-05,0.33406622,0,0,0,0,2.075e-05,0.04960501,0.07186502,0,3.66e-06,0.01875145,0,0,0,2.47e-06,1.11e-06,0.00937628,0.5,0
0.5,0.5,0.2,0.577777777777778,0,0.975,0.0832947709393799,0.1,0.47852881,0,7.045e-05,0.28313718,0,0,0,0,2.053e-05,0.03824303,0.1482013,0,8.6e-06,0.03452029,0,0,0,6.07e-06,2.39e-06,0.01726134,0.5,0
0.5,0.5,0.3,0.527272727272727,0,0.975,0.072205551387847,0.1,0.44063315,0,7.728e-05,0.23170502,0,0,0,0,2.001e-05,0.02756454,0.23073482,0,1.542e-05,0.04615499,0,0,0,1.154e-05,3.83e-06,0.02307941,0.500000000000001,0
