"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.25,0.25,0,0.8,0,1.1,0.4,0.4,0.24593115,0.00070569,0.50599895,0,5.1e-07,0.00072586,0,0.24663784,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.25,0.25,0.1,0.657142857142857,0,1.1,0.371681415929204,0.4,0.21637132,1.617e-05,0.45569329,0,0,1.696e-05,0,0.22790225,0,0,0.04189227,1.04e-06,0.02626814,0,1.01e-06,9.8e-07,0,0.03183656,0,0,0.481651376146789,0
0.25,0.25,0.2,0.577777777777778,0,1.1,0.330275229357798,0.4,0.18453271,5.07e-06,0.40437228,0,0,5.5e-06,0,0.21108444,0,0,0.0822972,7.1e-07,0.05071588,0,7.1e-07,7e-07,0,0.0669848,0,0,0.452261306532664,0
0.25,0.25,0.3,0.527272727272727,0,1.1,0.284658040665434,0.4,0.15304297,1.54e-06,0.35272329,0,0,1.75e-06,0,0.19423044,0,0,0.12088142,3.6e-07,0.07240067,0,3.7e-07,3.8e-07,0,0.10671681,0,0,0.415766738660907,0
0.25,0.25,0.4,0.492307692307692,0,1.1,0.238532110091743,0.4,0.1226618,5e-08,0.30073827,0,0,6e-08,0,0.17659982,0,0,0.15740537,2e-08,0.09030117,0,2e-08,2e-08,0,0.1522934,0,0,0.373563218390805,0
0.25,0.25,0.5,0.466666666666667,0,1.1,0.193548387096774,0.4,0.09375254,2e-08,0.24837753,0,0,2e-08,0,0.15786989,0,0,0.19135204,1e-08,0.10306424,0,1e-08,1e-08,0,0.20558369,0,0,0.326086956521739,0
0.25,0.25,0.6,0.447058823529412,0,1.1,0.150442477876106,0.4,0.06662833,1e-08,0.19555969,0,0,1e-08,0,0.13781196,0,0,0.22144297,1e-08,0.10872052,0,1e-08,1e-08,0,0.26983648,0,0,0.273311897106109,0
0.25,0.25,0.7,0.431578947368421,0,1.1,0.109510086455331,0.4,0.04178535,1e-08,0.14215525,0,0,1e-08,0,0.11605939,0,0,0.24443345,1e-08,0.10422605,0,1e-08,1e-08,0,0.35134047,0,0,0.214932126696833,0
0.25,0.25,0.8,0.419047619047619,0,1.1,0.0708263069139966,0.4,0.02030187,0,0.0881219,0,0,0,0,0.09157623,0,0,0.25133532,0,0.08476265,0,0,0,0,0.46390203,0,0,0.150429799426934,0
0.25,0.25,0.9,0.408695652173913,0,1.1,0.0343539955190441,0.4,0.00479317,0,0.03486156,0,0,0,0,0.06034527,0,0,0.21234055,0,0.04409656,0,0,0,0,0.64356289,0,0,0.0790921595598326,0
0.25,0.25,0,0.8,0,0.95,0.4,0.4,0.24601275,0.0006241,0.50608298,0,4e-07,0.00064185,0,0.24663792,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.657142857142857,0,0.95,0.371681415929204,0.4,0.21637378,1.368e-05,0.45569591,0,0,1.435e-05,0,0.22790229,0,0,0.04189258,8.8e-07,0.02626829,0,8.5e-07,8.3e-07,0,0.03183656,0,0,0.481651376146789,0
0.25,0.25,0.2,0.577777777777778,0,0.95,0.330275229357798,0.4,0.18453324,4.49e-06,0.40437291,0,0,4.87e-06,0,0.21108448,0,0,0.08229735,6.3e-07,0.05071595,0,6.3e-07,6.2e-07,0,0.06698481,0,0,0.452261306532664,0
0.25,0.25,0.3,0.527272727272727,0,0.95,0.284658040665434,0.4,0.15304316,1.33e-06,0.35272353,0,0,1.51e-06,0,0.19423047,0,0,0.12088151,3.1e-07,0.07240072,0,3.2e-07,3.2e-07,0,0.10671682,0,0,0.415766738660907,0
0.25,0.25,0.4,0.492307692307692,0,0.95,0.238532110091743,0.4,0.1226619,5e-08,0.30073829,0,0,6e-08,0,0.1765997,0,0,0.15740545,2e-08,0.09030117,0,2e-08,2e-08,0,0.15229333,0,0,0.373563218390805,0
0.25,0.25,0.5,0.466666666666667,0,0.95,0.193548387096774,0.4,0.09375255,2e-08,0.24837753,0,0,2e-08,0,0.15786989,0,0,0.19135205,1e-08,0.10306424,0,1e-08,1e-08,0,0.20558368,0,0,0.326086956521739,0
0.25,0.25,0.6,0.447058823529412,0,0.95,0.150442477876106,0.4,0.06662833,1e-08,0.19555969,0,0,1e-08,0,0.13781196,0,0,0.22144297,1e-08,0.10872052,0,1e-08,1e-08,0,0.26983648,0,0,0.273311897106109,0
0.25,0.25,0.7,0.431578947368421,0,0.95,0.109510086455331,0.4,0.04178535,1e-08,0.14215525,0,0,1e-08,0,0.11605939,0,0,0.24443345,1e-08,0.10422605,0,1e-08,1e-08,0,0.35134047,0,0,0.214932126696833,0
0.25,0.25,0.8,0.419047619047619,0,0.95,0.0708263069139966,0.4,0.02030187,0,0.0881219,0,0,0,0,0.09157623,0,0,0.25133532,0,0.08476265,0,0,0,0,0.46390203,0,0,0.150429799426934,0
0.25,0.25,0.9,0.408695652173913,0,0.95,0.0343539955190441,0.4,0.00479317,0,0.03486156,0,0,0,0,0.06034527,0,0,0.21234055,0,0.04409656,0,0,0,0,0.64356289,0,0,0.0790921595598326,0
0.25,0.25,0,0.8,0,0.9,0.4,0.4,0.2460209,0.00061592,0.5060914,0,3.9e-07,0.00063343,0,0.24663797,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.657142857142857,0,0.9,0.371681415929204,0.4,0.21637444,1.302e-05,0.4556966,0,0,1.366e-05,0,0.22790228,0,0,0.04189267,8.3e-07,0.02626833,0,8.1e-07,7.9e-07,0,0.03183656,0,0,0.481651376146789,0
0.25,0.25,0.2,0.577777777777778,0,0.9,0.330275229357798,0.4,0.18453393,3.85e-06,0.40437361,0,0,4.18e-06,0,0.21108443,0,0,0.08229755,5.4e-07,0.05071604,0,5.4e-07,5.4e-07,0,0.06698479,0,0,0.452261306532664,0
0.25,0.25,0.3,0.527272727272727,0,0.9,0.284658040665434,0.4,0.15304331,1.21e-06,0.35272367,0,0,1.37e-06,0,0.19423043,0,0,0.12088159,2.8e-07,0.07240074,0,2.9e-07,2.9e-07,0,0.1067168,0,0,0.415766738660907,0
0.25,0.25,0.4,0.492307692307692,0,0.9,0.238532110091743,0.4,0.12266194,5e-08,0.3007383,0,0,6e-08,0,0.17659966,0,0,0.15740547,2e-08,0.09030117,0,2e-08,2e-08,0,0.1522933,0,0,0.373563218390805,0
0.25,0.25,0.5,0.466666666666667,0,0.9,0.193548387096774,0.4,0.09375255,2e-08,0.24837753,0,0,2e-08,0,0.15786989,0,0,0.19135205,1e-08,0.10306424,0,1e-08,1e-08,0,0.20558368,0,0,0.326086956521739,0
