"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.1,0.1,0.44649426,0,2.342e-05,0.45326611,0,0,0,0,1.166e-05,0.10020455,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.05,0.78,0,1.1,0.0978473581213307,0.1,0.42748967,0,2.385e-05,0.42888212,0,0,0,0,1.174e-05,0.09359263,0.03178258,0,6.8e-07,0.01214384,0,0,0,5e-07,3.2e-07,0.00607208,0.499999999999999,0.0449342540913822
0.5,0.5,0.1,0.76,0,1.1,0.0951776649746193,0.1,0.40901603,0,2.4e-05,0.40419957,0,0,0,0,1.164e-05,0.08674877,0.06406047,0,1.43e-06,0.02395736,0,0,0,1.07e-06,6.6e-07,0.01197901,0.499999999999999,0.0442739079102717
0.5,0.5,0.15,0.74,0,1.1,0.0919813872957472,0.1,0.39102602,0,2.465e-05,0.37922814,0,0,0,0,1.173e-05,0.07970947,0.09701408,0,2.31e-06,0.0353202,0,0,0,1.75e-06,1.04e-06,0.01766062,0.5,0.0434604765313426
0.5,0.5,0.2,0.72,0,1.1,0.088261253309797,0.1,0.37346157,0,2.37e-05,0.35398332,0,0,0,0,1.102e-05,0.0725204,0.13085142,0,3.1e-06,0.04609402,0,0,0,2.4e-06,1.37e-06,0.0230477,0.500000000000001,0.042480883602379
0.5,0.5,0.25,0.7,0,1.1,0.0840336134453782,0.1,0.35624359,0,2.531e-05,0.32848303,0,0,0,0,1.145e-05,0.06523662,0.16580917,0,4.34e-06,0.05612017,0,0,0,3.43e-06,1.87e-06,0.02806102,0.500000000000001,0.0413223140495869
0.5,0.5,0.3,0.68,0,1.1,0.0793291024478695,0.1,0.33928103,0,2.603e-05,0.30275767,0,0,0,0,1.139e-05,0.05792388,0.20215777,0,5.63e-06,0.065219,0,0,0,4.56e-06,2.36e-06,0.03261068,0.500000000000001,0.0399725902238465
0.5,0.5,0.35,0.66,0,1.1,0.0741924437849561,0.1,0.32245659,0,2.665e-05,0.27684708,0,0,0,0,1.122e-05,0.05065846,0.2402004,0,7.07e-06,0.07318822,0,0,0,5.91e-06,2.86e-06,0.03659554,0.5,0.0384206170942193
0.5,0.5,0.4,0.64,0,1.1,0.0686813186813187,0.1,0.30562515,0,2.849e-05,0.25080754,0,0,0,0,1.146e-05,0.04352735,0.28027268,0,9.1e-06,0.07980338,0,0,0,7.88e-06,3.52e-06,0.03990345,0.5,0.0366568914956012
0.5,0.5,0.45,0.62,0,1.1,0.0628643273516973,0.1,0.2886106,0,2.944e-05,0.22472059,0,0,0,0,1.124e-05,0.03662813,0.3227404,0,1.116e-05,0.08482147,0,0,0,1.009e-05,4.1e-06,0.04241279,0.500000000000001,0.0346740638002776
0.5,0.5,0.5,0.6,0,1.1,0.0568181818181818,0.1,0.27119289,0,3.049e-05,0.19869855,0,0,0,0,1.094e-05,0.03006713,0.36798594,0,1.355e-05,0.08798703,0,0,0,1.291e-05,4.7e-06,0.04399587,0.5,0.0324675324675325
0.5,0.5,0.55,0.58,0,1.1,0.05062436719541,0.1,0.25310262,0,3.245e-05,0.17289739,0,0,0,0,1.085e-05,0.02395669,0.41638884,0,1.678e-05,0.08904614,0,0,0,1.702e-05,5.44e-06,0.04452579,0.499999999999999,0.0300360432519023
0.5,0.5,0.6,0.56,0,1.1,0.0443655723158829,0.1,0.23402047,0,2.961e-05,0.14753092,0,0,0,0,9.13e-06,0.01840986,0.46829958,0,1.768e-05,0.08777028,0,0,0,1.937e-05,5.3e-06,0.04388779,0.5,0.027382256297919
0.5,0.5,0.65,0.54,0,1.1,0.0381222089097048,0.1,0.21356038,0,2.744e-05,0.12287322,0,0,0,0,7.71e-06,0.01353125,0.52397242,0,1.883e-05,0.08398558,0,0,0,2.264e-05,5.15e-06,0.04199537,0.499999999999998,0.0245132371480599
0.5,0.5,0.7,0.52,0,1.1,0.0319693094629156,0.1,0.19129456,0,2.558e-05,0.09926784,0,0,0,0,6.47e-06,0.00940555,0.5835176,0,2.007e-05,0.07761851,0,0,0,2.711e-05,4.97e-06,0.03881174,0.500000000000001,0.0214408233276158
0.5,0.5,0.75,0.5,0,1.1,0.025974025974026,0.1,0.16677488,0,2.466e-05,0.07711165,0,0,0,0,5.55e-06,0.00608325,0.64682869,0,2.206e-05,0.0687383,0,0,0,3.45e-05,4.87e-06,0.03437158,0.499999999999996,0.0181818181818182
0.5,0.5,0.8,0.48,0,1.1,0.0201938610662359,0.1,0.13958511,0,2.203e-05,0.05682045,0,0,0,0,4.35e-06,0.00356807,0.71354613,0,2.239e-05,0.05758838,0,0,0,4.238e-05,4.35e-06,0.02879637,0.499999999999999,0.0147579693034239
0.5,0.5,0.85,0.46,0,1.1,0.0146756677428823,0.1,0.10939576,0,2.015e-05,0.03876954,0,0,0,0,3.45e-06,0.0018111,0.78303996,0,2.323e-05,0.04458262,0,0,0,5.698e-05,3.93e-06,0.02229328,0.499999999999996,0.0111957008508733
0.5,0.5,0.9,0.44,0,1.1,0.0094553706505295,0.1,0.07603064,0,1.909e-05,0.02323104,0,0,0,0,2.8e-06,0.00071643,0.85448644,0,2.491e-05,0.03026249,0,0,0,8.947e-05,3.63e-06,0.01513306,0.499999999999998,0.00752558699578566
0.5,0.5,0,0.8,0,0.975,0.1,0.1,0.55859539,0,6.081e-05,0.38141607,0,0,0,0,2.045e-05,0.05990728,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.05,0.78,0,0.975,0.0978473581213307,0.1,0.53508796,0,6.038e-05,0.35935652,0,0,0,0,1.997e-05,0.05547516,0.03545762,0,1.63e-06,0.0096926,0,0,0,1.08e-06,5.1e-07,0.00484655,0.499999999999999,0
0.5,0.5,0.1,0.76,0,0.975,0.0951776649746193,0.1,0.51227142,0,6.38e-05,0.33679513,0,0,0,0,2.066e-05,0.05084898,0.07146069,0,3.61e-06,0.01902108,0,0,0,2.42e-06,1.11e-06,0.00951109,0.499999999999999,0
0.5,0.5,0.15,0.74,0,0.975,0.0919813872957472,0.1,0.49008112,0,6.299e-05,0.31376575,0,0,0,0,1.986e-05,0.04607027,0.10820411,0,5.6e-06,0.02785598,0,0,0,3.8e-06,1.68e-06,0.01392883,0.5,0
0.5,0.5,0.2,0.72,0,0.975,0.088261253309797,0.1,0.46841886,0,6.553e-05,0.29030635,0,0,0,0,2e-05,0.04118926,0.14590677,0,8.15e-06,0.0360506,0,0,0,5.62e-06,2.37e-06,0.01802649,0.500000000000001,0
0.5,0.5,0.25,0.7,0,0.975,0.0840336134453782,0.1,0.4471681,0,7.071e-05,0.26647389,0,0,0,0,2.075e-05,0.03626655,0.1848132,0,1.154e-05,0.04344153,0,0,0,8.11e-06,3.23e-06,0.02172238,0.500000000000001,0
0.5,0.5,0.3,0.68,0,0.975,0.0793291024478695,0.1,0.42618501,0,7.44e-05,0.24234706,0,0,0,0,2.084e-05,0.0313727,0.22519248,0,1.533e-05,0.04985001,0,0,0,1.102e-05,4.1e-06,0.02492706,0.500000000000001,0
0.5,0.5,0.35,0.66,0,0.975,0.0741924437849561,0.1,0.40528661,0,7.613e-05,0.21803001,0,0,0,0,2.017e-05,0.02658708,0.26733176,0,1.926e-05,0.05508493,0,0,0,1.425e-05,4.89e-06,0.02754491,0.5,0
0.5,0.5,0.4,0.64,0,0.975,0.0686813186813187,0.1,0.38423278,0,9.17e-05,0.19365687,0,0,0,1e-08,2.275e-05,0.02199589,0.31151872,0,2.795e-05,0.05894796,0,0,0,2.139e-05,6.66e-06,0.02947731,0.5,0
0.5,0.5,0.45,0.62,0,0.975,0.0628643273516973,0.1,0.36276596,0,9.539e-05,0.1694253,0,0,0,1e-08,2.192e-05,0.01769143,0.35804815,0,3.453e-05,0.06125222,0,0,0,2.754e-05,7.64e-06,0.03062993,0.500000000000001,0
0.5,0.5,0.5,0.6,0,0.975,0.0568181818181818,0.1,0.34053905,0,1e-04,0.14557606,0,0,0,1e-08,2.102e-05,0.01376386,0.40715947,0,4.252e-05,0.06183293,0,0,0,3.565e-05,8.64e-06,0.03092079,0.5,0
0.5,0.5,0.55,0.58,0,0.975,0.05062436719541,0.1,0.3171544,0,0.0001078,0.12242142,0,0,0,1e-08,2.045e-05,0.01029592,0.45901361,0,5.341e-05,0.06058045,0,0,0,4.758e-05,9.81e-06,0.03029513,0.499999999999999,0
0.5,0.5,0.6,0.56,0,0.975,0.0443655723158829,0.1,0.29216957,0,0.00011607,0.10034206,0,0,0,1e-08,1.957e-05,0.00735273,0.51364121,0,6.655e-05,0.05747465,0,0,0,6.39e-05,1.091e-05,0.02874278,0.5,0
0.5,0.5,0.65,0.54,0,0.975,0.0381222089097048,0.1,0.26511786,0,0.00012764,0.07976531,0,0,0,2e-08,1.883e-05,0.00497035,0.5708818,0,8.428e-05,0.05261798,0,0,0,8.878e-05,1.212e-05,0.02631505,0.499999999999998,0
0.5,0.5,0.7,0.52,0,0.975,0.0319693094629156,0.1,0.23558677,0,0.00012062,0.06113016,0,0,0,2e-08,1.531e-05,0.00314713,0.63039086,0,9.136e-05,0.0462618,0,0,0,0.00010806,1.134e-05,0.02313657,0.500000000000001,0
0.5,0.5,0.75,0.5,0,0.975,0.025974025974026,0.1,0.20322992,0,0.00011536,0.04480274,0,0,0,2e-08,1.241e-05,0.00183955,0.69156986,0,9.994e-05,0.03878492,0,0,0,0.00013699,1.055e-05,0.01939774,0.499999999999996,0
0.5,0.5,0.8,0.48,0,0.975,0.0201938610662359,0.1,0.16788596,0,0.00011245,0.03102146,0,0,0,2e-08,1.011e-05,0.00097001,0.75370502,0,0.0001112,0.03065619,0,0,0,0.00018473,9.84e-06,0.01533302,0.499999999999999,0
0.5,0.5,0.85,0.46,0,0.975,0.0146756677428823,0.1,0.12958961,0,0.00011806,0.01984186,0,0,0,3e-08,8.76e-06,0.00044169,0.81603377,0,0.00013308,0.02235424,0,0,0,0.00028716,9.76e-06,0.011182,0.499999999999996,0
0.5,0.5,0.9,0.44,0,0.975,0.0094553706505295,0.1,0.08858417,0,0.00011367,0.01113836,0,0,0,4e-08,6.88e-06,0.00015687,0.8779336,0,0.00014596,0.01429654,0,0,0,0.00046247,8.78e-06,0.00715266,0.499999999999998,0
0.5,0.5,0,0.8,0,0.95,0.1,0.1,0.58795142,0,9.021e-05,0.36052393,0,0,0,0,2.727e-05,0.05140717,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.05,0.78,0,0.95,0.0978473581213307,0.1,0.56332293,0,8.924e-05,0.33911742,0,0,0,0,2.649e-05,0.04744392,0.03641513,0,2.39e-06,0.00905329,0,0,0,1.55e-06,6.7e-07,0.00452698,0.499999999999999,0
0.5,0.5,0.1,0.76,0,0.95,0.0951776649746193,0.1,0.53942625,0,0.00010683,0.31713997,0,0,0,1e-08,3.097e-05,0.04329598,0.07339409,0,5.98e-06,0.01772904,0,0,0,3.91e-06,1.65e-06,0.00886534,0.499999999999999,0
0.5,0.5,0.15,0.74,0,0.95,0.0919813872957472,0.1,0.51621008,0,0.00010819,0.29464362,0,0,0,1e-08,3.045e-05,0.03900766,0.1111389,0,9.52e-06,0.02589431,0,0,0,6.3e-06,2.55e-06,0.01294843,0.5,0
0.5,0.5,0.2,0.72,0,0.95,0.088261253309797,0.1,0.49355731,0,0.00011243,0.27166978,0,0,0,1e-08,3.051e-05,0.03462996,0.14987358,0,1.383e-05,0.03339861,0,0,0,9.3e-06,3.58e-06,0.0167011,0.500000000000001,0
0.5,0.5,0.25,0.7,0,0.95,0.0840336134453782,0.1,0.47133423,0,0.0001232,0.24828575,0,0,0,1e-08,3.2e-05,0.03022481,0.1898459,0,1.99e-05,0.04007545,0,0,0,1.363e-05,4.93e-06,0.02004019,0.500000000000001,0
0.5,0.5,0.3,0.68,0,0.95,0.0793291024478695,0.1,0.44938875,0,0.0001243,0.22459169,0,0,0,1e-08,3.063e-05,0.02586463,0.23132911,0,2.534e-05,0.0457459,0,0,0,1.774e-05,5.97e-06,0.02287594,0.500000000000001,0
0.5,0.5,0.35,0.66,0,0.95,0.0741924437849561,0.1,0.42750336,0,0.00012896,0.20070884,0,0,0,1e-08,2.984e-05,0.02162898,0.27460308,0,3.229e-05,0.05022043,0,0,0,2.324e-05,7.16e-06,0.0251138,0.5,0
0.5,0.5,0.4,0.64,0,0.95,0.0686813186813187,0.1,0.40540516,0,0.00015618,0.17680136,0,0,0,2e-08,3.356e-05,0.01760372,0.31994002,0,4.713e-05,0.0533088,0,0,0,3.507e-05,9.73e-06,0.02665926,0.5,0
0.5,0.5,0.45,0.62,0,0.95,0.0628643273516973,0.1,0.38280497,0,0.00017199,0.15310999,0,0,0,2e-08,3.388e-05,0.01387915,0.36760864,0,6.165e-05,0.05484293,0,0,0,4.777e-05,1.17e-05,0.02742731,0.500000000000001,0
0.5,0.5,0.5,0.6,0,0.95,0.0568181818181818,0.1,0.3593073,0,0.00019413,0.12992422,0,0,0,3e-08,3.456e-05,0.01053976,0.4177953,0,8.177e-05,0.05469018,0,0,0,6.657e-05,1.406e-05,0.02735212,0.5,0
0.5,0.5,0.55,0.58,0,0.95,0.05062436719541,0.1,0.33446601,0,0.00022638,0.10761362,0,0,0,4e-08,3.583e-05,0.00765813,0.47057865,0,0.00011112,0.05279238,0,0,0,9.611e-05,1.704e-05,0.02640471,0.499999999999999,0
0.5,0.5,0.6,0.56,0,0.95,0.0443655723158829,0.1,0.30781311,0,0.00024839,0.0866202,0,0,0,5e-08,3.435e-05,0.0052839,0.52589116,0,0.00014117,0.04920511,0,0,0,0.00013156,1.897e-05,0.02461204,0.5,0
0.5,0.5,0.65,0.54,0,0.95,0.0381222089097048,0.1,0.27883578,0,0.00029645,0.06740115,0,0,0,8e-08,3.516e-05,0.00343138,0.58340072,0,0.00019411,0.04411537,0,0,0,0.00019844,2.244e-05,0.02206891,0.499999999999998,0
0.5,0.5,0.7,0.52,0,0.95,0.0319693094629156,0.1,0.24715928,0,0.00032894,0.05040297,0,0,0,1.1e-07,3.285e-05,0.00207585,0.6426303,0,0.00024722,0.03786825,0,0,0,0.00028388,2.415e-05,0.0189462,0.500000000000001,0
0.5,0.5,0.75,0.5,0,0.95,0.025974025974026,0.1,0.21251105,0,0.00036381,0.03594136,0,0,0,1.6e-07,3.005e-05,0.00115357,0.70286609,0,0.00031297,0.03091076,0,0,0,0.00041674,2.537e-05,0.01546807,0.499999999999996,0
0.5,0.5,0.8,0.48,0,0.95,0.0201938610662359,0.1,0.17480236,0,0.00044761,0.02414402,0,0,0,2.9e-07,3.009e-05,0.00057564,0.76321911,0,0.00043991,0.02372436,0,0,0,0.00071076,2.913e-05,0.01187674,0.499999999999999,0
0.5,0.5,0.85,0.46,0,0.95,0.0146756677428823,0.1,0.13424066,0,0.00053684,0.01494594,0,0,0,5.4e-07,2.896e-05,0.00024706,0.82294395,0,0.00060208,0.01676035,0,0,0,0.00126529,3.211e-05,0.00839623,0.499999999999996,0
