"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0.005,1.1,0.1,0.1,0.26037794,0.0661492,0.21181503,0.2269559,0.00388251,0.02651486,0.02627232,0.04295749,0.09074527,0.04432947,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0.005,1.1,0.0951776649746193,0.1,0.23800417,0.05650214,0.19279927,0.20497915,0.00308858,0.02254981,0.02209868,0.03893885,0.08160958,0.03942977,0.0434503,0.00354362,0.01135701,0.01188166,0.00239238,0.00130741,6.628e-05,0.01318762,0.00460403,0.0082097,0.499999999999999,0.0442739079102717
0.5,0.5,0.2,0.72,0.005,1.1,0.088261253309797,0.1,0.21712953,0.04654649,0.17414032,0.18277951,0.00228485,0.01838756,0.01769419,0.03482359,0.07203884,0.03417512,0.08900239,0.00641854,0.02257115,0.02330748,0.00431748,0.00234533,0.00012891,0.02686125,0.00897213,0.01607535,0.500000000000001,0.042480883602379
0.5,0.5,0.3,0.68,0.005,1.1,0.0793291024478695,0.1,0.19791406,0.03684003,0.15543571,0.1600195,0.00155634,0.01424536,0.01332921,0.03044124,0.06174284,0.02847573,0.13844288,0.00841281,0.03338816,0.03380548,0.00561909,0.00301036,0.000185,0.0411244,0.01280106,0.02321077,0.500000000000001,0.0399725902238465
0.5,0.5,0.4,0.64,0.005,1.1,0.0686813186813187,0.1,0.18030169,0.02789671,0.13614966,0.1364175,0.00096569,0.01036434,0.0093069,0.02563987,0.05058034,0.02237731,0.19451625,0.00942268,0.04327545,0.04262513,0.00621592,0.00323964,0.00023047,0.05586674,0.01560693,0.02900079,0.5,0.0366568914956012
0.5,0.5,0.5,0.6,0.005,1.1,0.0568181818181818,0.1,0.16377128,0.02008074,0.11561868,0.1118736,0.00053796,0.00696653,0.00590135,0.02035827,0.03873907,0.01615251,0.26121766,0.00945757,0.05122966,0.04869735,0.00611576,0.0030339,0.00025995,0.0705951,0.01678291,0.03261015,0.5,0.0324675324675325
0.5,0.5,0.6,0.56,0.005,1.1,0.0443655723158829,0.1,0.14683655,0.01355349,0.09325344,0.08657541,0.00026224,0.00422125,0.00329261,0.0147722,0.02691697,0.01031585,0.34371199,0.00860094,0.05559516,0.05065795,0.00540278,0.00247159,0.00026698,0.08435044,0.01583112,0.03311105,0.5,0.027382256297919
0.5,0.5,0.7,0.52,0.005,1.1,0.0319693094629156,0.1,0.12654592,0.00833365,0.06893637,0.06119588,0.00010642,0.00221874,0.00153132,0.00936708,0.01626641,0.0054982,0.44736655,0.00698243,0.05408566,0.04706209,0.00422264,0.00170793,0.00024507,0.09581503,0.01273607,0.02977654,0.500000000000001,0.0214408233276158
0.5,0.5,0.8,0.48,0.005,1.1,0.0201938610662359,0.1,0.09834405,0.0043863,0.04366091,0.03708852,3.225e-05,0.0009463,0.00053152,0.00483469,0.00799004,0.00218541,0.57529463,0.00479887,0.04445889,0.03695135,0.00277633,0.00094422,0.00019043,0.10383462,0.0082468,0.02250386,0.499999999999999,0.0147579693034239
0.5,0.5,0.9,0.44,0.005,1.1,0.0094553706505295,0.1,0.05721633,0.00165461,0.01976198,0.01614242,5.23e-06,0.00027508,9.848e-05,0.00170218,0.00268086,0.00046284,0.72548351,0.00235419,0.02590144,0.02064868,0.00130071,0.00035277,0.00010553,0.10811823,0.00364225,0.0120927,0.499999999999998,0.00752558699578566
0.5,0.5,0,0.8,0.005,0.975,0.1,0.1,0.24828327,0.00154237,0.49720106,0.00159568,2.4e-06,0.00154409,4.96e-06,0.24823058,0.00159304,2.56e-06,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0.005,0.975,0.0951776649746193,0.1,0.2238894,0.00050963,0.44911576,0.00067581,2.9e-07,0.00051076,7.7e-07,0.22462157,0.00067551,5.1e-07,0.03884623,2.969e-05,0.02462376,3.668e-05,2.854e-05,2.772e-05,3.2e-07,0.03633563,3.549e-05,3.593e-05,0.499999999999999,0
