"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.1,0.1,0.44649476,0,2.283e-05,0.45326646,0,0,0,0,1.137e-05,0.10020458,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0,1.1,0.0951776649746193,0.1,0.40901609,0,2.394e-05,0.4041996,0,0,0,0,1.16e-05,0.08674877,0.06406048,0,1.42e-06,0.02395736,0,0,0,1.07e-06,6.6e-07,0.01197901,0.499999999999999,0.0442739079102717
0.5,0.5,0.2,0.72,0,1.1,0.088261253309797,0.1,0.37346157,0,2.37e-05,0.35398332,0,0,0,0,1.102e-05,0.0725204,0.13085142,0,3.1e-06,0.04609402,0,0,0,2.4e-06,1.37e-06,0.0230477,0.500000000000001,0.042480883602379
0.5,0.5,0.3,0.68,0,1.1,0.0793291024478695,0.1,0.33928103,0,2.603e-05,0.30275767,0,0,0,0,1.139e-05,0.05792388,0.20215777,0,5.63e-06,0.065219,0,0,0,4.56e-06,2.36e-06,0.03261068,0.500000000000001,0.0399725902238465
0.5,0.5,0.4,0.64,0,1.1,0.0686813186813187,0.1,0.30562515,0,2.849e-05,0.25080754,0,0,0,0,1.146e-05,0.04352735,0.28027268,0,9.1e-06,0.07980338,0,0,0,7.88e-06,3.52e-06,0.03990345,0.5,0.0366568914956012
0.5,0.5,0.5,0.6,0,1.1,0.0568181818181818,0.1,0.27119289,0,3.049e-05,0.19869855,0,0,0,0,1.094e-05,0.03006713,0.36798594,0,1.355e-05,0.08798703,0,0,0,1.291e-05,4.7e-06,0.04399587,0.5,0.0324675324675325
0.5,0.5,0.6,0.56,0,1.1,0.0443655723158829,0.1,0.23402047,0,2.961e-05,0.14753092,0,0,0,0,9.13e-06,0.01840986,0.46829958,0,1.768e-05,0.08777028,0,0,0,1.937e-05,5.3e-06,0.04388779,0.5,0.027382256297919
0.5,0.5,0.7,0.52,0,1.1,0.0319693094629156,0.1,0.19129418,0,2.6e-05,0.0992677,0,0,0,0,6.58e-06,0.00940554,0.58351687,0,2.04e-05,0.0776184,0,0,0,2.756e-05,5.05e-06,0.03881172,0.500000000000001,0.0214408233276158
0.5,0.5,0.8,0.48,0,1.1,0.0201938610662359,0.1,0.13958511,0,2.203e-05,0.05682045,0,0,0,0,4.35e-06,0.00356807,0.71354613,0,2.239e-05,0.05758838,0,0,0,4.238e-05,4.35e-06,0.02879637,0.499999999999999,0.0147579693034239
0.5,0.5,0.9,0.44,0,1.1,0.0094553706505295,0.1,0.07603064,0,1.909e-05,0.02323104,0,0,0,0,2.8e-06,0.00071643,0.85448644,0,2.491e-05,0.03026249,0,0,0,8.947e-05,3.63e-06,0.01513306,0.499999999999998,0.00752558699578566
0.5,0.5,0,0.8,0,0.975,0.1,0.1,0.55859539,0,6.081e-05,0.38141607,0,0,0,0,2.045e-05,0.05990729,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.975,0.0951776649746193,0.1,0.51227142,0,6.38e-05,0.33679513,0,0,0,0,2.066e-05,0.05084898,0.07146069,0,3.61e-06,0.01902108,0,0,0,2.42e-06,1.11e-06,0.00951109,0.499999999999999,0
0.5,0.5,0.2,0.72,0,0.975,0.088261253309797,0.1,0.46841886,0,6.553e-05,0.29030635,0,0,0,0,2e-05,0.04118926,0.14590677,0,8.15e-06,0.0360506,0,0,0,5.62e-06,2.37e-06,0.01802649,0.500000000000001,0
0.5,0.5,0.3,0.68,0,0.975,0.0793291024478695,0.1,0.42618501,0,7.44e-05,0.24234706,0,0,0,0,2.084e-05,0.0313727,0.22519248,0,1.533e-05,0.04985001,0,0,0,1.102e-05,4.1e-06,0.02492706,0.500000000000001,0
0.5,0.5,0.4,0.64,0,0.975,0.0686813186813187,0.1,0.38423278,0,9.17e-05,0.19365687,0,0,0,1e-08,2.275e-05,0.02199589,0.31151872,0,2.795e-05,0.05894796,0,0,0,2.139e-05,6.66e-06,0.02947731,0.5,0
0.5,0.5,0.5,0.6,0,0.975,0.0568181818181818,0.1,0.34053905,0,1e-04,0.14557606,0,0,0,1e-08,2.102e-05,0.01376386,0.40715947,0,4.252e-05,0.06183293,0,0,0,3.565e-05,8.64e-06,0.03092079,0.5,0
0.5,0.5,0.6,0.56,0,0.975,0.0443655723158829,0.1,0.29216957,0,0.00011607,0.10034206,0,0,0,1e-08,1.957e-05,0.00735273,0.51364121,0,6.655e-05,0.05747465,0,0,0,6.39e-05,1.091e-05,0.02874278,0.5,0
0.5,0.5,0.7,0.52,0,0.975,0.0319693094629156,0.1,0.23558677,0,0.00012062,0.06113016,0,0,0,2e-08,1.531e-05,0.00314713,0.63039086,0,9.136e-05,0.0462618,0,0,0,0.00010806,1.134e-05,0.02313657,0.500000000000001,0
