"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.25,0.25,0,0.8,0,1.1,0.4,0.4,0.24593115,0.00070569,0.50599895,0,5.1e-07,0.00072586,0,0.24663784,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.25,0.25,0.1,0.76,0,1.1,0.379746835443038,0.4,0.21798662,2.229e-05,0.45579851,0,0,2.324e-05,0,0.22616934,0,0,0.04203477,1.44e-06,0.02642701,0,1.39e-06,1.35e-06,0,0.03153404,0,0,0.487012987012987,0
0.25,0.25,0.2,0.72,0,1.1,0.350877192982456,0.4,0.18850686,6.97e-06,0.40476052,0,0,7.43e-06,0,0.20671821,0,0,0.08304279,9.9e-07,0.05166332,0,9.8e-07,9.6e-07,0,0.06529097,0,0,0.467289719626168,0
0.25,0.25,0.3,0.68,0,1.1,0.31390134529148,0.4,0.15857013,2.63e-06,0.35349323,0,0,2.9e-06,0,0.18793112,0,0,0.12254263,6.3e-07,0.0748458,0,6.3e-07,6.3e-07,0,0.10260968,0,0,0.439698492462312,0
0.25,0.25,0.4,0.64,0,1.1,0.27027027027027,0.4,0.12867844,1.05e-06,0.30192213,0,0,1.22e-06,0,0.16939716,0,0,0.16004395,3.8e-07,0.09474887,0,3.9e-07,4e-07,0,0.14520601,0,0,0.403225806451613,0
0.25,0.25,0.5,0.6,0,1.1,0.222222222222222,0.4,0.09936478,3e-08,0.24994522,0,0,4e-08,0,0.15068993,0,0,0.19492338,2e-08,0.10961703,0,2e-08,2e-08,0,0.19545953,0,0,0.357142857142857,0
0.25,0.25,0.6,0.56,0,1.1,0.172413793103448,0.4,0.07119208,1e-08,0.19741098,0,0,1e-08,0,0.13139692,0,0,0.22595921,1e-08,0.11689443,0,1e-08,1e-08,0,0.25714634,0,0,0.301204819277108,0
0.25,0.25,0.7,0.52,0,1.1,0.123456790123457,0.4,0.04490454,1e-08,0.14409426,0,0,1e-08,0,0.11100118,0,0,0.25001413,1e-08,0.11277945,0,1e-08,1e-08,0,0.33720639,0,0,0.235849056603774,0
0.25,0.25,0.8,0.48,0,1.1,0.0775193798449612,0.4,0.02184455,0,0.08977319,0,0,0,0,0.08838226,0,0,0.25780619,0,0.09161706,0,0,0,0,0.45057675,0,0,0.162337662337661,0
0.25,0.25,0.9,0.44,0,1.1,0.036101083032491,0.4,0.00509422,0,0.03561623,0,0,0,0,0.05928955,0,0,0.2176433,0,0.04688906,0,0,0,0,0.63546764,0,0,0.0827814569536435,0
0.25,0.25,0,0.8,0,0.95,0.4,0.4,0.24601275,0.0006241,0.50608298,0,4e-07,0.00064185,0,0.24663792,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0,0.95,0.379746835443038,0.4,0.21798982,1.906e-05,0.45580188,0,0,1.987e-05,0,0.22616937,0,0,0.04203517,1.23e-06,0.02642721,0,1.19e-06,1.16e-06,0,0.03153404,0,0,0.487012987012987,0
0.25,0.25,0.2,0.72,0,0.95,0.350877192982456,0.4,0.18850749,6.3e-06,0.40476123,0,0,6.72e-06,0,0.20671825,0,0,0.08304297,9e-07,0.0516634,0,8.8e-07,8.7e-07,0,0.06529097,0,0,0.467289719626168,0
0.25,0.25,0.3,0.68,0,0.95,0.31390134529148,0.4,0.15857039,2.37e-06,0.35349351,0,0,2.61e-06,0,0.18793112,0,0,0.12254275,5.6e-07,0.07484586,0,5.7e-07,5.7e-07,0,0.10260968,0,0,0.439698492462312,0
0.25,0.25,0.4,0.64,0,0.95,0.27027027027027,0.4,0.12867821,1.3e-06,0.30192185,0,0,1.5e-06,0,0.16939715,0,0,0.16004377,4.7e-07,0.09474878,0,4.8e-07,5e-07,0,0.14520601,0,0,0.403225806451613,0
0.25,0.25,0.5,0.6,0,0.95,0.222222222222222,0.4,0.09936479,3e-08,0.24994522,0,0,4e-08,0,0.15068992,0,0,0.19492339,2e-08,0.10961703,0,2e-08,2e-08,0,0.19545952,0,0,0.357142857142857,0
0.25,0.25,0.6,0.56,0,0.95,0.172413793103448,0.4,0.07119208,1e-08,0.19741098,0,0,1e-08,0,0.13139692,0,0,0.22595921,1e-08,0.11689443,0,1e-08,1e-08,0,0.25714634,0,0,0.301204819277108,0
0.25,0.25,0.7,0.52,0,0.95,0.123456790123457,0.4,0.04490454,1e-08,0.14409426,0,0,1e-08,0,0.11100118,0,0,0.25001413,1e-08,0.11277945,0,1e-08,1e-08,0,0.33720639,0,0,0.235849056603774,0
0.25,0.25,0.8,0.48,0,0.95,0.0775193798449612,0.4,0.02184455,0,0.08977319,0,0,0,0,0.08838226,0,0,0.25780619,0,0.09161706,0,0,0,0,0.45057675,0,0,0.162337662337661,0
0.25,0.25,0.9,0.44,0,0.95,0.036101083032491,0.4,0.00509422,0,0.03561623,0,0,0,0,0.05928955,0,0,0.2176433,0,0.04688906,0,0,0,0,0.63546764,0,0,0.0827814569536435,0
0.25,0.25,0,0.8,0,0.9,0.4,0.4,0.2460209,0.00061592,0.5060914,0,3.9e-07,0.00063343,0,0.24663797,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0,0.9,0.379746835443038,0.4,0.21799005,1.879e-05,0.45580215,0,0,1.96e-05,0,0.2261694,0,0,0.0420352,1.21e-06,0.02642722,0,1.18e-06,1.14e-06,0,0.03153404,0,0,0.487012987012987,0
0.25,0.25,0.2,0.72,0,0.9,0.350877192982456,0.4,0.18850777,6.01e-06,0.40476154,0,0,6.42e-06,0,0.20671826,0,0,0.08304305,8.6e-07,0.05166344,0,8.4e-07,8.3e-07,0,0.06529098,0,0,0.467289719626168,0
0.25,0.25,0.3,0.68,0,0.9,0.31390134529148,0.4,0.15857035,2.37e-06,0.3534935,0,0,2.61e-06,0,0.18793116,0,0,0.12254274,5.6e-07,0.07484586,0,5.7e-07,5.7e-07,0,0.1026097,0,0,0.439698492462312,0
0.25,0.25,0.4,0.64,0,0.9,0.27027027027027,0.4,0.12867837,1.22e-06,0.30192195,0,0,1.41e-06,0,0.16939705,0,0,0.16004389,4.4e-07,0.09474881,0,4.6e-07,4.7e-07,0,0.14520594,0,0,0.403225806451613,0
0.25,0.25,0.5,0.6,0,0.9,0.222222222222222,0.4,0.09936479,3e-08,0.24994522,0,0,4e-08,0,0.15068992,0,0,0.19492339,2e-08,0.10961703,0,2e-08,2e-08,0,0.19545952,0,0,0.357142857142857,0
0.25,0.25,0.6,0.56,0,0.9,0.172413793103448,0.4,0.07119208,1e-08,0.19741098,0,0,1e-08,0,0.13139692,0,0,0.22595921,1e-08,0.11689443,0,1e-08,1e-08,0,0.25714634,0,0,0.301204819277108,0
0.25,0.25,0.7,0.52,0,0.9,0.123456790123457,0.4,0.04490454,1e-08,0.14409426,0,0,1e-08,0,0.11100118,0,0,0.25001413,1e-08,0.11277945,0,1e-08,1e-08,0,0.33720639,0,0,0.235849056603774,0
0.25,0.25,0.8,0.48,0,0.9,0.0775193798449612,0.4,0.02184455,0,0.08977319,0,0,0,0,0.08838226,0,0,0.25780619,0,0.09161706,0,0,0,0,0.45057675,0,0,0.162337662337661,0
0.25,0.25,0.9,0.44,0,0.9,0.036101083032491,0.4,0.00509422,0,0.03561623,0,0,0,0,0.05928955,0,0,0.2176433,0,0.04688906,0,0,0,0,0.63546764,0,0,0.0827814569536435,0
0.25,0.25,0,0.8,0.05,1.1,0.4,0.4,0.14846223,0.08677891,0.20687108,0.20049467,0.01121365,0.05571874,0.0485046,0.06823485,0.12338269,0.05033857,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.25,0.25,0.1,0.76,0.05,1.1,0.379746835443038,0.4,0.21795453,5.379e-05,0.45570331,6.237e-05,0,5.607e-05,1e-08,0.22610817,6.175e-05,0,0.04203054,3.79e-06,0.02642186,3.27e-06,3.2e-06,2.94e-06,3.3e-07,0.03152844,2.77e-06,2.86e-06,0.487012987012987,0
0.25,0.25,0.2,0.72,0.05,1.1,0.350877192982456,0.4,0.1885059,8.06e-06,0.40474836,1.103e-05,0,8.6e-06,0,0.20670685,1.12e-05,0,0.08304248,1.26e-06,0.0516619,1.27e-06,1.07e-06,1e-06,1.2e-07,0.06528862,1.13e-06,1.15e-06,0.467289719626168,0
0.25,0.25,0.3,0.68,0.05,1.1,0.31390134529148,0.4,0.15857083,2.51e-06,0.35348921,4.21e-06,0,2.77e-06,0,0.18792603,4.44e-06,0,0.12254295,6.7e-07,0.07484502,8.1e-07,5.7e-07,5.4e-07,7e-08,0.10260785,7.7e-07,7.6e-07,0.439698492462312,0
0.25,0.25,0.4,0.64,0.05,1.1,0.27027027027027,0.4,0.12867948,1.13e-06,0.30191988,2.35e-06,0,1.3e-06,0,0.16939326,2.6e-06,0,0.16004473,4.6e-07,0.09474817,6.8e-07,3.9e-07,3.8e-07,6e-08,0.14520376,7e-07,6.7e-07,0.403225806451613,0
0.25,0.25,0.5,0.6,0.05,1.1,0.222222222222222,0.4,0.09936479,3e-08,0.24994517,5e-08,0,4e-08,0,0.15068986,6e-08,0,0.1949234,2e-08,0.10961702,2e-08,2e-08,2e-08,0,0.19545948,2e-08,2e-08,0.357142857142857,0
0.25,0.25,0.6,0.56,0.05,1.1,0.172413793103448,0.4,0.07119205,2e-08,0.19741093,3e-08,0,3e-08,0,0.13139691,4e-08,0,0.22595916,2e-08,0.1168944,2e-08,2e-08,2e-08,0,0.25714633,2e-08,2e-08,0.301204819277108,0
0.25,0.25,0.7,0.52,0.05,1.1,0.123456790123457,0.4,0.0449046,1e-08,0.14409429,1e-08,0,1e-08,0,0.11100108,1e-08,0,0.2500143,1e-08,0.11277947,1e-08,1e-08,1e-08,0,0.33720618,1e-08,1e-08,0.235849056603774,0
0.25,0.25,0.8,0.48,0.05,1.1,0.0775193798449612,0.4,0.02184456,0,0.0897732,0,0,0,0,0.08838224,0,0,0.25780624,0,0.09161707,0,0,0,0,0.45057669,0,0,0.162337662337661,0
0.25,0.25,0.9,0.44,0.05,1.1,0.036101083032491,0.4,0.00509422,0,0.03561623,0,0,0,0,0.05928955,0,0,0.2176433,0,0.04688906,0,0,0,0,0.63546764,0,0,0.0827814569536435,0
0.25,0.25,0,0.8,0.05,0.95,0.4,0.4,0.24500024,0.00163462,0.5033382,0.00170315,2.73e-06,0.00167785,5.68e-06,0.24497811,0.00165663,2.8e-06,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0.05,0.95,0.379746835443038,0.4,0.2179814,2.738e-05,0.45576157,3.166e-05,0,2.854e-05,0,0.2261381,3.134e-05,0,0.04203403,1.93e-06,0.02642505,1.66e-06,1.63e-06,1.5e-06,1.7e-07,0.03153117,1.41e-06,1.45e-06,0.487012987012987,0
0.25,0.25,0.2,0.72,0.05,0.95,0.350877192982456,0.4,0.18850781,6.26e-06,0.40475281,8.5e-06,0,6.68e-06,0,0.2067093,8.64e-06,0,0.08304303,9.8e-07,0.05166243,9.9e-07,8.3e-07,7.7e-07,9e-08,0.06528911,8.8e-07,8.8e-07,0.467289719626168,0
0.25,0.25,0.3,0.68,0.05,0.95,0.31390134529148,0.4,0.15857129,2.08e-06,0.35349044,3.46e-06,0,2.3e-06,0,0.18792679,3.65e-06,0,0.12254318,5.5e-07,0.07484526,6.7e-07,4.7e-07,4.4e-07,6e-08,0.10260811,6.4e-07,6.2e-07,0.439698492462312,0
0.25,0.25,0.4,0.64,0.05,0.95,0.27027027027027,0.4,0.12867972,9.4e-07,0.30192052,1.93e-06,0,1.08e-06,0,0.16939367,2.14e-06,0,0.16004491,3.8e-07,0.09474836,5.6e-07,3.3e-07,3.2e-07,5e-08,0.14520397,5.8e-07,5.5e-07,0.403225806451613,0
