"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.001,0.1,0.1,0.53094779,0,4.605e-05,0.40033935,0,0,0,0,1.709e-05,0.06864972,0,0,0,0,0,0,0,0,0,0,0.5,0.000499500499500445
0.5,0.5,0.1,0.76,0,1.001,0.0951776649746193,0.1,0.48674321,0,4.69e-05,0.35456641,0,0,0,0,1.681e-05,0.05862667,0.06964086,0,2.68e-06,0.02023549,0,0,0,1.85e-06,9.1e-07,0.0101182,0.499999999999999,0.000486526460552636
0.5,0.5,0.2,0.72,0,1.001,0.088261253309797,0.1,0.44485721,0,4.907e-05,0.30711762,0,0,0,0,1.667e-05,0.04795942,0.1421867,0,6.17e-06,0.03853318,0,0,0,4.37e-06,2e-06,0.01926759,0.500000000000001,0.000466822896729565
0.5,0.5,0.3,0.68,0,1.001,0.0793291024478695,0.1,0.40452694,0,5.351e-05,0.25832023,0,0,0,0,1.681e-05,0.03708251,0.21946718,0,1.114e-05,0.05367229,0,0,0,8.23e-06,3.35e-06,0.02683782,0.500000000000001,0.000439259233228921
0.5,0.5,0.4,0.64,0,1.001,0.0686813186813187,0.1,0.36455932,0,5.758e-05,0.20878148,0,0,0,0,1.622e-05,0.0265854,0.30370632,0,1.773e-05,0.06416987,0,0,0,1.395e-05,4.8e-06,0.03208733,0.5,0.000402822983467943
0.5,0.5,0.5,0.6,0,1.001,0.0568181818181818,0.1,0.32313686,0,6.137e-05,0.15960465,0,0,0,0,1.489e-05,0.01718223,0.39732022,0,2.635e-05,0.06841428,0,0,0,2.274e-05,6.18e-06,0.03421023,0.5,0.000356786071071746
0.5,0.5,0.6,0.56,0,1.001,0.0443655723158829,0.1,0.27760649,0,8.275e-05,0.11269045,0,0,0,1e-08,1.648e-05,0.00960383,0.50225475,0,4.787e-05,0.06509075,0,0,0,4.736e-05,9.26e-06,0.03255001,0.5,0.00030090391536176
0.5,0.5,0.7,0.52,0,1.001,0.0319693094629156,0.1,0.2246431,0,7.105e-05,0.07091282,0,0,0,1e-08,1.096e-05,0.00436207,0.61878192,0,5.424e-05,0.05405698,0,0,0,6.609e-05,8.19e-06,0.02703258,0.500000000000001,0.000235613443160606
0.5,0.5,0.8,0.48,0,1.001,0.0201938610662359,0.1,0.16106388,0,6.477e-05,0.03742193,0,0,0,1e-08,7.32e-06,0.0014421,0.74402688,0,6.444e-05,0.03719181,0,0,0,0.0001102,7.17e-06,0.01859949,0.499999999999999,0.000162175486850764
0.5,0.5,0.9,0.44,0,1.001,0.0094553706505295,0.1,0.08566724,0,5.692e-05,0.01402008,0,0,0,1e-08,4.49e-06,0.00025126,0.87259548,0,7.336e-05,0.01805579,0,0,0,0.00023887,5.74e-06,0.00903076,0.499999999999998,8.2698758195422e-05
0.5,0.5,0,0.8,0.005,1.001,0.1,0.1,0.24671179,0.04403765,0.33448482,0.12275754,0.00191319,0.02959729,0.01057678,0.11305795,0.0822845,0.01457847,0,0,0,0,0,0,0,0,0,0,0.5,0.000499500499500445
0.5,0.5,0.1,0.76,0.005,1.001,0.0951776649746193,0.1,0.22489188,0.03656174,0.30225838,0.11239253,0.00144236,0.02435109,0.00879107,0.1012861,0.0746643,0.01336055,0.0399354,0.00219388,0.01699642,0.0062419,0.00175413,0.00135253,3.816e-05,0.02236232,0.00401559,0.00510967,0.499999999999999,0.000486526460552636
0.5,0.5,0.2,0.72,0.005,1.001,0.088261253309797,0.1,0.20476909,0.02895015,0.27079763,0.10131834,0.00098845,0.01896234,0.00685621,0.08929581,0.06620174,0.01186024,0.08175889,0.00382809,0.03356501,0.01240042,0.00303762,0.00232113,7.398e-05,0.04504231,0.00787289,0.01009967,0.500000000000001,0.000466822896729565
0.5,0.5,0.3,0.68,0.005,1.001,0.0793291024478695,0.1,0.18680734,0.02182148,0.23981991,0.08899814,0.000611,0.01386476,0.00493618,0.07677644,0.05641769,0.00994706,0.12733329,0.0047913,0.04936164,0.01808267,0.0037519,0.00281752,0.00010502,0.06798429,0.01118903,0.01458334,0.500000000000001,0.000439259233228921
0.5,0.5,0.4,0.64,0.005,1.001,0.0686813186813187,0.1,0.17114469,0.01564671,0.20854949,0.07532881,0.00033877,0.00942609,0.00322795,0.06338019,0.04528407,0.00767322,0.17965656,0.00509733,0.06366177,0.02268982,0.00390445,0.00283986,0.00012829,0.09065294,0.01339214,0.01797684,0.5,0.000402822983467943
0.5,0.5,0.5,0.6,0.005,1.001,0.0568181818181818,0.1,0.1571572,0.01064316,0.17584316,0.06064031,0.00016721,0.00587769,0.00188305,0.04907465,0.03342257,0.00529098,0.24303744,0.00485231,0.07502566,0.02551537,0.00359277,0.00247388,0.00014065,0.11181231,0.01390817,0.01964144,0.5,0.000356786071071746
0.5,0.5,0.6,0.56,0.005,1.001,0.0443655723158829,0.1,0.14287055,0.00679412,0.14067465,0.04558145,7.219e-05,0.00329333,0.00095518,0.03455079,0.02205426,0.00315348,0.32264708,0.00419192,0.08102207,0.02586969,0.00296124,0.00186994,0.00013939,0.12969808,0.01249029,0.01911029,0.5,0.00030090391536176
0.5,0.5,0.7,0.52,0.005,1.001,0.0319693094629156,0.1,0.1245995,0.00396242,0.10301141,0.03103998,2.617e-05,0.0016062,0.0004028,0.02124367,0.01256086,0.00154698,0.42303753,0.0032457,0.07841492,0.02325812,0.00216355,0.00120432,0.00012292,0.1427388,0.00949769,0.01631645,0.500000000000001,0.000235613443160606
0.5,0.5,0.8,0.48,0.005,1.001,0.0201938610662359,0.1,0.09739649,0.00198874,0.06467819,0.01804958,7.21e-06,0.00064337,0.0001278,0.01071326,0.0058302,0.00056515,0.54586757,0.0021424,0.06427176,0.01762818,0.00133984,0.00062902,9.174e-05,0.15051559,0.00583046,0.01168345,0.499999999999999,0.000162175486850764
0.5,0.5,0.9,0.44,0.005,1.001,0.0094553706505295,0.1,0.05665982,0.00072112,0.02915488,0.00754135,1.09e-06,0.00017888,2.2e-05,0.00374131,0.00186858,0.00011097,0.68843029,0.00101992,0.03758864,0.00953575,0.00059873,0.0002266,4.906e-05,0.15410531,0.00246824,0.00597747,0.499999999999998,8.2698758195422e-05
0.5,0.5,0,0.8,0.01,1.001,0.1,0.1,0.21336257,0.03967715,0.39473342,0.06336337,0.00182233,0.03649056,0.00578712,0.18206567,0.05811594,0.00458188,0,0,0,0,0,0,0,0,0,0,0.5,0.000499500499500445
0.5,0.5,0.1,0.76,0.01,1.001,0.0951776649746193,0.1,0.1888132,0.03328462,0.35447081,0.05972726,0.00144473,0.03104433,0.00515256,0.1659191,0.05556134,0.00458204,0.03516482,0.00199409,0.01974979,0.00325251,0.00181748,0.0016908,4.993e-05,0.0302062,0.00298206,0.00309232,0.499999999999999,0.000486526460552636
0.5,0.5,0.2,0.72,0.01,1.001,0.088261253309797,0.1,0.16534886,0.02641054,0.31572106,0.05520378,0.00103373,0.02503338,0.00429149,0.15031878,0.05219534,0.00444303,0.07030488,0.00349602,0.03883466,0.00663362,0.00320367,0.00300872,9.739e-05,0.06185473,0.0061988,0.00636752,0.500000000000001,0.000466822896729565
0.5,0.5,0.3,0.68,0.01,1.001,0.0793291024478695,0.1,0.14446602,0.01977333,0.278601,0.04929726,0.0006583,0.01890959,0.00325687,0.13398417,0.04703438,0.00401907,0.10671795,0.00435989,0.0569971,0.00984688,0.00400014,0.00377801,0.00013761,0.09532366,0.00932274,0.00951601,0.500000000000001,0.000439259233228921
0.5,0.5,0.4,0.64,0.01,1.001,0.0686813186813187,0.1,0.12718179,0.01404181,0.2425438,0.04208582,0.00037259,0.01326067,0.00221349,0.11536058,0.03965891,0.00328054,0.14719749,0.0046089,0.07369557,0.01247516,0.00418761,0.00393202,0.00016571,0.12998646,0.0117309,0.01202017,0.5,0.000402822983467943
0.5,0.5,0.5,0.6,0.01,1.001,0.0568181818181818,0.1,0.11345361,0.00952648,0.20634688,0.03406635,0.00018831,0.00856312,0.00133248,0.09360996,0.03056021,0.00235259,0.19621262,0.00438923,0.08773043,0.01411442,0.00388014,0.00354946,0.0001784,0.1638844,0.0127286,0.0133323,0.5,0.000356786071071746
0.5,0.5,0.6,0.56,0.01,1.001,0.0443655723158829,0.1,0.10178064,0.00617014,0.16839857,0.02585044,8.476e-05,0.0050307,0.00070092,0.06950004,0.02103748,0.00144631,0.25952316,0.00385673,0.09672854,0.01444807,0.00324793,0.00281348,0.00017434,0.19417105,0.01193323,0.01310348,0.5,0.00030090391536176
0.5,0.5,0.7,0.52,0.01,1.001,0.0319693094629156,0.1,0.08904362,0.00373543,0.12746341,0.01795362,3.296e-05,0.00262351,0.00031138,0.0455143,0.01258764,0.00073414,0.34301753,0.00310497,0.0968291,0.01324278,0.00244429,0.00193692,0.00015331,0.21841723,0.00953943,0.01131445,0.500000000000001,0.000235613443160606
0.5,0.5,0.8,0.48,0.01,1.001,0.0201938610662359,0.1,0.07088068,0.00199324,0.08383695,0.01079576,1.005e-05,0.00114893,0.00010634,0.02473409,0.00621324,0.00028071,0.45117388,0.00218076,0.08318653,0.01037058,0.00158505,0.00110525,0.00011591,0.23580649,0.00623213,0.0082434,0.499999999999999,0.000162175486850764
0.5,0.5,0.9,0.44,0.01,1.001,0.0094553706505295,0.1,0.04250202,0.00078314,0.0400152,0.00472571,1.72e-06,0.00035549,2.008e-05,0.00939549,0.00214272,5.843e-05,0.58539561,0.00112491,0.05154505,0.00586952,0.00075185,0.00044254,6.375e-05,0.24764224,0.00284109,0.00432343,0.499999999999998,8.2698758195422e-05
0.5,0.5,0,0.8,0.05,1.001,0.1,0.1,0.23296305,0.01657143,0.46603132,0.01716166,0.00029434,0.01654479,0.00060852,0.23242444,0.0170868,0.00031365,0,0,0,0,0,0,0,0,0,0,0.5,0.000499500499500445
0.5,0.5,0.1,0.76,0.05,1.001,0.0951776649746193,0.1,0.20867375,0.0127918,0.42322066,0.0137,0.00019566,0.01294248,0.00041818,0.21401009,0.01382454,0.00022285,0.03709377,0.0008084,0.023311,0.00067989,0.00069075,0.0006425,6.941e-05,0.03521251,0.00079102,0.00070075,0.499999999999999,0.000486526460552636
0.5,0.5,0.2,0.72,0.05,1.001,0.088261253309797,0.1,0.18160422,0.01094557,0.37604646,0.01241788,0.00016425,0.01129543,0.00037151,0.19416262,0.0127825,0.00020956,0.07370694,0.00152959,0.04567737,0.00135615,0.00131393,0.00123423,0.00013596,0.07201407,0.00161445,0.00141732,0.500000000000001,0.000466822896729565
0.5,0.5,0.3,0.68,0.05,1.001,0.0793291024478695,0.1,0.15390369,0.00921367,0.32835887,0.0113441,0.00013667,0.00978247,0.00033502,0.17470466,0.01201601,0.00020485,0.10950272,0.00215132,0.06633007,0.00205377,0.00186154,0.00177258,0.00020083,0.11141084,0.00252657,0.00218975,0.500000000000001,0.000439259233228921
0.5,0.5,0.4,0.64,0.05,1.001,0.0686813186813187,0.1,0.12729549,0.00720424,0.2813535,0.00982575,0.00010004,0.00790871,0.00027121,0.15509468,0.01076296,0.00018342,0.14500297,0.0025188,0.08447859,0.00263272,0.00219556,0.00212188,0.00024955,0.15455327,0.00337005,0.00287661,0.5,0.000402822983467943
0.5,0.5,0.5,0.6,0.05,1.001,0.0568181818181818,0.1,0.10303482,0.00517202,0.23501665,0.00790852,6.251e-05,0.00584441,0.00018955,0.13370954,0.00891856,0.00014342,0.18191431,0.00256034,0.09889168,0.00295252,0.0022384,0.00218617,0.00026971,0.20175474,0.00392716,0.00330498,0.5,0.000356786071071746
0.5,0.5,0.6,0.56,0.05,1.001,0.0443655723158829,0.1,0.08161905,0.00341463,0.18905279,0.00585396,3.313e-05,0.00390467,0.00011231,0.10923302,0.00668145,9.499e-05,0.2234104,0.00231758,0.1076794,0.00293545,0.00201197,0.00196348,0.00025713,0.25207525,0.0040068,0.00334256,0.5,0.00030090391536176
0.5,0.5,0.7,0.52,0.05,1.001,0.0319693094629156,0.1,0.06248953,0.00207502,0.14299358,0.0039415,1.482e-05,0.00233255,5.54e-05,0.08162295,0.00442296,5.169e-05,0.27405187,0.00189361,0.10792775,0.00259201,0.00160839,0.00154006,0.00021688,0.3036576,0.00354952,0.00296233,0.500000000000001,0.000235613443160606
0.5,0.5,0.8,0.48,0.05,1.001,0.0201938610662359,0.1,0.04397628,0.00111758,0.09629394,0.00231195,5.19e-06,0.00119344,2.099e-05,0.05259435,0.00246508,2.119e-05,0.33898121,0.00135614,0.09512006,0.00196219,0.00110916,0.00101862,0.00015645,0.35545267,0.00262708,0.00221641,0.499999999999999,0.000162175486850764
