"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.4,0.4,0.055309,0.037187,0.323763,0,0,0.132697,0,0.451044,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.05,0.716666666666667,0,1.1,0.390678546949966,0.4,0.049541,0.03445,0.305227,0,0,0.129162,0,0.447982,0,0,0.006624,0,0.007232,0,0,0,0,0.019783,0,0,0.5,0.0439135919268371
0.5,0.5,0.1,0.657142857142857,0,1.1,0.377019748653501,0.4,0.041744,0.03102,0.280956,0,0,0.12672,0,0.451108,0,0,0.012537,0,0.013975,0,0,0,0,0.04194,0,0,0.5,0.04252937884723
0.5,0.5,0.15,0.6125,0,1.1,0.360551431601273,0.4,0.033213,0.027166,0.252316,0,0,0.124877,0,0.458041,0,0,0.017291,0,0.019771,0,0,0,0,0.067325,0,0,0.5,0.0412351603940389
0.5,0.5,0.2,0.577777777777778,0,1.1,0.342205323193916,0.4,0.024756,0.023035,0.219883,0,0,0.123383,0,0.467511,0,0,0.020538,0,0.024146,0,0,0,0,0.096749,0,0,0.5,0.0399907535829866
0.5,0.5,0.25,0.55,0,1.1,0.32258064516129,0.4,0.016965,0.018725,0.184011,0,0,0.122057,0,0.478634,0,0,0.021972,0,0.026576,0,0,0,0,0.131061,0,0,0.5,0.0387700534759358
0.5,0.5,0.3,0.527272727272727,0,1.1,0.302079246763437,0.4,0.010273,0.014302,0.144875,0,0,0.12079,0,0.490816,0,0,0.021275,0,0.02645,0,0,0,0,0.17122,0,0,0.5,0.0375549340791051
0.5,0.5,0.35,0.508333333333333,0,1.1,0.280979827089337,0.4,0.005041,0.009826,0.102697,0,0,0.11948,0,0.503471,0,0,0.018101,0,0.023075,0,0,0,0,0.21831,0,0,0.5,0.0363320172964844
0.5,0.5,0.4,0.492307692307692,0,1.1,0.259481037924152,0.4,0.001562,0.005358,0.05782,0,0,0.118014,0,0.515944,0,0,0.012052,0,0.015686,0,0,0,0,0.273565,0,0,0.5,0.0350908443177769
0.5,0.5,0.45,0.478571428571429,0,1.1,0.237727693732634,0.4,7.1e-05,0.001113,0.012402,0,0,0.115942,0,0.525822,0,0,0.003042,0,0.004005,0,0,0,0,0.337604,0,0,0.5,0.0338227805126464
0.5,0.5,0.5,0.466666666666667,0,1.1,0.215827338129496,0.4,1e-06,9.7e-05,0.00111,0,0,0.106599,0,0.49889,0,0,0.000339,0,0.000421,0,0,0,0,0.392545,0,0,0.5,0.032520325203252
0.5,0.5,0.55,0.45625,0,1.1,0.193861066235864,0.4,0,2.6e-05,0.000302,0,0,0.09539,0,0.45924,0,0,0.000117,0,0.000133,0,0,0,0,0.444793,0,0,0.5,0.0311766546706306
0.5,0.5,0.6,0.447058823529412,0,1.1,0.171890798786653,0.4,0,1.7e-05,0.000202,0,0,0.084353,0,0.416672,0,0,1e-04,0,0.000103,0,0,0,0,0.498554,0,0,0.5,0.0297853039008165
0.5,0.5,0.65,0.438888888888889,0,1.1,0.149964294215663,0.4,0,1.2e-05,0.000144,0,0,0.073652,0,0.371955,0,0,9.2e-05,0,8.5e-05,0,0,0,0,0.554061,0,0,0.5,0.0283399325414284
0.5,0.5,0.7,0.431578947368421,0,1.1,0.128118678354686,0.4,0,8e-06,1e-04,0,0,0.063314,0,0.325229,0,0,8.4e-05,0,6.8e-05,0,0,0,0,0.611198,0,0,0.500000000000001,0.0268341421638596
0.5,0.5,0.75,0.425,0,1.1,0.106382978723404,0.4,0,7e-06,8.6e-05,0,0,0.053358,0,0.276597,0,0,9.7e-05,0,6.7e-05,0,0,0,0,0.669789,0,0,0.499999999999999,0.0252613240418118
0.5,0.5,0.8,0.419047619047619,0,1.1,0.0847799757771497,0.4,0,6e-06,7.1e-05,0,0,0.043807,0,0.226217,0,0,0.000112,0,6.4e-05,0,0,0,0,0.729724,0,0,0.499999999999999,0.0236145236145237
0.5,0.5,0.85,0.413636363636364,0,1.1,0.0633275762809441,0.4,0,5e-06,5.7e-05,0,0,0.034667,0,0.174214,0,0,0.000133,0,5.9e-05,0,0,0,0,0.790866,0,0,0.499999999999999,0.021886311838048
0.5,0.5,0.9,0.408695652173913,0,1.1,0.0420398464631694,0.4,0,3e-06,3.3e-05,0,0,0.025951,0,0.120731,0,0,0.000128,0,4e-05,0,0,0,0,0.853116,0,0,0.500000000000002,0.0200686559281754
0.5,0.5,0,0.8,0,0.95,0.4,0.4,0.124825,0.031733,0.428359,0,0,0.066945,0,0.348138,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.05,0.716666666666667,0,0.95,0.390678546949966,0.4,0.115808,0.029957,0.408065,0,0,0.064788,0,0.340856,0,0,0.012388,0,0.01014,0,0,0,0,0.017998,0,0,0.5,0
0.5,0.5,0.1,0.657142857142857,0,0.95,0.377019748653501,0.4,0.1059,0.027867,0.386729,0,0,0.062322,0,0.33522,0,0,0.024461,0,0.020123,0,0,0,0,0.037379,0,0,0.5,0
0.5,0.5,0.15,0.6125,0,0.95,0.360551431601273,0.4,0.095724,0.025613,0.364573,0,0,0.059589,0,0.330062,0,0,0.036118,0,0.029807,0,0,0,0,0.058515,0,0,0.5,0
0.5,0.5,0.2,0.577777777777778,0,0.95,0.342205323193916,0.4,0.085692,0.023293,0.341802,0,0,0.056604,0,0.324568,0,0,0.047327,0,0.03906,0,0,0,0,0.081654,0,0,0.5,0
0.5,0.5,0.25,0.55,0,0.95,0.32258064516129,0.4,0.076094,0.020973,0.318636,0,0,0.053364,0,0.318102,0,0,0.058118,0,0.047761,0,0,0,0,0.106953,0,0,0.5,0
0.5,0.5,0.3,0.527272727272727,0,0.95,0.302079246763437,0.4,0.067084,0.018697,0.295254,0,0,0.049879,0,0.310232,0,0,0.068553,0,0.055791,0,0,0,0,0.134511,0,0,0.5,0
0.5,0.5,0.35,0.508333333333333,0,0.95,0.280979827089337,0.4,0.058823,0.016503,0.271924,0,0,0.046138,0,0.300461,0,0,0.078785,0,0.063059,0,0,0,0,0.164308,0,0,0.5,0
0.5,0.5,0.4,0.492307692307692,0,0.95,0.259481037924152,0.4,0.051382,0.014417,0.248876,0,0,0.042149,0,0.288429,0,0,0.089019,0,0.069487,0,0,0,0,0.196241,0,0,0.5,0
