"hf","hm","C","dStar","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.5,0.112,0.112,0.833331,0.166668,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166666666666667
0.5,0.5,0.05,0.78,0,1.5,0.109603942445569,0.112,0.808006,0.15777,1e-06,0,0,0,0,0,0,0,0.034223,0,0,0,0,0,0,0,0,0,0.5,0.162095639943741
0.5,0.5,0.1,0.76,0,1.5,0.106631461358789,0.112,0.780897,0.148878,1e-06,0,0,0,0,0,0,0,0.070224,0,0,0,0,0,0,0,0,0,0.5,0.15727002967359
0.5,0.5,0.15,0.74,0,1.5,0.103071353093007,0.112,0.751978,0.14003,1e-06,0,0,0,0,0,0,0,0.107991,0,0,0,0,0,0,0,0,0,0.500000000000001,0.152190923317684
0.5,0.5,0.2,0.72,0,1.5,0.0989259468626343,0.112,0.721237,0.13127,1e-06,0,0,0,0,0,0,0,0.147492,0,0,0,0,0,0,0,0,0,0.5,0.146864686468647
0.5,0.5,0.25,0.7,0,1.5,0.0942126514131898,0.112,0.688678,0.122644,0,0,0,0,0,0,0,0,0.188678,0,0,0,0,0,0,0,0,0,0.500000000000001,0.141304347826087
0.5,0.5,0.3,0.68,0,1.5,0.0889647409128872,0.112,0.65432,0.1142,0,0,0,0,0,0,0,0,0.23148,0,0,0,0,0,0,0,0,0,0.5,0.135531135531135
0.5,0.5,0.35,0.66,0,1.5,0.0832311998097573,0.112,0.618203,0.105991,0,0,0,0,0,0,0,0,0.275807,0,0,0,0,0,0,0,0,0,0.499999999999999,0.129576107899807
0.5,0.5,0.4,0.64,0,1.5,0.0770755340233429,0.112,0.580385,0.098074,0,0,0,0,0,0,0,0,0.321541,0,0,0,0,0,0,0,0,0,0.5,0.123481781376518
0.5,0.5,0.45,0.62,0,1.5,0.0705735706560593,0.112,0.54095,0.090502,0,0,0,0,0,0,0,0,0.368549,0,0,0,0,0,0,0,0,0,0.500000000000002,0.117303609341826
0.5,0.5,0.5,0.6,0,1.5,0.0638103919781222,0.112,0.5,0.083337,0,0,0,0,0,0,0,0,0.416663,0,0,0,0,0,0,0,0,0,0.5,0.111111111111111
0.5,0.5,0.55,0.58,0,1.5,0.0568766589025513,0.112,0.457663,0.076634,0,0,0,0,0,0,0,0,0.465703,0,0,0,0,0,0,0,0,0,0.499999999999999,0.104988399071926
0.5,0.5,0.6,0.56,0,1.5,0.049864653084485,0.112,0.414088,0.070449,1e-06,0,0,0,0,0,0,0,0.51546,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.0990338164251207
0.5,0.5,0.65,0.54,0,1.5,0.0428643910632119,0.112,0.369451,0.064842,1e-06,0,0,0,0,0,0,0,0.565704,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000003,0.093358395989975
0.5,0.5,0.7,0.52,0,1.5,0.0359601356210829,0.112,0.323944,0.059862,1e-06,0,0,0,0,0,0,0,0.616192,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.0880829015544042
0.5,0.5,0.75,0.5,0,1.5,0.0292275574112735,0.112,0.277778,0.055559,1e-06,0,0,0,0,0,0,0,0.66666,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000002,0.0833333333333333
0.5,0.5,0.8,0.48,0,1.5,0.0227317009807105,0.112,0.231183,0.051974,1e-06,0,0,0,0,0,0,0,0.716839,0,1e-06,0,0,0,0,2e-06,0,0,0.500000000000003,0.0792349726775957
0.5,0.5,0.85,0.46,0,1.5,0.0165258038623164,0.112,0.184401,0.049147,1e-06,0,0,0,0,0,0,0,0.766447,0,1e-06,0,0,0,0,3e-06,0,0,0.5,0.0759052924791086
0.5,0.5,0.9,0.44,0,1.5,0.0106509235872311,0.112,0.137682,0.047104,1e-06,0,0,0,0,0,0,0,0.815209,0,1e-06,0,0,0,0,4e-06,0,0,0.499999999999994,0.0734463276836157
0.5,0.5,0,0.8,0,1.1,0.112,0.112,0.954535,0.045464,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.05,0.78,0,1.1,0.109603942445569,0.112,0.912003,0.042218,1e-06,0,0,0,0,0,0,0,0.045778,0,0,0,0,0,0,0,0,0,0.5,0.0437713634637296
0.5,0.5,0.1,0.76,0,1.1,0.106631461358789,0.112,0.868723,0.039095,1e-06,0,0,0,0,0,0,0,0.092181,0,0,0,0,0,0,0,0,0,0.5,0.04203013481364
0.5,0.5,0.15,0.74,0,1.1,0.103071353093007,0.112,0.824727,0.036103,1e-06,0,0,0,0,0,0,0,0.139169,0,0,0,0,0,0,0,0,0,0.500000000000001,0.040235829540753
0.5,0.5,0.2,0.72,0,1.1,0.0989259468626343,0.112,0.780053,0.033245,0,0,0,0,0,0,0,0,0.186702,0,0,0,0,0,0,0,0,0,0.5,0.0383951682484902
0.5,0.5,0.25,0.7,0,1.1,0.0942126514131898,0.112,0.734736,0.030529,0,0,0,0,0,0,0,0,0.234736,0,0,0,0,0,0,0,0,0,0.500000000000001,0.0365168539325842
0.5,0.5,0.3,0.68,0,1.1,0.0889647409128872,0.112,0.688817,0.027958,0,0,0,0,0,0,0,0,0.283225,0,0,0,0,0,0,0,0,0,0.5,0.0346117867165575
0.5,0.5,0.35,0.66,0,1.1,0.0832311998097573,0.112,0.642338,0.02554,0,0,0,0,0,0,0,0,0.332122,0,0,0,0,0,0,0,0,0,0.499999999999999,0.0326932425862908
0.5,0.5,0.4,0.64,0,1.1,0.0770755340233429,0.112,0.595344,0.02328,0,0,0,0,0,0,0,0,0.381376,0,0,0,0,0,0,0,0,0,0.5,0.0307769929364278
0.5,0.5,0.45,0.62,0,1.1,0.0705735706560593,0.112,0.547882,0.02118,0,0,0,0,0,0,0,0,0.430938,0,0,0,0,0,0,0,0,0,0.500000000000002,0.0288813382122321
0.5,0.5,0.5,0.6,0,1.1,0.0638103919781222,0.112,0.5,0.019248,0,0,0,0,0,0,0,0,0.480752,0,0,0,0,0,0,0,0,0,0.5,0.0270270270270271
0.5,0.5,0.55,0.58,0,1.1,0.0568766589025513,0.112,0.451747,0.017485,1e-06,0,0,0,0,0,0,0,0.530766,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.0252370329057446
0.5,0.5,0.6,0.56,0,1.1,0.049864653084485,0.112,0.403178,0.015898,1e-06,0,0,0,0,0,0,0,0.580922,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.0235361653272101
0.5,0.5,0.65,0.54,0,1.1,0.0428643910632119,0.112,0.354345,0.014489,1e-06,0,0,0,0,0,0,0,0.631163,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000003,0.0219505008839128
0.5,0.5,0.7,0.52,0,1.1,0.0359601356210829,0.112,0.305303,0.013262,1e-06,0,0,0,0,0,0,0,0.681432,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0.020506634499397
0.5,0.5,0.75,0.5,0,1.1,0.0292275574112735,0.112,0.256107,0.012218,1e-06,0,0,0,0,0,0,0,0.731671,0,1e-06,0,0,0,0,2e-06,0,0,0.500000000000002,0.0192307692307692
0.5,0.5,0.8,0.48,0,1.1,0.0227317009807105,0.112,0.206815,0.011361,1e-06,0,0,0,0,0,0,0,0.78182,0,1e-06,0,0,0,0,2e-06,0,0,0.500000000000003,0.0181476846057573
0.5,0.5,0.85,0.46,0,1.1,0.0165258038623164,0.112,0.157483,0.010692,1e-06,0,0,0,0,0,0,0,0.831821,0,1e-06,0,0,0,0,3e-06,0,0,0.5,0.017279644895371
0.5,0.5,0.9,0.44,0,1.1,0.0106509235872311,0.112,0.108168,0.010212,1e-06,0,0,0,0,0,0,0,0.881612,0,2e-06,0,0,0,0,6e-06,0,0,0.499999999999994,0.0166453265044814
0.5,0.5,0,0.8,0,0.9,0.112,0.112,0.99999,9e-06,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.05,0.78,0,0.9,0.109603942445569,0.112,0.94999,1e-05,1e-06,0,0,0,0,0,0,0,0.049999,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.9,0.106631461358789,0.112,0.899991,1e-05,1e-06,0,0,0,0,0,0,0,0.099998,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.15,0.74,0,0.9,0.103071353093007,0.112,0.849992,1.1e-05,1e-06,0,0,0,0,0,0,0,0.149997,0,0,0,0,0,0,0,0,0,0.500000000000001,0
0.5,0.5,0.2,0.72,0,0.9,0.0989259468626343,0.112,0.799993,1.2e-05,0,0,0,0,0,0,0,0,0.199995,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.25,0.7,0,0.9,0.0942126514131898,0.112,0.749994,1.2e-05,0,0,0,0,0,0,0,0,0.249994,0,0,0,0,0,0,0,0,0,0.500000000000001,0
0.5,0.5,0.3,0.68,0,0.9,0.0889647409128872,0.112,0.699995,1.3e-05,0,0,0,0,0,0,0,0,0.299992,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.35,0.66,0,0.9,0.0832311998097573,0.112,0.649996,1.4e-05,0,0,0,0,0,0,0,0,0.349991,0,0,0,0,0,0,0,0,0,0.499999999999999,0
0.5,0.5,0.4,0.64,0,0.9,0.0770755340233429,0.112,0.599997,1.5e-05,0,0,0,0,0,0,0,0,0.399988,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.45,0.62,0,0.9,0.0705735706560593,0.112,0.549998,1.6e-05,0,0,0,0,0,0,0,0,0.449986,0,0,0,0,0,0,0,0,0,0.500000000000002,0
0.5,0.5,0.5,0.6,0,0.9,0.0638103919781222,0.112,0.5,1.7e-05,0,0,0,0,0,0,0,0,0.499983,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.55,0.58,0,0.9,0.0568766589025513,0.112,0.45,1.8e-05,1e-06,0,0,0,0,0,0,0,0.54998,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0
0.5,0.5,0.6,0.56,0,0.9,0.049864653084485,0.112,0.400003,2e-05,1e-06,0,0,0,0,0,0,0,0.599975,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999999,0
0.5,0.5,0.65,0.54,0,0.9,0.0428643910632119,0.112,0.350005,2.1e-05,1e-06,0,0,0,0,0,0,0,0.649972,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000003,0
