"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.1,0.1,0.000833,0.002523,0.053533,0,0,0.085135,0,0.857976,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.76,0,1.1,0.0951776649746193,0.1,0.000225,0.001215,0.027013,0,0,0.076676,0,0.81045,0,0,0.000751,0,0.001414,0,0,0,0,0.082257,0,0,0.499999999999999,0.04203013481364
0.5,0.5,0.2,0.72,0,1.1,0.088261253309797,0.1,3.9e-05,0.00046,0.010763,0,0,0.067313,0,0.748534,0,0,0.000677,0,0.001246,0,0,0,0,0.170968,0,0,0.500000000000001,0.0383951682484902
0.5,0.5,0.3,0.68,0,1.1,0.0793291024478695,0.1,1.1e-05,0.000217,0.005329,0,0,0.05731,0,0.67165,0,0,0.00059,0,0.001028,0,0,0,0,0.263866,0,0,0.500000000000001,0.0346117867165575
0.5,0.5,0.4,0.64,0,1.1,0.0686813186813187,0.1,5e-06,0.000126,0.003278,0,0,0.047502,0,0.587191,0,0,0.000588,0,0.000942,0,0,0,0,0.360368,0,0,0.5,0.0307769929364278
0.5,0.5,0.5,0.6,0,1.1,0.0568181818181818,0.1,4e-06,9.9e-05,0.002677,0,0,0.038323,0,0.49732,0,0,0.00076,0,0.00108,0,0,0,0,0.459738,0,0,0.5,0.0270270270270271
0.5,0.5,0.6,0.56,0,1.1,0.0443655723158829,0.1,2e-06,5.9e-05,0.00165,0,0,0.030154,0,0.404391,0,0,0.000752,0,0.000903,0,0,0,0,0.562089,0,0,0.5,0.0235361653272101
0.5,0.5,0.7,0.52,0,1.1,0.0319693094629156,0.1,1e-06,3.4e-05,0.000947,0,0,0.023146,0,0.308324,0,0,0.000729,0,0.000689,0,0,0,0,0.666129,0,0,0.500000000000001,0.020506634499397
0.5,0.5,0.8,0.48,0,1.1,0.0201938610662359,0.1,1e-06,3.1e-05,0.000773,0,0,0.017393,0,0.20968,0,0,0.001123,0,0.000738,0,0,0,0,0.77026,0,0,0.499999999999999,0.0181476846057573
0.5,0.5,0.9,0.44,0,1.1,0.0094553706505295,0.1,0,1.6e-05,0.000278,0,0,0.012965,0,0.110107,0,0,0.000989,0,0.000346,0,0,0,0,0.8753,0,0,0.499999999999998,0.0166453265044814
0.5,0.5,0,0.8,0,0.99,0.1,0.1,0.13173,0.009413,0.453156,0,0,0.01703,0,0.388671,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0,0.99,0.0951776649746193,0.1,0.111629,0.008265,0.404214,0,0,0.015728,0,0.364963,0,0,0.024119,0,0.021883,0,0,0,0,0.0492,0,0,0.499999999999999,0
0.5,0.5,0.2,0.72,0,0.99,0.088261253309797,0.1,0.09001,0.007002,0.352634,0,0,0.014404,0,0.344512,0,0,0.045932,0,0.042115,0,0,0,0,0.10339,0,0,0.500000000000001,0
0.5,0.5,0.3,0.68,0,0.99,0.0793291024478695,0.1,0.069223,0.005692,0.299707,0,0,0.012925,0,0.323623,0,0,0.06476,0,0.05954,0,0,0,0,0.164529,0,0,0.500000000000001,0
0.5,0.5,0.4,0.64,0,0.99,0.0686813186813187,0.1,0.049875,0.00439,0.24552,0,0,0.011321,0,0.301463,0,0,0.079731,0,0.07254,0,0,0,0,0.235161,0,0,0.5,0
0.5,0.5,0.5,0.6,0,0.99,0.0568181818181818,0.1,0.033786,0.003187,0.192529,0,0,0.009503,0,0.273686,0,0,0.091384,0,0.079805,0,0,0,0,0.316121,0,0,0.5,0
0.5,0.5,0.6,0.56,0,0.99,0.0443655723158829,0.1,0.023107,0.0022,0.146638,0,0,0.0073,0,0.232156,0,0,0.105126,0,0.082407,0,0,0,0,0.401067,0,0,0.5,0
0.5,0.5,0.7,0.52,0,0.99,0.0319693094629156,0.1,0.073385,3.4e-05,0.150079,0,0,3.6e-05,0,0.076564,0,0,0.298323,0,0.112217,0,0,0,0,0.289361,0,0,0.500000000000001,0
0.5,0.5,0.8,0.48,0,0.99,0.0201938610662359,0.1,0.049249,1.9e-05,0.100063,0,0,2e-05,0,0.050711,0,0,0.357494,0,0.098078,0,0,0,0,0.344365,0,0,0.499999999999999,0
0.5,0.5,0.9,0.44,0,0.99,0.0094553706505295,0.1,0.036211,6e-06,0.047957,0,0,4e-06,0,0.01584,0,0,0.521679,0,0.061193,0,0,0,0,0.317109,0,0,0.499999999999998,0
0.5,0.5,0,0.8,0,0.98,0.1,0.1,0.250796,1.1e-05,0.500333,0,0,1.1e-05,0,0.248849,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
