"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.25,0.25,0,0.8,0,1.1,0.4,0.4,0.140171,0.053162,0.415899,0,0,0.094703,0,0.296065,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.25,0.25,0.05,0.78,0,1.1,0.390946502057613,0.4,0.133715,0.050435,0.400832,0,0,0.090644,0,0.288482,0,0,0.012039,0,0.00963,0,0,0,0,0.014224,0,0,0.494276795005203,0.0437713634637296
0.25,0.25,0.1,0.76,0,1.1,0.379746835443038,0.4,0.126621,0.047578,0.384906,0,0,0.08656,0,0.281162,0,0,0.024317,0,0.019433,0,0,0,0,0.029422,0,0,0.487012987012987,0.04203013481364
0.25,0.25,0.15,0.74,0,1.1,0.366379310344828,0.4,0.118915,0.044604,0.368081,0,0,0.082456,0,0.274062,0,0,0.036745,0,0.029329,0,0,0,0,0.045808,0,0,0.47806524184477,0.040235829540753
0.25,0.25,0.2,0.72,0,1.1,0.350877192982456,0.4,0.110622,0.041529,0.350302,0,0,0.07835,0,0.267148,0,0,0.04921,0,0.039215,0,0,0,0,0.063624,0,0,0.467289719626168,0.0383951682484902
0.25,0.25,0.25,0.7,0,1.1,0.333333333333333,0.4,0.101791,0.038375,0.331525,0,0,0.074258,0,0.260367,0,0,0.061577,0,0.048952,0,0,0,0,0.083154,0,0,0.454545454545455,0.0365168539325842
0.25,0.25,0.3,0.68,0,1.1,0.31390134529148,0.4,0.092474,0.035162,0.311694,0,0,0.070206,0,0.253685,0,0,0.073679,0,0.058365,0,0,0,0,0.104735,0,0,0.439698492462312,0.0346117867165575
0.25,0.25,0.35,0.66,0,1.1,0.292792792792793,0.4,0.082737,0.031914,0.290752,0,0,0.066224,0,0.24707,0,0,0.085306,0,0.067229,0,0,0,0,0.128768,0,0,0.422626788036411,0.0326932425862908
0.25,0.25,0.4,0.64,0,1.1,0.27027027027027,0.4,0.072648,0.028651,0.268624,0,0,0.062352,0,0.240528,0,0,0.096179,0,0.075252,0,0,0,0,0.155766,0,0,0.403225806451613,0.0307769929364278
0.25,0.25,0.45,0.62,0,1.1,0.246636771300449,0.4,0.062297,0.025394,0.245222,0,0,0.058636,0,0.234079,0,0,0.105923,0,0.082062,0,0,0,0,0.186388,0,0,0.381414701803052,0.0288813382122321
0.25,0.25,0.5,0.6,0,1.1,0.222222222222222,0.4,0.051781,0.022153,0.220406,0,0,0.055132,0,0.227813,0,0,0.114,0,0.087167,0,0,0,0,0.221549,0,0,0.357142857142857,0.0270270270270271
0.25,0.25,0.55,0.58,0,1.1,0.197368421052632,0.4,0.041228,0.018928,0.19397,0,0,0.051903,0,0.221886,0,0,0.119611,0,0.089908,0,0,0,0,0.262567,0,0,0.330396475770925,0.0252370329057446
0.25,0.25,0.6,0.56,0,1.1,0.172413793103448,0.4,0.030797,0.015701,0.165543,0,0,0.049043,0,0.216609,0,0,0.121472,0,0.089349,0,0,0,0,0.311487,0,0,0.301204819277108,0.0235361653272101
0.25,0.25,0.65,0.54,0,1.1,0.147679324894515,0.4,0.020746,0.012421,0.134498,0,0,0.046664,0,0.212482,0,0,0.117464,0,0.084102,0,0,0,0,0.371623,0,0,0.269645608628659,0.0219505008839128
0.25,0.25,0.7,0.52,0,1.1,0.123456790123457,0.4,0.011512,0.008985,0.099652,0,0,0.044954,0,0.210412,0,0,0.103786,0,0.071907,0,0,0,0,0.448793,0,0,0.235849056603774,0.020506634499397
0.25,0.25,0.75,0.5,0,1.1,0.1,0.4,0.003951,0.005173,0.058594,0,0,0.044232,0,0.212158,0,0,0.073003,0,0.048644,0,0,0,0,0.554246,0,0,0.2,0.0192307692307692
0.25,0.25,0.8,0.48,0,1.1,0.0775193798449612,0.4,5e-05,0.00058,0.006688,0,0,0.044991,0,0.220605,0,0,0.01003,0,0.006373,0,0,0,0,0.710684,0,0,0.162337662337661,0.0181476846057573
0.25,0.25,0.85,0.46,0,1.1,0.0561797752808988,0.4,0,6e-06,6.6e-05,0,0,0.035797,0,0.174996,0,0,0.000146,0,7.2e-05,0,0,0,0,0.788917,0,0,0.123152709359607,0.017279644895371
0.25,0.25,0.9,0.44,0,1.1,0.036101083032491,0.4,0,3e-06,3.1e-05,0,0,0.026202,0,0.120933,0,0,0.000115,0,3.9e-05,0,0,0,0,0.852678,0,0,0.0827814569536435,0.0166453265044814
0.25,0.25,0,0.8,0,0.95,0.4,0.4,0.183527,0.034017,0.458101,0,0,0.051519,0,0.272836,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.05,0.78,0,0.95,0.390946502057613,0.4,0.173489,0.032445,0.438251,0,0,0.049652,0,0.264372,0,0,0.015657,0,0.011265,0,0,0,0,0.014868,0,0,0.494276795005203,0
0.25,0.25,0.1,0.76,0,0.95,0.379746835443038,0.4,0.163056,0.030762,0.418016,0,0,0.047687,0,0.256168,0,0,0.031313,0,0.022524,0,0,0,0,0.030473,0,0,0.487012987012987,0
