"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.1,0.1,0.1,0,1.166e-05,2.342e-05,0,0.10020455,0.45326611,0,0.44649426,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.1,0.657142857142857,0,1.1,0.0932504440497336,0.1,0,1.186e-05,2.499e-05,0,0.08609055,0.40898395,0,0.42292584,0,0,9.7e-07,6.2e-07,1.25e-06,0,0.0102084,0.02041617,0,0.0513354,0,0,0.5,0.04252937884723
0.5,0.5,0.2,0.577777777777778,0,1.1,0.0832947709393799,0.1,0,1.141e-05,2.571e-05,0,0.07085168,0.3614129,0,0.39957981,0,0,2.28e-06,1.31e-06,2.82e-06,0,0.01975832,0.03951532,0,0.10883844,0,0,0.5,0.0399907535829866
0.5,0.5,0.3,0.527272727272727,0,1.1,0.072205551387847,0.1,0,1.152e-05,2.814e-05,0,0.05584332,0.31180815,0,0.37403955,0,0,4.34e-06,2.17e-06,5.09e-06,0,0.02809724,0.05619232,0,0.17396815,0,0,0.500000000000001,0.0375549340791051
0.5,0.5,0.4,0.492307692307692,0,1.1,0.0608614232209738,0.1,0,1.125e-05,3.027e-05,0,0.04184118,0.26114097,0,0.34480931,0,0,7.41e-06,3.11e-06,8.07e-06,0,0.03467889,0.06935467,0,0.24811487,0,0,0.500000000000002,0.0350908443177769
0.5,0.5,0.5,0.466666666666667,0,1.1,0.0496688741721854,0.1,0,1.087e-05,3.27e-05,0,0.0294143,0.21048413,0,0.31050015,0,0,1.233e-05,4.16e-06,1.214e-05,0,0.0389281,0.07785205,0,0.33274909,0,0,0.499999999999999,0.032520325203252
0.5,0.5,0.6,0.447058823529412,0,1.1,0.0388216487782599,0.1,0,1.056e-05,3.605e-05,0,0.01902186,0.16122977,0,0.26949035,0,0,2.11e-05,5.43e-06,1.808e-05,0,0.04028342,0.08056142,0,0.42932196,0,0,0.499999999999996,0.0297853039008165
0.5,0.5,0.7,0.431578947368421,0,1.1,0.0284090909090909,0.1,0,7.81e-06,3.055e-05,0,0.01098955,0.11521468,0,0.2198205,0,0,2.91e-05,5.32e-06,2.039e-05,0,0.03832056,0.0766358,0,0.53892573,0,0,0.500000000000001,0.0268341421638596
0.5,0.5,0.8,0.419047619047619,0,1.1,0.0184664087231797,0.1,0,4.7e-06,2.068e-05,0,0.00541585,0.07462918,0,0.15934463,0,0,3.591e-05,4.23e-06,1.833e-05,0,0.03294778,0.06589134,0,0.66168737,0,0,0.499999999999992,0.0236145236145237
0.5,0.5,0.9,0.408695652173913,0,1.1,0.00899984348098294,0.1,0,2.69e-06,1.161e-05,0,0.0020847,0.04159073,0,0.08629142,0,0,4.94e-05,3.22e-06,1.377e-05,0,0.02457909,0.04915496,0,0.7962184,0,0,0.500000000000007,0.0200686559281754
0.5,0.5,0,0.8,0,0.975,0.1,0.1,0,2.045e-05,6.081e-05,0,0.05990728,0.38141607,0,0.55859539,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.657142857142857,0,0.975,0.0932504440497336,0.1,0,2.061e-05,6.456e-05,0,0.05034267,0.33833035,0,0.52196428,0,0,2.37e-06,1.14e-06,3.41e-06,0,0.00892595,0.01785076,0,0.06249389,0,0,0.5,0
0.5,0.5,0.2,0.577777777777778,0,0.975,0.0832947709393799,0.1,0,2.105e-05,7.228e-05,0,0.0391251,0.2895075,0,0.48980927,0,0,6.03e-06,2.54e-06,8.35e-06,0,0.01669026,0.03337798,0,0.13137963,0,0,0.5,0
0.5,0.5,0.3,0.527272727272727,0,0.975,0.072205551387847,0.1,0,2.001e-05,7.783e-05,0,0.02824921,0.23840789,0,0.45668175,0,0,1.13e-05,3.96e-06,1.478e-05,0,0.02261125,0.04521855,0,0.20870347,0,0,0.500000000000001,0
0.5,0.5,0.4,0.492307692307692,0,0.975,0.0608614232209738,0.1,1e-08,2.294e-05,0.00010445,0,0.01870909,0.18718483,0,0.41962159,0,0,2.408e-05,6.64e-06,2.918e-05,0,0.02611843,0.05223022,0,0.29594855,0,0,0.500000000000002,0
0.5,0.5,0.5,0.466666666666667,0,0.975,0.0496688741721854,0.1,1e-08,2.213e-05,0.00012273,0,0.01107842,0.13794165,0,0.37623855,0,0,4.361e-05,8.86e-06,4.766e-05,0,0.02676146,0.05351407,0,0.39422085,0,0,0.499999999999999,0
0.5,0.5,0.6,0.447058823529412,0,0.975,0.0388216487782599,0.1,2e-08,2.205e-05,0.00015644,0,0.00562098,0.09305799,0,0.32407831,0,0,8.652e-05,1.184e-05,8.192e-05,0,0.02435043,0.04868902,0,0.50384449,0,0,0.499999999999996,0
0.5,0.5,0.7,0.431578947368421,0,0.975,0.0284090909090909,0.1,4e-08,2.027e-05,0.00019633,0,0.00226589,0.05507422,0,0.26087403,0,0,0.0001777,1.439e-05,0.00013659,0,0.01915396,0.03829354,0,0.62379303,0,0,0.500000000000001,0
0.5,0.5,0.8,0.419047619047619,0,0.975,0.0184664087231797,0.1,1.092e-05,0.00019215,0.00282854,0,0.00059375,0.02553488,0,0.18281068,0,0,0.00474957,0.00017962,0.00260667,0,0.011852,0.02352437,0,0.74511685,0,0,0.499999999999992,0
0.5,0.5,0.9,0.408695652173913,0,0.975,0.00899984348098294,0.1,0.02360709,1.123e-05,0.04998744,0,0,1.231e-05,0,0.02639738,0,0,0.41778842,1.392e-05,0.06144733,0,1.453e-05,1.514e-05,0,0.42070521,0,0,0.500000000000007,0
0.5,0.5,0,0.8,0,0.95,0.1,0.1,0,2.727e-05,9.021e-05,0,0.05140717,0.36052393,0,0.58795142,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.657142857142857,0,0.95,0.0932504440497336,0.1,0,2.694e-05,9.398e-05,0,0.04296093,0.31845502,0,0.54766474,0,0,3.39e-06,1.51e-06,5.02e-06,0,0.00849507,0.01698863,0,0.06530476,0,0,0.5,0
0.5,0.5,0.2,0.577777777777778,0,0.95,0.0832947709393799,0.1,1e-08,3.087e-05,0.00011913,0,0.03275418,0.26969259,0,0.51319952,0,0,9.79e-06,3.77e-06,1.389e-05,0,0.01571334,0.03142291,0,0.13704,0,0,0.5,0
0.5,0.5,0.3,0.527272727272727,0,0.95,0.072205551387847,0.1,1e-08,3.131e-05,0.00013901,0,0.02291253,0.2184846,0,0.47815961,0,0,1.989e-05,6.25e-06,2.666e-05,0,0.02093377,0.04186129,0,0.21742508,0,0,0.500000000000001,0
0.5,0.5,0.4,0.492307692307692,0,0.95,0.0608614232209738,0.1,2e-08,3.49e-05,0.00018581,0,0.01446548,0.16738621,0,0.4391137,0,0,4.22e-05,1.019e-05,5.239e-05,0,0.02358677,0.04716334,0,0.30795899,0,0,0.500000000000002,0
0.5,0.5,0.5,0.466666666666667,0,0.95,0.0496688741721854,0.1,5e-08,4.095e-05,0.0002754,0,0.00796437,0.11882931,0,0.39328925,0,0,9.644e-05,1.654e-05,0.0001079,0,0.02327587,0.0465352,0,0.40956871,0,0,0.499999999999999,0
0.5,0.5,0.6,0.447058823529412,0,0.95,0.0388216487782599,0.1,4.706e-05,0.00086188,0.00790684,0,0.00348324,0.07354984,0,0.3313782,0,0,0.00437961,0.0004669,0.00417588,0,0.01965042,0.03883395,0,0.51526618,0,0,0.499999999999996,0
0.5,0.5,0.7,0.431578947368421,0,0.95,0.0284090909090909,0.1,0.06440948,0.00123947,0.14838446,0,5.03e-06,0.00145411,0,0.08527332,0,0,0.27990119,0.00088707,0.10408711,0,0.00095354,0.00102001,0,0.3123852,0,0,0.500000000000001,0
0.5,0.5,0.8,0.419047619047619,0,0.95,0.0184664087231797,0.1,0.04822386,3.48e-06,0.10002359,0,0,3.7e-06,0,0.05174848,0,0,0.35620061,3.27e-06,0.09253371,0,3.35e-06,3.43e-06,0,0.35125254,0,0,0.499999999999992,0
0.5,0.5,0.9,0.408695652173913,0,0.95,0.00899984348098294,0.1,0.02388134,1.37e-06,0.05000505,0,0,1.49e-06,0,0.02611263,0,0,0.42032358,1.7e-06,0.06146758,0,1.77e-06,1.84e-06,0,0.41820167,0,0,0.500000000000007,0
0.5,0.5,0,0.8,0,0.925,0.1,0.1,2e-08,5.245e-05,0.00019591,0,0.04290109,0.33649674,0,0.62035379,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.657142857142857,0,0.925,0.0932504440497336,0.1,2e-08,5.091e-05,0.00020078,0,0.03563118,0.29586069,0,0.57594266,0,0,7.13e-06,2.88e-06,1.083e-05,0,0.00797963,0.01595637,0,0.06835692,0,0,0.5,0
0.5,0.5,0.2,0.577777777777778,0,0.925,0.0832947709393799,0.1,3e-08,5.737e-05,0.00025331,0,0.02650879,0.24731646,0,0.53894423,0,0,2.048e-05,7.07e-06,2.984e-05,0,0.01456201,0.02911696,0,0.14318345,0,0,0.5,0
0.5,0.5,0.3,0.527272727272727,0,0.925,0.072205551387847,0.1,1.221e-05,0.00095091,0.00493884,0,0.01760254,0.19433953,0,0.4980919,0,0,0.00070012,0.00019162,0.00095605,0,0.01890003,0.03760843,0,0.22570783,0,0,0.500000000000001,0
0.5,0.5,0.4,0.492307692307692,0,0.925,0.0608614232209738,0.1,0.01353056,0.01876981,0.13612125,0,0.00619352,0.09540952,0,0.3415714,0,0,0.03930901,0.00553356,0.03873322,0,0.01633935,0.02714514,0,0.26134364,0,0,0.500000000000002,0
0.5,0.5,0.5,0.466666666666667,0,0.925,0.0496688741721854,0.1,0.12234421,0.00011855,0.250006,0,3e-08,0.00012231,0,0.12743465,0,0,0.20393018,4.826e-05,0.09868797,0,4.827e-05,4.829e-05,0,0.19721128,0,0,0.499999999999999,0
0.5,0.5,0.6,0.447058823529412,0,0.925,0.0388216487782599,0.1,0.09771041,5.55e-06,0.20007973,0,0,5.76e-06,0,0.10220055,0,0,0.2506129,3.03e-06,0.1060727,0,3.04e-06,3.06e-06,0,0.24330327,0,0,0.499999999999996,0
0.5,0.5,0.7,0.431578947368421,0,0.925,0.0284090909090909,0.1,0.07287587,2.13e-06,0.15005153,0,0,2.23e-06,0,0.07706947,0,0,0.3006787,1.53e-06,0.10525878,0,1.55e-06,1.57e-06,0,0.29405666,0,0,0.500000000000001,0
0.5,0.5,0.8,0.419047619047619,0,0.925,0.0184664087231797,0.1,0.04824489,1.09e-06,0.10002571,0,0,1.16e-06,0,0.05172812,0,0,0.35628709,1.03e-06,0.09253569,0,1.05e-06,1.08e-06,0,0.35117311,0,0,0.499999999999992,0
0.5,0.5,0.9,0.408695652173913,0,0.925,0.00899984348098294,0.1,0.02389099,7.7e-07,0.0500057,0,0,8.4e-07,0,0.02610276,0,0,0.42041273,9.6e-07,0.06146836,0,1e-06,1.04e-06,0,0.41811487,0,0,0.500000000000007,0
0.5,0.5,0,0.8,0,0.9,0.1,0.1,0.23914708,0.00975536,0.49034087,0,9.948e-05,0.01000604,0,0.25065117,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.657142857142857,0,0.9,0.0932504440497336,0.1,0.21901933,0.00444848,0.4457775,0,2.258e-05,0.00453241,0,0.22622143,0,0,0.03834305,0.00025461,0.02430231,0,0.00025085,0.00024709,0,0.03658038,0,0,0.5,0
0.5,0.5,0.2,0.577777777777778,0,0.9,0.0832947709393799,0.1,0.19769114,0.00076346,0.39948486,0,7.4e-07,0.00077331,0,0.20130252,0,0,0.07820176,9.48e-05,0.04743258,0,9.331e-05,9.183e-05,0,0.07406969,0,0,0.5,0
