"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.25,0.25,0,0.8,0,1.1,0.4,0.4,0,1.62e-06,1.59e-06,0,0.21921423,0.54713088,0,0.23365169,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.25,0.25,0.025,0.754545454545455,0,1.1,0.395027624309392,0.4,0,1.66e-06,1.63e-06,0,0.21477671,0.53894609,0,0.2316221,0,0,2e-08,2e-08,2e-08,0,0.00284034,0.00568066,0,0.00613073,0,0,0.496872828353023,0.0446586785925239
0.25,0.25,0.05,0.716666666666667,0,1.1,0.388415672913118,0.4,0,1.64e-06,1.63e-06,0,0.20997705,0.5305325,0,0.2298075,0,0,4e-08,4e-08,4e-08,0,0.00572471,0.01144937,0,0.01250549,0,0,0.492653414001728,0.0439135919268371
0.25,0.25,0.075,0.684615384615385,0,1.1,0.380537974683544,0.4,0,1.65e-06,1.65e-06,0,0.20488413,0.52188535,0,0.22812757,0,0,6e-08,6e-08,6e-08,0,0.0086464,0.01729273,0,0.01916035,0,0,0.487532941414961,0.043206904215127
0.25,0.25,0.1,0.657142857142857,0,1.1,0.371681415929204,0.4,0,1.69e-06,1.7e-06,0,0.19955039,0.51300108,0,0.22652094,0,0,9e-08,9e-08,8e-08,0,0.01159927,0.02319845,0,0.02612622,0,0,0.481651376146789,0.04252937884723
0.25,0.25,0.125,0.633333333333333,0,1.1,0.362068965517241,0.4,0,1.77e-06,1.8e-06,0,0.19401665,0.50387692,0,0.22493972,0,0,1.2e-07,1.2e-07,1.1e-07,0,0.01457741,0.02915471,0,0.03343067,0,0,0.475113122171946,0.0418739635157546
0.25,0.25,0.15,0.6125,0,1.1,0.351875808538163,0.4,0,1.52e-06,1.56e-06,0,0.18831545,0.4945112,0,0.22334598,0,0,1.3e-07,1.3e-07,1.2e-07,0,0.01757494,0.03514976,0,0.04109922,0,0,0.467997247075017,0.0412351603940389
0.25,0.25,0.175,0.594117647058824,0,1.1,0.341240875912409,0.4,0,1.52e-06,1.58e-06,0,0.18247262,0.48490148,0,0.22170869,0,0,1.6e-07,1.5e-07,1.4e-07,0,0.02058584,0.04117153,0,0.04915629,0,0,0.460364352535697,0.0406086012425357
0.25,0.25,0.2,0.577777777777778,0,1.1,0.330275229357798,0.4,0,1.43e-06,1.5e-06,0,0.17650985,0.47504679,0,0.2200026,0,0,1.8e-07,1.6e-07,1.6e-07,0,0.02360386,0.04720755,0,0.05762593,0,0,0.452261306532664,0.0399907535829866
0.25,0.25,0.225,0.563157894736842,0,1.1,0.319068255687974,0.4,0,1.63e-06,1.74e-06,0,0.17044485,0.46494536,0,0.21820629,0,0,2.4e-07,2.1e-07,2.1e-07,0,0.02662242,0.05324463,0,0.06653242,0,0,0.443724574355884,0.0393787130087169
0.25,0.25,0.25,0.55,0,1.1,0.307692307692308,0.4,0,1.54e-06,1.66e-06,0,0.16429321,0.45459681,0,0.2163018,0,0,2.6e-07,2.3e-07,2.3e-07,0,0.02963455,0.05926888,0,0.07590084,0,0,0.434782608695652,0.0387700534759358
0.25,0.25,0.275,0.538095238095238,0,1.1,0.296206225680934,0.4,0,1.51e-06,1.65e-06,0,0.15806791,0.44399946,0,0.21427313,0,0,3e-07,2.5e-07,2.5e-07,0,0.03263279,0.06526532,0,0.08575744,0,0,0.425457593963951,0.0381627174642507
