"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.25,0.25,0,0.8,0,1.1,0.1,0.1,0.00205917,0.03193244,0.05501326,0,0.1108476,0.43369356,0,0.36645397,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.25,0.25,0.1,0.76,0,1.1,0.0949367088607595,0.1,0.00274499,0.03436768,0.06093097,0,0.09639109,0.38768333,0,0.3372506,0,0,0.00275039,0.00176204,0.00304891,0,0.01058058,0.01939913,0,0.04309031,0,0,0.5,0.04203013481364
0.25,0.25,0.2,0.72,0,1.1,0.0877192982456141,0.1,0.0034315,0.0353075,0.06514543,0,0.08128465,0.34053369,0,0.30842815,0,0,0.00677952,0.00400135,0.00721592,0,0.02086048,0.0377196,0,0.08929221,0,0,0.5,0.0383951682484902
0.25,0.25,0.3,0.68,0,1.1,0.07847533632287,0.1,0.00399324,0.03438624,0.06697859,0,0.06596935,0.29295477,0,0.28020822,0,0,0.01225496,0.00649166,0.0123819,0,0.03032411,0.05415656,0,0.13990041,0,0,0.5,0.0346117867165575
0.25,0.25,0.4,0.64,0,1.1,0.0675675675675676,0.1,0.00420436,0.03119036,0.06530336,0,0.05106462,0.24608023,0,0.25303092,0,0,0.01903045,0.00876503,0.0180106,0,0.03831678,0.06786854,0,0.19713476,0,0,0.5,0.0307769929364278
0.25,0.25,0.5,0.6,0,1.1,0.0555555555555556,0.1,0.00371272,0.02530012,0.05821797,0,0.03734216,0.20160962,0,0.22776633,0,0,0.02586519,0.00997883,0.02259381,0,0.04411065,0.07824246,0,0.26526013,0,0,0.5,0.0270270270270271
0.25,0.25,0.6,0.56,0,1.1,0.0431034482758621,0.1,0.00215218,0.01625396,0.04218302,0,0.02564062,0.16208987,0,0.20631051,0,0,0.02800781,0.00869186,0.02225799,0,0.04710937,0.08552688,0,0.35377594,0,0,0.5,0.0235361653272101
0.25,0.25,0.7,0.52,0,1.1,0.0308641975308642,0.1,0.00010615,0.00301965,0.0090755,0,0.01668873,0.13165042,0,0.19363086,0,0,0.00888427,0.00214255,0.00637295,0,0.04729415,0.09244575,0,0.48868902,0,0,0.5,0.020506634499397
0.25,0.25,0.8,0.48,0,1.1,0.0193798449612403,0.1,1e-08,1.731e-05,6.083e-05,0,0.00822534,0.08782838,0,0.15032913,0,0,0.00010537,1.621e-05,5.652e-05,0,0.04076358,0.08151096,0,0.63108636,0,0,0.5,0.0181476846057573
0.25,0.25,0.9,0.44,0,1.1,0.00902527075812275,0.1,0,3.33e-06,1.238e-05,0,0.00283274,0.04690769,0,0.08405991,0,0,5.262e-05,4.11e-06,1.519e-05,0,0.02870354,0.05740298,0,0.78000551,0,0,0.5,0.0166453265044814
0.25,0.25,0,0.8,0,0.975,0.1,0.1,0.05626471,0.10481635,0.25712884,0,0.04675672,0.24205343,0,0.29297995,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0,0.975,0.0949367088607595,0.1,0.05192391,0.094048,0.23653613,0,0.04069159,0.21652091,0,0.26867977,0,0,0.01484007,0.00513144,0.01259564,0,0.00833062,0.01152981,0,0.0391721,0,0,0.5,0
0.25,0.25,0.2,0.72,0,0.975,0.0877192982456141,0.1,0.0482333,0.08276702,0.21738634,0,0.03380192,0.18855594,0,0.24432757,0,0,0.03094363,0.00993802,0.02551084,0,0.01603276,0.0221275,0,0.08037516,0,0,0.5,0
0.25,0.25,0.3,0.68,0,0.975,0.07847533632287,0.1,0.04487918,0.07086335,0.19893177,0,0.02647318,0.15882358,0,0.21992505,0,0,0.0491501,0.01411376,0.03879515,0,0.02254354,0.03097332,0,0.12452804,0,0,0.5,0
0.25,0.25,0.4,0.64,0,0.975,0.0675675675675676,0.1,0.0413771,0.05828943,0.18009159,0,0.01923501,0.12835436,0,0.19552284,0,0,0.0703011,0.01721293,0.05218919,0,0.0272045,0.03719608,0,0.17302588,0,0,0.5,0
0.25,0.25,0.5,0.6,0,0.975,0.0555555555555556,0.1,0.03698847,0.0451947,0.15934628,0,0.01270738,0.09860836,0,0.17125499,0,0,0.09482783,0.01866787,0.06475597,0,0.02937039,0.04007291,0,0.22820486,0,0,0.5,0
0.25,0.25,0.6,0.56,0,0.975,0.0431034482758621,0.1,0.03070554,0.03208648,0.13468427,0,0.00746099,0.07141537,0,0.14739594,0,0,0.12160186,0.01792482,0.07423277,0,0.02864307,0.03936132,0,0.29448759,0,0,0.5,0
0.25,0.25,0.7,0.52,0,0.975,0.0308641975308642,0.1,0.02154423,0.01983647,0.10367952,0,0.00379907,0.04859519,0,0.12449323,0,0,0.14489091,0.01469254,0.07599268,0,0.02515534,0.03561815,0,0.38170268,0,0,0.5,0
0.25,0.25,0.8,0.48,0,0.975,0.0193798449612403,0.1,0.00948324,0.00924692,0.06289692,0,0.00161882,0.03138736,0,0.10408441,0,0,0.14316416,0.00898347,0.06066049,0,0.01962738,0.03027128,0,0.51857556,0,0,0.5,0
0.25,0.25,0.9,0.44,0,0.975,0.00902527075812275,0.1,0.00011036,0.00064323,0.00620234,0,0.00046025,0.01866571,0,0.08695925,0,0,0.02667937,0.00081723,0.0078498,0,0.0122194,0.02362156,0,0.8157715,0,0,0.5,0
0.25,0.25,0,0.8,0,0.95,0.1,0.1,0.08397778,0.10530375,0.30632234,0,0.03206611,0.1937407,0,0.27858932,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0,0.95,0.0949367088607595,0.1,0.07553674,0.09400935,0.27810796,0,0.02832784,0.17462927,0,0.25531366,0,0,0.01883038,0.00519538,0.01499999,0,0.00730708,0.00941877,0,0.03832359,0,0,0.5,0
0.25,0.25,0.2,0.72,0,0.95,0.0877192982456141,0.1,0.06853922,0.08195799,0.25246129,0,0.02363238,0.1523663,0,0.23190064,0,0,0.03861799,0.00995824,0.02998006,0,0.01402595,0.01809365,0,0.07846629,0,0,0.5,0
0.25,0.25,0.3,0.68,0,0.95,0.07847533632287,0.1,0.06248707,0.06919696,0.22845252,0,0.01836588,0.12774515,0,0.20830897,0,0,0.06044822,0.01393366,0.0450423,0,0.0195601,0.02518654,0,0.12127263,0,0,0.5,0
0.25,0.25,0.4,0.64,0,0.95,0.0675675675675676,0.1,0.05671727,0.05584499,0.20483436,0,0.01304945,0.10191809,0,0.18452452,0,0,0.08543769,0.01665879,0.05996203,0,0.02324683,0.02983487,0,0.16797112,0,0,0.5,0
0.25,0.25,0.5,0.6,0,0.95,0.0555555555555556,0.1,0.05033104,0.04224356,0.1799809,0,0.00826946,0.07643169,0,0.1605586,0,0,0.11439865,0.0176136,0.07383041,0,0.02448338,0.03135317,0,0.22050555,0,0,0.5,0
0.25,0.25,0.6,0.56,0,0.95,0.0431034482758621,0.1,0.04222464,0.02909935,0.15195395,0,0.00452618,0.05309589,0,0.13643147,0,0,0.14701272,0.01640077,0.08449463,0,0.02296245,0.02952414,0,0.28227382,0,0,0.5,0
0.25,0.25,0.7,0.52,0,0.95,0.0308641975308642,0.1,0.03152202,0.01740457,0.11895653,0,0.00202973,0.03341775,0,0.11200468,0,0,0.18036144,0.01300353,0.08794727,0,0.01885499,0.02470646,0,0.35979102,0,0,0.5,0
0.25,0.25,0.8,0.48,0,0.95,0.0193798449612403,0.1,0.01857565,0.00803582,0.08013482,0,0.0006349,0.01773916,0,0.08624884,0,0,0.20659408,0.00787916,0.07799926,0,0.01257277,0.01726639,0,0.46631914,0,0,0.5,0
0.25,0.25,0.9,0.44,0,0.95,0.00902527075812275,0.1,0.00970078,0.00129011,0.04245896,0,2.143e-05,0.00291848,0,0.04635376,0,0,0.26115779,0.00165863,0.05437607,0,0.00269811,0.00373759,0,0.5736283,0,0,0.5,0
0.25,0.25,0,0.8,0,0.925,0.1,0.1,0.12626304,0.09232909,0.36585765,0,0.01663081,0.13460636,0,0.26431306,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0,0.925,0.0949367088607595,0.1,0.11017156,0.08357742,0.3270468,0,0.01556413,0.12490348,0,0.24207711,0,0,0.02408444,0.00467892,0.01786883,0,0.00575163,0.00682434,0,0.03745135,0,0,0.5,0
0.25,0.25,0.2,0.72,0,0.925,0.0877192982456141,0.1,0.09734245,0.07291268,0.29279317,0,0.01334871,0.1104768,0,0.21961786,0,0,0.04844447,0.0089658,0.03518757,0,0.01112138,0.01327697,0,0.07651213,0,0,0.5,0
0.25,0.25,0.3,0.68,0,0.925,0.07847533632287,0.1,0.08673128,0.06087604,0.26164301,0,0.01038019,0.09257721,0,0.19685373,0,0,0.07455298,0.01239423,0.05215825,0,0.01542469,0.01845514,0,0.11795325,0,0,0.5,0
0.25,0.25,0.4,0.64,0,0.925,0.0675675675675676,0.1,0.07724901,0.04798791,0.23194262,0,0.00717261,0.07270673,0,0.17371005,0,0,0.10385886,0.01446159,0.06859166,0,0.01798144,0.02150129,0,0.16283623,0,0,0.5,0
0.25,0.25,0.5,0.6,0,0.925,0.0555555555555556,0.1,0.06768632,0.03493935,0.20179796,0,0.00426694,0.05264238,0,0.15008593,0,0,0.13754619,0.01470641,0.08356427,0,0.01825275,0.02179909,0,0.21271243,0,0,0.5,0
0.25,0.25,0.6,0.56,0,0.925,0.0431034482758621,0.1,0.05683427,0.02267939,0.16926314,0,0.00207357,0.0342148,0,0.12576466,0,0,0.17612778,0.01289672,0.094959,0,0.01604583,0.01919494,0,0.26994592,0,0,0.5,0
0.25,0.25,0.7,0.52,0,0.925,0.0308641975308642,0.1,0.04411855,0.01216345,0.13299612,0,0.00071982,0.01864431,0,0.10002597,0,0,0.21978125,0.00916707,0.09918334,0,0.01153562,0.01390417,0,0.33776032,0,0,0.5,0
0.25,0.25,0.8,0.48,0,0.925,0.0193798449612403,0.1,0.0311338,0.00377536,0.09337447,0,8.512e-05,0.00579292,0,0.06986327,0,0,0.27585182,0.00373593,0.09172296,0,0.00471318,0.00569043,0,0.41426075,0,0,0.5,0
0.25,0.25,0.9,0.44,0,0.925,0.00902527075812275,0.1,0.01536052,2.32e-06,0.0476968,0,0,3.72e-06,0,0.03694054,0,0,0.33258661,3e-06,0.06127465,0,3.89e-06,4.78e-06,0,0.50612319,0,0,0.5,0
0.25,0.25,0,0.8,0,0.9,0.1,0.1,0.23972977,0.00991632,0.49019599,0,0.00010254,0.01014335,0,0.24991204,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
0.25,0.25,0.1,0.76,0,0.9,0.0949367088607595,0.1,0.20446026,0.01835088,0.43099736,0,0.00041133,0.01937371,0,0.22653808,0,0,0.03639498,0.00104326,0.02391481,0,0.00105908,0.00107491,0,0.03638134,0,0,0.5,0
